mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,4,5,7,4,5,5,1,3,-1,2,2,2,-1,-1,1,1,2,5,3,2,3,-1,6,6
02,4,5,5,6,9,6,1,3,3,1,4,1,1,1,2,1,2,1,3,2,2,6,2,2
03,1,3,2,4,3,7,4,3,7,2,3,-1,1,-1,-1,-1,3,5,1,4,1,1,3,5
04,5,2,1,6,4,4,2,-1,1,4,3,4,-1,3,-1,1,1,1,2,2,3,5,6,6
05,1,3,3,4,3,5,2,3,1,1,2,-1,1,-1,3,3,5,3,2,-1,2,2,5,5
06,4,4,24,6,4,4,4,4,3,3,4,1,-1,1,-1,-1,1,-1,3,1,1,-1,-1,-1,-1
07,2,3,-1,4,6,2,1,-1,1,-1,-1,1,-1,-1,2,2,2,-1,2,2,-1,2,2,1
08,3,2,4,3,3,1,2,3,3,2,-1,-1,1,1,-1,-1,1,1,1,2,-1,-1,-1,-1,-1
09,1,5,3,1,1,4,-1,1,2,-1,1,-1,-1,-1,-1,-1,1,-1,-1,2,1,-1,2,2
10,-1,2,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,2,1,1,-1,1,1,1,1
11,3,1,3,1,1,1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,2,-1,2,1,2,2,2,1
12,5,5,5,3,2,-1,1,2,1,-1,-1,-1,1,-1,-1,1,3,-1,-1,-1,1,-1,2,2
13,2,2,1,3,3,4,1,1,2,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,2,1
14,-1,-1,-1,-1,2,1,-1,2,1,-1,3,-1,2,3,3,3,1,-1,1,-1,2,2,-1,-1,-1
15,-1,-1,2,1,6,4,3,6,3,1,6,7,8,4,5,6,1,8,5,5,5,9,-1,2
16,1,1,4,3,3,6,1,1,7,7,13,8,9,3,9,5,7,5,6,5,7,-1,5,-1,-1
17,-1,-1,-1,4,2,2,5,3,2,10,9,10,7,7,6,11,8,8,6,4,3,4,2,1
18,-1,2,1,5,8,4,5,8,8,4,7,3,7,7,11,14,12,8,6,2,4,2,6,3
19,1,2,-1,1,4,1,3,1,3,2,5,3,3,3,10,9,9,5,4,5,11,6,16,8
20,1,1,-1,3,6,3,6,7,5,7,8,3,9,13,11,10,8,8,6,8,4,5,1,1
21,2,1,5,4,4,4,6,3,5,2,4,7,8,7,15,8,9,3,9,5,4,5,3,3
22,3,2,-1,4,4,5,6,5,3,4,3,5,8,12,9,5,8,8,6,7,5,4,2,2
23,2,-1,4,2,3,6,6,2,5,7,7,11,9,12,10,8,7,9,5,6,7,1,1,3
24,2,4,3,-1,2,4,2,3,6,5,8,6,5,10,10,10,11,7,5,5,6,2,2,3
25,1,4,6,4,4,2,4,4,3,13,4,3,11,7,10,8,6,4,4,5,7,4,3,-1,-1
26,1,1,5,-1,5,7,4,5,7,10,12,11,13,3,13,11,8,7,5,9,1,5,3,1
27,1,-1,4,1,5,4,6,3,9,4,11,7,8,16,11,5,8,9,9,8,3,6,5,2
28,3,1,6,4,4,5,2,7,6,8,7,7,9,7,12,9,15,9,14,6,5,3,3,2
29,-1,4,-1,2,1,-1,4,4,2,1,3,2,4,7,3,7,9,1,7,6,4,-1,3,1
30,3,1,1,1,-1,-1,3,2,1,-1,1,-1,2,3,7,6,6,2,6,2,3,3,2,2
31,2,3,1,2,-1,1,3,2,3,4,4,6,4,3,4,2,6,2,3,2,3,6,8,-1,-1
