sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,11,13,8,14,19,23,12,6,11,8,12,8,11,12,7,13,9,18,8,11,11,15,7,6
02,11,10,13,9,15,8,7,10,8,14,12,9,16,10,7,10,15,16,9,8,13,3,11,8
03,7,11,10,11,16,10,14,5,15,9,11,11,9,9,6,13,10,9,13,9,12,9,23,12
04,10,12,11,15,15,17,7,14,7,10,7,22,15,9,30,9,15,16,14,17,13,18,29,12
05,15,4,10,10,5,11,4,14,8,10,18,10,8,11,15,15,10,17,38,12,12,8,14,14
06,11,14,8,13,13,7,8,9,9,15,14,13,14,9,12,18,12,15,7,12,13,15,12,11
07,11,10,4,11,18,4,11,10,5,8,10,12,17,12,8,11,12,9,8,18,13,13,8,6
08,15,11,8,6,13,10,9,13,10,4,24,12,9,15,11,13,19,10,14,18,13,14,16,17
09,7,18,10,6,12,10,10,11,12,10,10,17,7,7,11,12,16,8,11,10,12,3,11,8
10,7,6,8,18,9,15,9,10,10,8,15,12,13,5,14,17,15,14,9,9,9,10,12,11
11,11,12,13,14,9,11,12,13,11,11,19,13,14,13,13,8,20,11,7,12,6,6,4,10
12,6,16,18,13,3,9,20,23,7,10,9,7,17,10,15,11,16,10,13,15,8,20,8,16
13,21,13,1,18,10,11,10,14,2,6,6,22,11,15,9,12,13,14,8,12,14,15,14,7
14,13,13,11,14,6,10,5,10,10,7,16,9,8,12,6,10,9,2,10,8,12,7,15,8
15,10,9,6,10,8,11,8,13,18,10,13,6,13,14,5,19,17,6,14,14,14,14,16,14
16,13,11,11,7,14,14,16,8,18,7,13,7,12,14,10,11,10,5,12,8,14,11,8,11
17,6,18,7,12,16,8,14,13,17,20,13,10,13,14,13,12,15,9,7,11,13,13,7,22
18,11,6,12,13,16,8,13,11,15,12,16,13,8,12,10,10,10,11,7,15,14,13,8,16
19,7,7,12,9,14,8,10,7,16,10,11,11,14,11,12,14,17,8,12,4,8,11,19,13
20,7,13,15,13,11,7,8,15,21,8,9,6,12,6,8,9,12,18,5,9,10,10,14,13
21,13,8,13,6,9,15,7,11,9,19,17,8,11,9,8,15,16,10,15,7,13,12,6,19
22,8,10,12,11,10,23,6,17,12,5,19,17,10,10,9,11,12,13,12,12,7,15,12,16
23,13,8,12,10,14,12,13,13,10,18,12,10,20,14,16,12,6,7,8,17,8,11,10,20
24,8,6,18,9,13,8,13,13,11,18,15,6,9,16,18,15,5,7,8,10,8,17,10,14
25,13,6,14,11,12,5,7,15,13,15,13,16,12,11,20,15,11,8,3,10,7,17,9,9
26,11,11,12,13,21,9,21,9,14,4,-1,8,8,14,7,9,11,8,9,22,13,11,14,10
27,8,9,13,7,15,11,17,15,17,12,16,10,7,7,19,15,10,11,8,4,18,18,7,13
28,10,15,8,18,9,13,18,11,18,14,15,15,16,9,6,17,25,4,15,16,18,15,15,16
29,5,9,7,10,4,14,11,3,18,16,15,10,7,9,13,15,8,5,16,26,40,23,7,5
30,11,10,4,12,15,15,15,9,11,6,9,24,33,16,20,12,8,9,23,10,9,13,13,11
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
