jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,3,5,4,2,3,3,2,1,14,19,40,15,11,10,14,60,4,8,4,34,8,5,5,3
02,4,48,62,2,4,3,2,7,3,8,12,13,8,16,15,8,21,18,5,2,3,15,6,7
03,2,17,6,2,7,2,4,6,2,77,115,148,110,159,81,38,28,23,17,10,14,13,12,21
04,7,23,16,11,3,9,20,56,18,22,37,26,15,32,48,19,12,6,-1,56,41,15,34,48
05,7,12,8,8,5,9,10,39,51,124,103,7,16,15,12,5,13,3,2,2,1,9,8,6
06,9,12,12,12,21,5,8,8,55,47,99,150,24,11,3,4,4,3,7,3,4,2,10,3
07,4,17,9,7,13,12,8,6,8,25,8,13,9,13,7,11,5,4,3,1,2,9,5,12
08,9,6,7,9,9,27,5,1,40,39,19,15,11,63,102,4,5,20,10,2,2,1,1,6
09,5,5,2,2,-1,5,4,8,1,4,7,1,7,3,7,8,4,8,46,-1,-1,-1,-1,-1,-1
10,4,7,1,5,4,8,5,9,5,22,28,12,26,14,3,6,6,8,4,7,1,7,6,5
11,4,9,3,5,6,8,5,7,4,14,22,27,41,10,11,10,10,4,6,3,5,7,12,8
12,6,9,6,8,9,4,26,42,73,15,22,20,13,13,58,14,16,60,5,6,27,14,34,14
13,30,9,11,11,12,12,11,6,25,21,20,18,17,13,9,5,7,13,20,4,10,3,8,7
14,14,22,15,10,15,8,10,7,6,14,12,28,7,7,12,2,36,4,3,30,2,7,24,4
15,7,16,3,4,5,5,5,7,13,16,-1,-1,11,-1,8,-1,-1,-1,2,6,19,1,4,7
16,3,3,1,2,5,17,-1,-1,17,-1,-1,-1,4,-1,-1,14,5,2,4,-1,8,5,16,4
17,5,1,1,3,7,7,3,7,6,-1,-1,-1,-1,-1,-1,-1,-1,6,1,-1,-1,3,6,9
18,7,6,6,5,7,7,7,8,17,8,18,8,11,6,20,7,4,6,2,6,3,5,6,4
19,4,6,1,1,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,-1,9,4,19,-1,2,2
20,12,9,6,16,11,13,16,-1,-1,-1,-1,17,9,-1,18,6,6,2,5,18,20,13,4,3
21,6,10,9,4,6,2,13,7,10,-1,-1,-1,-1,-1,-1,8,-1,-1,4,13,6,2,13,8
22,6,2,21,9,7,-1,-1,12,19,7,35,10,14,19,-1,-1,4,1,4,6,-1,2,4,9
23,12,5,5,2,6,8,6,6,-1,11,13,-1,-1,-1,10,13,2,2,3,4,-1,-1,28,9
24,7,7,13,13,9,19,15,6,-1,-1,21,19,12,2,6,8,-1,2,5,-1,-1,-1,5,9
25,7,10,3,7,4,7,4,7,6,13,17,8,7,7,2,51,19,6,3,1,1,4,9,4
26,6,1,1,4,3,-1,-1,-1,-1,-1,-1,19,15,8,8,8,2,3,-1,-1,-1,9,21,11
27,7,11,9,13,6,5,6,10,15,-1,-1,13,16,-1,-1,7,1,6,4,7,5,-1,4,10
28,26,16,8,7,14,7,11,9,10,10,16,12,42,6,3,5,5,1,6,26,8,13,6,9
29,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,7,-1,-1,5,2,1,2,3,-1,1,5,5
30,4,1,3,1,2,1,9,6,8,-1,-1,-1,-1,-1,-1,8,14,7,5,4,5,2,9,5
31,9,4,2,2,4,5,6,7,11,20,20,9,22,-1,-1,5,3,4,3,-1,-1,-1,-1,-1,-1
