aug,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,37,19,10,6,5,13,8,6,14,16,31,45,77,90,45,24,35,63,73,61,32,-1,42,39
02,15,26,6,7,9,-1,-1,6,10,8,27,42,69,86,27,23,38,52,70,75,45,42,10,15
03,23,11,14,11,10,5,6,8,6,9,34,51,63,76,34,35,42,50,63,41,42,34,24,16
04,8,15,7,9,12,3,5,5,15,22,27,54,45,60,30,26,26,34,36,37,35,35,36,16
05,5,15,8,3,4,2,1,7,8,5,20,36,52,52,29,15,22,38,33,35,34,35,27,-1,-1
06,10,5,9,7,4,3,2,7,6,16,19,30,41,27,25,22,22,33,32,38,42,27,31,13
07,8,12,6,10,3,5,4,6,12,9,11,32,43,43,23,17,22,34,37,32,35,26,29,16
08,15,10,5,3,6,6,6,6,3,9,21,35,25,38,22,11,20,42,25,48,41,18,25,16
09,12,7,3,7,10,5,5,8,7,11,18,17,35,34,34,20,45,62,33,56,43,38,18,22
10,15,13,11,7,8,10,8,7,9,8,23,29,31,25,25,22,27,40,44,50,48,45,18,11
11,14,9,5,10,5,3,7,4,6,7,30,35,44,29,21,19,40,27,24,41,46,40,28,17
12,19,5,11,15,9,4,5,6,12,6,22,37,45,20,26,13,27,58,43,37,57,50,23,16
13,15,12,7,7,5,-1,-1,-1,-1,-1,-1,-1,30,22,23,17,26,37,48,41,32,44,24,20
14,19,19,12,6,9,8,5,5,13,8,20,25,36,33,21,26,45,44,39,53,44,40,34,-1,-1
15,-1,10,8,12,8,1,3,3,8,8,13,43,46,22,14,16,32,50,42,41,48,36,36,35
16,18,12,9,11,14,9,7,16,7,8,28,19,21,28,16,22,20,37,43,40,64,31,14,16
17,9,5,5,7,6,-1,2,3,2,9,5,15,21,14,12,19,25,32,28,32,38,31,24,13
18,7,8,9,2,4,9,3,6,3,6,28,19,27,20,11,17,29,38,42,29,38,35,23,16
19,13,8,8,6,5,6,4,7,12,11,8,27,18,17,26,18,35,39,43,42,35,32,18,11
20,8,9,1,3,6,4,4,9,5,6,14,13,29,14,7,19,27,39,23,15,17,28,15,8
21,14,10,7,6,4,6,5,2,9,10,18,35,26,17,14,13,31,36,16,14,22,25,14,7
22,14,6,3,3,3,3,2,1,4,10,20,15,24,11,10,11,23,38,21,24,24,16,14,10
23,6,7,7,5,4,4,3,4,2,11,13,18,23,13,11,24,30,19,17,12,19,23,14,23
24,8,8,9,4,5,2,5,7,10,6,13,15,17,17,9,17,20,21,23,16,20,15,30,13
25,5,8,5,1,7,6,4,1,3,7,14,27,23,16,14,19,33,26,17,22,22,22,11,18
26,7,6,9,6,5,6,3,9,8,5,9,18,17,16,12,20,32,30,24,19,19,23,9,11
27,12,8,5,2,7,1,8,3,-1,5,10,12,19,8,8,13,12,25,24,30,21,27,61,14
28,6,8,2,3,9,3,8,1,10,9,14,21,17,7,17,23,34,30,21,28,56,51,16,10
29,8,4,8,7,4,2,2,4,6,11,16,13,19,7,11,19,20,17,26,17,26,34,20,9
30,7,12,5,6,8,9,3,7,8,8,12,15,13,12,5,10,30,31,24,18,29,33,24,9
31,12,10,6,4,5,-1,8,7,5,8,8,14,18,16,18,17,26,26,27,23,28,23,21,13
