Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,51,64,72,78,72,84,82,71,58,49,62,50,45,48,39,35,25,35,37,37,54,51,51,50
2,59,59,79,86,81,83,76,78,71,55,49,56,50,55,36,23,42,37,46,45,40,55,64,52
3,66,69,87,73,81,99,82,83,91,64,61,68,52,55,39,29,39,6,-1,-1,27,47,56,57
4,42,57,68,75,74,87,92,83,80,56,80,50,46,31,52,34,52,31,32,43,80,48,55,57
5,70,58,77,80,68,96,77,78,68,72,51,56,59,37,39,35,48,27,34,25,32,52,54,41
6,50,62,61,71,71,55,61,71,62,57,56,52,34,33,38,21,32,22,33,32,42,41,51,49
7,38,72,62,79,78,85,80,78,65,57,58,79,48,44,48,27,42,35,43,35,41,52,58,55
8,49,57,66,84,90,80,89,76,75,62,54,53,63,30,32,31,24,26,32,28,50,49,50,52
9,59,69,63,77,86,91,81,69,76,42,48,56,33,37,36,31,40,34,47,48,59,72,51,68
10,45,57,76,72,77,91,94,95,86,56,65,55,50,30,38,33,24,14,22,36,49,51,54,56
11,46,38,44,63,63,61,63,76,65,41,36,40,51,41,35,23,17,13,45,28,57,71,68,76
12,44,57,52,50,64,85,90,87,95,62,45,48,34,23,41,20,19,34,57,91,100,109,87,99
13,65,35,43,50,88,115,120,117,104,85,55,43,41,23,39,29,23,39,71,100,131,158,152,126
14,108,44,55,64,112,130,140,128,124,82,48,38,38,26,20,23,24,46,51,54,60,52,60,48
15,48,40,44,59,54,56,75,66,57,54,39,60,50,35,25,13,27,17,17,23,40,40,35,45
16,41,39,43,47,57,47,57,51,51,28,56,49,33,23,21,30,33,25,28,15,31,35,31,37
17,32,34,40,52,42,64,57,47,58,54,54,53,54,54,40,44,7,33,36,35,52,45,58,72
18,65,95,71,83,76,101,97,101,85,93,86,56,57,56,40,43,26,37,47,35,44,45,53,65
19,80,69,76,81,86,92,104,96,89,78,75,69,54,59,58,16,41,37,39,47,43,44,58,59
20,51,60,63,69,76,79,99,92,128,83,73,66,63,60,35,23,37,18,51,36,42,58,56,62
21,67,87,74,98,95,107,124,80,107,79,85,78,44,61,37,51,32,50,52,44,48,58,62,52
22,70,64,72,82,83,85,101,86,95,81,74,72,50,51,50,35,34,40,29,43,47,49,49,65
23,60,78,65,85,87,81,91,103,97,88,68,68,47,45,42,49,36,29,52,44,44,50,55,47
24,53,75,86,84,92,104,100,77,73,74,63,60,60,30,38,28,22,23,40,28,41,49,53,54
25,50,67,73,68,77,82,86,88,86,62,68,63,50,43,34,32,35,30,46,39,43,49,49,57
26,46,71,60,80,77,79,101,75,71,72,61,68,49,34,32,31,29,17,43,26,52,41,40,52
27,53,60,75,80,83,88,88,69,65,62,69,64,44,35,43,34,25,28,32,27,53,40,30,52
28,65,64,65,82,80,102,79,72,82,62,57,70,55,49,40,39,26,34,38,31,34,38,46,57
29,48,65,55,84,74,77,73,68,66,55,63,57,61,56,30,26,29,24,26,33,19,38,46,45
30,58,63,63,77,96,68,73,79,66,60,59,67,55,41,40,41,31,27,43,39,27,33,53,51
31,55,59,77,72,93,96,85,74,54,69,62,61,48,43,40,28,26,27,25,35,29,48,47,75
