Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,23,16,25,76,72,66,56,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,25,22
2,13,18,37,47,41,56,69,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,28,13
3,14,24,23,42,63,53,70,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,21,13
4,29,18,19,32,40,55,62,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,22,15
5,16,12,34,36,46,40,48,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,41,9
6,25,24,23,48,38,44,65,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,26,14
7,42,13,46,62,38,56,52,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,35,18
8,17,24,28,39,53,54,53,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,23,11
9,16,16,14,17,28,36,24,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,26,25
10,28,14,24,22,25,20,41,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,26,11
11,7,14,11,16,22,30,21,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,21,19
13,35,25,23,18,22,23,26,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,25,19
14,24,21,20,22,14,30,22,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,35,21
15,12,22,29,26,21,21,34,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,19,21
16,11,14,12,22,13,21,15,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,34,24
17,16,29,25,30,29,21,40,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,22,16
18,10,17,14,22,13,22,18,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,21
19,15,13,21,9,14,24,19,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,26,21
20,20,13,16,26,20,18,35,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
21,12,23,22,37,29,31,18,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,17
22,23,25,16,44,48,44,49,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,47,24
23,10,15,39,45,51,44,57,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6
24,1,1,1,2,1,38,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
25,22,12,23,48,44,59,62,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,13,18
26,27,12,24,44,36,33,50,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,13,16
27,20,13,14,49,26,41,64,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,16,1
28,10,14,32,58,51,55,46,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,16,15
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
