Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,27,16,16,14,13,11,15,7,6,9,14,12,28,27,36,25,33,42,49,48,43,59,33,35
2,29,22,19,12,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,26,35,31,37,41,22,34,45,35
3,38,27,35,26,22,16,10,-1,-1,-1,12,6,21,27,19,22,27,27,35,29,29,30,36,40
4,33,20,-1,-1,-1,-1,-1,-1,7,12,3,5,28,22,17,20,21,26,34,38,34,31,25,30
5,27,15,26,32,28,19,-1,13,8,-1,-1,-1,22,26,24,22,36,29,40,37,25,34,32,26
6,32,25,23,19,26,12,10,9,4,14,7,14,21,23,14,36,35,28,41,42,38,51,42,38
7,31,24,-1,-1,20,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,25,27,31,35,43,41,34,29
8,36,19,27,-1,14,11,-1,11,-1,10,7,-1,-1,-1,28,-1,36,25,31,31,22,40,38,31
9,24,30,17,18,-1,-1,-1,-1,6,6,8,22,27,-1,36,23,29,26,35,28,31,40,23,33
10,34,26,14,16,14,9,19,10,7,6,4,-1,28,-1,-1,31,25,32,38,28,37,45,31,31
11,32,17,13,19,11,18,-1,-1,5,5,10,12,18,22,15,23,27,30,27,34,38,53,39,27
12,36,21,16,10,14,9,-1,-1,9,7,11,17,-1,-1,14,24,27,19,34,38,35,33,34,35
13,21,12,8,16,18,9,14,5,9,8,8,15,17,19,22,21,28,33,42,38,28,32,34,27
14,35,23,12,15,16,11,14,10,6,7,16,11,-1,19,28,28,25,31,28,33,34,35,33,38
15,33,36,18,21,24,20,21,11,9,6,7,12,28,28,28,32,35,47,47,40,49,34,47,42
16,28,25,26,26,22,20,16,16,9,9,5,9,18,-1,26,27,32,45,41,33,39,46,48,51
17,27,29,11,13,11,8,8,5,3,4,12,14,24,-1,-1,29,34,46,41,33,32,49,37,44
18,24,16,12,21,15,18,14,11,7,6,10,10,-1,-1,13,-1,19,26,35,28,38,39,44,35
19,34,20,17,21,13,7,8,12,13,9,11,19,22,23,25,23,15,27,32,36,34,32,34,33
20,27,20,13,16,12,6,7,8,9,8,11,19,21,13,19,24,33,28,25,26,36,44,38,39
21,26,24,24,19,24,26,13,10,11,5,11,12,30,22,26,24,25,37,41,35,29,42,43,34
22,41,23,22,21,25,13,11,9,7,7,7,11,-1,-1,32,34,28,44,35,31,53,55,40,50
23,27,23,22,16,12,17,15,14,3,8,4,22,16,-1,20,25,27,52,44,36,36,38,47,29
24,40,25,17,20,21,16,14,9,10,10,12,11,27,18,26,29,26,41,37,35,29,44,35,40
25,26,36,26,29,23,14,21,11,12,9,14,15,27,32,36,26,31,17,33,39,31,30,26,33
26,33,26,23,36,21,11,13,7,6,11,12,11,37,33,17,17,33,33,35,32,55,38,34,29
27,27,36,22,27,32,10,12,9,8,12,7,14,15,17,15,23,28,30,31,41,38,57,46,38
28,26,-1,14,13,14,20,14,4,11,12,8,12,20,26,-1,27,39,27,30,41,21,26,50,50
29,30,32,14,21,14,17,17,6,5,7,6,11,23,24,31,19,28,36,43,43,37,37,50,45
30,20,19,21,10,9,9,10,8,4,8,8,17,26,22,38,26,42,34,39,47,55,65,48,48
31,31,29,10,19,12,12,4,9,3,7,17,16,23,27,31,28,29,31,50,41,39,49,49,42
