Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,11,7,15
2,28,21,66,63,77,73,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,14,7,28
3,8,16,48,84,90,48,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,5,13
4,12,24,50,70,60,68,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,9,-1,-1
5,6,14,48,37,38,59,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,29,1,9
6,6,19,54,-1,-1,79,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,10,10,9
7,8,8,33,55,64,45,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,19,6,8
8,7,29,44,70,67,48,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,4,7,12
9,13,29,57,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,6,1
10,5,5,77,46,42,51,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,13,5,5
11,9,22,51,67,83,59,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,5,9,4
12,15,13,48,58,56,66,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,6,6,9
13,6,22,36,44,57,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,11,7,5
14,17,7,24,37,49,35,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,9,10,14
15,10,25,48,47,57,59,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,7,18,8
16,14,35,62,77,40,44,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,7,19,8
17,8,34,54,65,16,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,8,8
18,18,39,62,67,67,53,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,9,2,13
19,11,22,66,59,86,54,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,1,11,19
20,10,44,41,82,78,62,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,9,15,13
21,18,13,28,80,85,66,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,18,14,3
22,14,42,-1,90,65,76,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,17,21,9
23,44,11,55,82,90,68,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,22
24,17,28,102,155,80,63,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,17,17,23
25,31,61,54,73,88,66,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,29,18,10
26,17,37,110,112,118,90,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,37,16,39
27,27,42,114,139,88,84,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,17,53
28,29,25,41,92,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,15,10,11
29,11,31,80,102,58,21,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,36,10,14
30,19,39,83,111,88,137,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,22
