Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,56,54,60,64,40,49,27,100,90,100,134,60,19,64,78,106,109,130,103,123,118,92,161,154
2,145,204,179,204,153,222,186,165,186,174,152,170,155,47,53,46,45,76,135,137,149,185,163,170
3,211,191,138,120,149,206,178,149,94,175,178,145,72,26,54,51,43,50,31,42,103,95,84,41
4,67,89,140,80,50,24,56,37,53,61,56,24,46,36,54,50,43,50,41,57,42,49,56,91
5,52,160,173,207,168,189,201,197,183,178,169,89,56,53,29,26,30,51,57,35,37,20,23,37
6,104,118,148,211,218,178,30,54,61,29,77,93,8,21,38,36,48,55,39,35,42,38,42,76
7,89,93,80,75,208,149,141,103,55,139,148,64,53,15,25,26,27,36,24,28,41,72,24,41
8,24,60,47,84,112,87,87,131,119,169,109,32,54,33,39,40,22,19,32,56,57,75,105,50
9,80,74,152,199,201,137,111,126,95,106,115,88,68,67,52,17,4,11,60,79,49,53,106,87
10,79,57,79,107,93,105,132,126,155,142,93,97,73,10,12,12,13,13,11,9,5,15,38,34
11,15,23,22,46,42,41,25,22,22,23,50,123,26,13,13,15,13,10,7,11,2,5,22,5
12,1,10,46,20,44,66,84,121,95,27,47,39,16,17,16,18,23,31,16,19,3,8,25,57
13,79,59,21,25,12,26,95,99,28,29,43,15,15,27,66,67,3,2,4,1,1,8,5,7
14,5,2,16,8,25,79,124,153,109,84,50,10,7,10,7,26,2,3,7,12,18,64,16,62
15,76,116,80,48,60,21,3,1,5,9,14,7,5,4,18,71,48,17,4,7,14,26,35,22
16,32,82,85,35,50,71,92,139,67,23,2,2,8,18,12,25,25,7,5,1,2,4,18,18
17,3,2,9,46,42,41,49,27,27,6,10,6,12,12,23,19,84,62,23,25,-1,3,-1,1
18,8,15,17,69,53,108,93,99,75,61,28,11,2,6,11,32,19,24,1,4,3,1,2,3
19,38,119,43,33,32,30,37,76,123,105,31,48,52,39,11,15,7,15,15,27,26,9,24,18
20,33,30,44,43,56,99,137,119,180,146,136,94,58,7,22,24,34,40,34,10,21,64,69,17
21,19,15,9,13,17,20,17,27,37,149,162,67,19,18,9,18,109,144,171,168,101,168,172,103
22,30,116,120,177,109,145,109,117,141,113,134,76,95,132,93,45,70,76,63,54,83,75,71,28
23,26,33,2,13,39,60,1,7,24,3,1,2,8,24,38,31,31,41,11,2,14,23,48,61
24,96,23,25,38,25,73,133,120,139,125,97,81,77,55,60,58,103,72,67,49,93,38,17,7
25,2,4,-1,1,70,121,96,124,160,141,101,85,111,104,86,44,6,8,3,8,1,1,3,5
26,1,1,2,4,9,10,22,40,66,55,22,13,5,24,38,26,31,15,13,35,25,62,119,68
27,60,70,91,27,3,4,31,119,121,47,9,5,12,20,25,41,50,37,18,-1,2,12,99,78
28,87,54,30,55,23,71,100,100,116,92,91,24,31,37,29,25,25,50,47,36,61,39,95,181
29,124,57,68,175,206,190,185,160,166,75,85,90,49,32,29,34,22,43,95,165,127,50,102,188
30,165,33,47,55,47,61,64,63,62,83,57,44,50,80,42,63,50,52,51,21,18,49,55,53
31,46,25,43,15,39,62,108,97,87,78,56,31,37,41,59,51,46,50,53,87,74,63,58,51
