Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,6,4,11,12,22,20,28,21,17,19,28,24,42,36,26,36,20,29,19,14,23,9,12,7
2,4,3,14,18,25,12,28,20,29,27,16,26,37,35,33,18,18,16,15,19,12,8,4,6
3,1,12,12,21,23,16,39,30,23,24,25,23,34,32,38,41,14,25,15,9,12,9,7,9
4,3,7,16,11,13,22,21,28,25,18,29,40,34,47,33,23,13,18,8,11,5,11,9,16
5,7,8,16,16,20,21,28,15,26,22,38,26,35,35,42,27,20,14,7,5,8,14,4,5
6,8,12,9,11,17,23,26,25,27,27,31,27,27,36,31,19,37,17,10,3,11,11,7,7
7,4,13,24,13,18,28,32,26,21,26,33,38,30,35,37,22,28,23,20,10,9,12,3,12
8,6,11,11,18,25,25,42,18,21,24,33,27,30,27,29,18,28,23,11,14,15,6,5,22
9,4,33,24,13,15,34,35,35,37,38,34,36,28,35,28,44,25,19,19,10,10,6,11,9
10,10,8,41,24,23,33,25,38,26,29,29,55,24,29,17,32,27,23,12,15,5,9,11,12
11,12,16,18,28,34,28,29,24,24,84,175,76,165,21,19,27,28,30,7,6,19,14,3,8
12,9,11,23,15,30,34,25,30,26,31,46,49,26,41,28,24,18,18,15,10,4,4,4,5
13,2,4,7,7,10,14,25,23,16,12,16,13,26,12,15,20,19,8,16,4,6,10,5,5
14,3,9,9,11,16,13,17,6,10,13,15,29,25,14,19,22,17,13,5,3,10,10,4,4
15,5,6,14,18,15,19,13,11,11,21,21,19,49,17,11,12,22,15,10,7,8,9,6,10
16,6,7,7,9,16,14,18,15,23,10,30,17,22,24,17,18,18,7,11,8,11,6,5,7
17,2,12,10,11,20,12,12,15,20,22,15,17,21,13,24,12,19,18,7,8,11,4,2,-1,-1
18,5,8,13,11,16,25,16,12,12,16,24,20,19,28,21,33,15,9,11,12,9,7,11,7
19,5,10,19,12,25,18,18,15,9,16,16,12,23,22,23,14,15,21,7,3,10,6,3,4
20,3,10,6,11,15,16,26,26,26,18,26,11,31,21,19,21,15,12,12,3,4,7,6,2
21,2,8,9,14,13,10,15,14,11,23,15,16,21,23,26,15,20,17,9,6,2,4,5,7
22,5,4,6,17,13,11,16,18,19,18,22,19,20,13,20,22,9,8,17,11,7,5,4,5
23,9,12,15,9,5,11,8,20,13,12,33,22,27,24,13,14,12,13,6,6,16,7,6,6
24,6,7,15,9,9,12,11,17,14,16,16,13,9,7,23,12,12,7,7,7,10,2,5,6
25,4,8,25,13,9,14,14,9,13,2,10,14,39,23,13,6,9,12,10,12,9,6,7,12
26,3,12,23,12,9,9,16,11,12,11,20,22,31,46,26,72,73,5,7,6,5,9,-1,3
27,2,4,4,11,10,9,10,22,12,31,19,23,25,26,16,18,15,20,16,5,7,2,2,3
28,9,12,6,18,14,13,8,16,14,13,22,16,17,18,16,18,17,20,10,13,5,4,22,5
29,5,9,14,11,13,10,11,18,15,11,11,15,13,8,22,20,11,6,7,5,1,1,1,1
30,2,7,12,9,15,13,10,7,13,12,14,21,12,33,19,25,21,9,5,5,3,8,4,6
31,5,6,14,12,17,11,10,10,17,17,17,16,31,17,25,12,11,8,13,10,3,8,7,4
