Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,7,9,3,2,5,5,5,4,7,4,4,11,6,11,4,11,14,9,10,15,8,11,18,9
2,10,4,2,3,5,1,3,3,3,4,11,8,8,6,8,4,9,20,9,17,15,11,11,15
3,14,6,7,6,1,5,2,3,6,10,6,12,11,11,10,4,6,10,6,22,16,12,11,12
4,15,5,10,12,11,8,6,5,4,6,5,11,16,3,7,10,7,13,17,18,13,10,16,15
5,9,13,4,7,10,3,2,6,7,5,5,9,11,10,9,9,11,9,10,13,16,20,16,12
6,4,5,8,1,4,7,1,4,2,6,9,9,11,5,9,7,2,8,12,15,12,4,11,8
7,15,15,6,5,7,7,10,4,5,9,7,13,11,7,4,8,11,9,12,14,14,14,14,21
8,17,14,8,8,4,8,5,6,6,4,9,9,4,7,12,6,13,12,17,21,10,11,12,11
9,18,10,4,7,4,3,-1,-1,1,2,7,4,4,4,7,8,7,7,8,17,19,19,19,13
10,5,4,-1,1,4,4,1,1,3,8,11,8,7,3,4,7,5,2,10,11,16,17,12,6
11,8,8,1,3,4,3,5,5,2,9,10,13,24,13,15,4,6,2,6,7,8,10,15,15
12,5,11,7,6,3,3,1,4,4,10,16,17,27,25,5,8,3,10,8,11,7,19,23,14
13,9,9,6,10,7,6,4,3,5,11,27,29,26,29,27,5,6,5,9,24,21,21,33,26
14,9,3,-1,2,4,1,2,3,2,16,19,31,35,50,31,16,7,8,8,35,31,52,27,31
15,15,8,9,6,6,6,7,7,3,7,12,8,9,16,4,17,13,16,9,23,16,27,26,23
16,13,15,12,16,6,11,8,9,8,4,8,7,9,10,6,10,9,6,12,11,16,14,18,14
17,8,10,10,4,3,3,2,2,5,2,7,8,9,5,8,1,9,10,8,12,7,21,12,8
18,8,15,8,6,3,3,3,1,2,9,8,9,7,10,11,3,4,5,4,14,12,8,8,6
19,14,9,12,13,7,5,8,7,8,7,7,7,16,2,10,7,7,12,9,13,11,12,17,13
20,8,5,9,7,1,4,1,4,2,6,4,4,2,5,3,12,9,8,12,15,4,17,11,16
21,14,17,7,10,15,4,3,3,6,8,5,8,10,7,6,4,10,6,11,14,12,13,18,8
22,17,20,10,11,3,4,3,3,4,8,2,5,8,7,14,9,13,11,6,6,11,8,8,15
23,11,6,7,11,2,5,2,6,5,3,5,7,6,5,5,10,8,5,18,19,23,23,16,10
24,10,-1,-1,14,6,6,2,2,6,4,6,10,8,6,6,8,4,7,15,7,9,16,11,11
25,10,10,9,7,8,7,6,-1,3,2,2,3,3,3,6,7,6,9,5,14,8,12,13,16
26,6,5,6,5,4,3,2,1,1,6,4,9,1,7,6,8,12,12,10,6,14,7,14,10
27,6,5,1,6,1,2,4,4,2,2,2,8,5,2,10,6,7,8,6,15,7,13,9,10
28,11,8,2,5,4,-1,2,4,-1,-1,3,6,6,5,8,8,10,5,6,5,9,11,12,11
29,11,18,5,4,3,4,3,1,2,7,8,8,6,7,6,6,4,9,6,4,8,9,5,12
30,13,14,6,5,5,4,3,2,2,5,7,7,4,9,6,6,6,12,8,5,4,9,7,12
31,7,6,4,6,4,4,3,4,4,4,5,5,3,8,4,9,10,7,2,4,9,12,13,8
