Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,14,8,9,7,2,5,-1,4,6,4,7,2,2,12,17,7,20,17,13,16,21,27,16,25
2,5,3,2,-1,-1,-1,-1,-1,-1,3,6,-1,11,12,12,15,15,18,9,18,16,18,17,14
3,18,12,10,-1,-1,-1,-1,-1,-1,6,6,3,2,8,13,19,5,22,24,14,24,26,15,13
4,19,11,8,8,5,5,5,2,4,-1,8,8,10,14,19,21,11,14,22,17,21,25,17,15
5,14,20,15,9,6,5,-1,-1,2,-1,6,10,10,13,19,20,11,14,10,13,16,17,13,14
6,22,21,13,15,3,7,3,2,7,9,10,5,12,15,13,16,16,14,15,14,27,18,23,19
7,15,16,13,9,7,6,4,3,-1,10,7,-1,11,12,16,5,16,15,11,14,20,17,27,13
8,9,5,-1,9,2,2,3,1,7,4,-1,3,13,13,13,10,3,13,17,14,14,15,16,23
9,7,12,4,6,-1,-1,5,-1,-1,-1,-1,12,11,17,14,13,14,14,11,13,25,13,18,24
10,10,24,17,9,2,3,5,-1,-1,-1,7,10,16,10,10,15,16,13,18,18,27,15,22,18
11,18,6,12,5,4,6,2,-1,2,5,3,6,10,9,7,12,10,11,14,14,11,15,19,18
12,20,20,6,9,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,9,16,8,11,27,17,10,22,18
13,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,13,6,9,3,24,20,12,15,5,14
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,10,-1,-1,16,8,19,11,11,17,19,12,18,18
15,3,2,-1,-1,-1,-1,-1,8,7,-1,3,6,-1,12,14,11,17,16,18,13,21,8,15,21
16,6,12,3,2,7,1,4,1,1,-1,-1,17,5,11,18,11,16,12,16,14,12,16,13,13
17,4,3,2,-1,-1,-1,-1,-1,-1,-1,6,7,7,9,-1,9,14,11,8,6,18,11,9,17
18,17,17,6,6,8,3,3,4,3,-1,6,12,-1,12,10,14,21,16,15,26,16,19,17,25
19,19,14,3,5,6,6,1,1,1,3,4,5,3,9,6,12,15,17,11,6,19,15,17,18
20,18,19,10,4,-1,-1,-1,-1,-1,5,11,-1,7,22,12,9,10,13,13,15,14,23,15,8
21,12,11,8,6,6,-1,-1,5,4,1,4,9,13,12,17,10,15,15,9,10,18,17,17,16
22,15,14,17,11,9,-1,-1,7,4,-1,-1,13,12,13,11,21,15,9,18,16,13,19,10,15
23,7,5,4,7,4,2,3,1,1,3,1,1,6,16,18,10,9,12,8,16,17,17,19,25
24,18,12,7,6,11,3,10,-1,4,-1,14,8,12,10,18,16,14,13,8,11,11,14,11,15
25,14,15,9,6,5,2,2,2,1,3,6,4,12,20,19,7,10,8,12,8,9,19,12,16
26,20,14,9,6,6,7,5,-1,-1,-1,6,8,3,16,16,11,8,9,11,15,21,18,20,22
27,9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,12,12,15,9,14,17,16,11,7
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
