Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,26,7,1,6,1,4,16,15
2,23,23,18,24,24,28,28,35,37,29,27,32,23,9,13,11,16,2,5,-1,2,6,5,7
3,13,11,9,14,16,16,23,13,20,15,8,12,14,10,11,20,14,11,3,14,3,2,4,8
4,13,7,11,15,15,13,11,20,96,15,12,68,20,21,10,18,14,3,5,7,13,6,6,9
5,14,26,15,12,24,26,32,39,22,24,16,17,17,17,14,16,20,11,24,18,7,8,15,8
6,10,17,15,4,14,23,27,32,32,53,17,16,16,19,24,29,14,6,4,5,6,5,6,8
7,15,12,14,14,30,18,33,35,52,42,11,81,17,20,12,12,17,7,42,3,9,3,13,13
8,12,22,17,22,34,26,40,31,36,26,22,16,14,8,18,21,23,12,5,3,4,8,9,13
9,16,26,14,26,21,22,23,35,36,26,25,16,24,25,40,34,21,103,104,71,79,37,14,12
10,18,21,27,23,34,28,61,52,42,33,67,42,23,19,17,24,29,16,28,11,5,9,18,5
11,19,20,26,17,18,33,39,93,65,40,20,14,16,13,12,16,18,12,45,15,2,4,10,12
12,14,22,19,30,39,35,43,38,39,20,23,20,20,15,18,14,13,4,6,3,3,5,6,14
13,12,17,32,21,26,25,43,36,42,23,26,23,28,38,20,15,35,60,70,39,40,9,12,18
14,17,23,16,29,40,51,50,47,38,29,32,28,24,23,18,12,15,10,14,61,18,25,12,16
15,24,15,21,29,24,37,33,37,30,24,33,22,19,10,28,21,18,10,8,3,6,9,13,11
16,24,18,19,15,30,42,41,40,34,25,18,16,8,12,15,15,20,9,11,11,10,19,92,60
17,22,31,16,27,29,38,31,39,33,24,21,17,16,11,21,21,24,6,3,1,5,4,6,8
18,19,8,8,15,21,30,31,31,32,19,15,9,14,11,16,14,10,7,9,5,3,10,9,18
19,12,16,16,24,21,30,34,34,25,25,29,16,15,17,11,18,26,25,27,11,8,6,13,24
20,16,16,19,24,27,22,25,27,25,27,10,8,8,7,11,52,92,53,8,7,2,12,9,7
21,14,21,19,25,24,23,29,14,20,18,17,23,10,14,14,9,8,6,2,1,3,8,2,5
22,5,8,13,12,11,12,6,145,133,16,4,14,14,74,104,7,14,4,2,3,5,10,12,11
23,7,17,11,13,18,9,38,56,45,12,5,6,6,4,24,5,10,8,67,2,1,7,1,4
24,6,8,9,8,7,8,9,16,8,15,8,19,38,16,5,5,3,6,2,3,2,5,4,5
25,7,10,10,9,61,7,20,8,43,104,28,5,10,10,13,13,7,5,7,12,12,7,14,8
26,11,16,13,26,15,23,27,21,24,18,89,142,68,31,17,13,13,14,10,56,115,18,3,10
27,15,14,19,12,19,22,23,40,22,27,59,12,5,5,11,4,5,3,5,1,20,5,6,12
28,14,4,10,11,17,16,27,17,18,16,14,14,11,5,5,11,3,5,9,9,14,7,8,19
29,21,39,32,20,20,24,19,22,13,23,16,17,7,7,12,10,7,47,41,21,6,6,11,11
30,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
