Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,35,5,-1,-1,20,-1,15,11,8,6,5,12,16,23,31,26,24,42,27,32,38,45,37,29
2,19,-1,-1,-1,-1,-1,-1,-1,4,6,2,4,18,28,26,43,51,42,41,48,43,63,46,34
3,-1,14,10,28,21,10,11,10,3,1,4,-1,12,19,30,24,33,36,43,37,49,31,34,20
4,17,17,18,20,11,11,9,9,5,9,6,7,19,20,32,27,49,30,33,45,30,43,37,30
5,24,19,12,10,17,8,11,22,5,10,5,3,20,35,33,41,39,46,40,58,44,52,30,24
6,22,-1,24,16,13,6,5,7,3,7,4,8,20,22,33,35,37,36,45,49,39,47,31,22
7,-1,-1,-1,10,-1,18,9,8,-1,-1,-1,11,21,17,31,32,38,46,51,46,49,54,42,36
8,20,13,23,23,26,20,13,12,7,7,8,15,19,24,30,32,32,33,47,41,38,38,40,32
9,33,23,21,15,12,17,17,20,8,8,2,16,21,28,38,32,30,40,40,39,40,43,47,40
10,-1,20,-1,-1,-1,-1,14,9,10,11,6,10,15,13,27,39,45,39,47,38,38,50,35,30
11,12,10,24,21,20,14,15,14,7,5,7,18,25,31,18,45,43,37,38,33,36,41,29,26
12,8,16,14,22,12,8,8,8,4,7,5,12,23,19,25,38,61,48,41,30,39,39,20,18
13,24,15,20,18,29,9,5,9,-1,6,5,5,17,22,28,38,33,42,33,37,40,39,27,17
14,8,16,-1,-1,-1,12,11,10,8,11,8,9,14,28,28,39,32,44,35,47,34,45,34,20
15,14,11,15,12,9,13,7,6,6,5,8,9,20,26,25,29,49,55,47,45,47,43,28,20
16,15,11,-1,7,9,11,8,3,10,2,5,15,17,33,27,37,31,32,34,48,32,38,16,22
17,22,13,15,15,11,13,7,-1,4,5,6,14,-1,-1,-1,41,41,51,46,39,36,34,31,25
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,20,29,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,27,20,25,14,17,13,14,11,6,6,10,18,19,25,27,37,46,59,52,60,40,55,31,27
20,21,17,10,10,-1,13,10,12,6,9,5,16,30,31,29,33,32,52,44,51,36,49,31,34
21,-1,-1,10,13,13,16,10,7,9,5,6,9,17,25,35,41,56,68,42,45,44,40,30,21
22,14,11,5,8,10,12,4,9,4,8,3,28,16,39,41,36,47,56,38,46,35,45,31,17
23,22,14,13,16,22,16,7,2,7,5,8,11,24,42,39,54,56,46,40,37,33,35,30,25
24,30,15,15,-1,19,9,12,6,-1,9,6,9,11,27,51,55,50,65,42,54,47,39,33,26
25,22,10,14,14,-1,6,14,8,6,7,3,12,21,23,50,53,67,58,50,47,57,48,15,19
26,17,-1,-1,-1,5,3,7,5,5,5,3,10,23,26,45,60,65,58,60,50,40,41,12,20
27,18,13,14,12,17,7,8,8,9,8,4,14,24,40,48,63,75,65,54,39,37,40,23,20
28,-1,-1,-1,22,12,12,7,6,6,13,8,14,17,37,61,58,84,74,66,47,49,26,26,24
29,24,12,11,10,15,8,6,10,5,8,5,13,29,41,53,64,71,70,49,48,44,30,24,21
30,16,22,12,10,14,13,12,11,5,10,5,9,37,42,57,68,86,75,67,54,49,30,17,28
31,19,18,14,15,15,9,5,11,6,15,6,12,13,28,28,62,78,70,66,51,31,44,38,15
