Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,26,42,21,28,30,42,63,76,66,53,36,27,34,29,37,39,35,25,16,10,25,32,49,51
2,48,37,35,41,54,65,52,37,42,24,72,12,-1,-1,-1,-1,-1,7,21,28,15,40,53,45
3,37,55,56,51,65,87,55,56,45,-1,-1,-1,-1,-1,-1,-1,-1,11,21,22,23,35,33,46
4,69,29,43,32,74,61,57,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,17,30,23,35,34,33
5,46,53,44,43,71,59,40,45,32,-1,-1,-1,-1,-1,-1,-1,25,144,34,12,9,25,21,24
6,18,16,16,21,47,41,27,33,19,19,30,33,13,20,27,7,44,5,9,10,38,21,26,28
7,41,142,55,31,31,30,30,42,52,22,74,59,19,13,13,36,16,1,14,4,13,15,14,32
8,21,30,32,24,38,46,33,23,28,17,9,30,21,19,19,12,11,10,8,13,7,17,23,35
9,37,27,29,31,48,60,37,50,68,57,41,38,-1,8,23,14,39,44,12,9,19,16,36,13
10,16,29,38,34,17,37,32,23,62,52,22,11,8,15,14,19,31,11,8,9,13,20,25,30
11,34,26,30,33,56,67,36,46,58,166,162,42,26,21,19,12,12,14,39,29,20,54,23,160
12,30,40,60,43,74,60,68,54,36,60,72,46,37,14,45,36,27,19,41,26,-1,32,75,56
13,56,77,89,83,76,78,118,120,91,51,71,48,31,38,29,25,14,141,31,41,9,9,30,57
14,102,49,47,53,63,60,135,35,48,48,35,33,15,109,25,9,17,16,53,27,23,89,24,23
15,26,38,48,33,46,56,32,38,36,36,23,16,25,17,15,16,17,4,29,16,57,59,15,32
16,18,24,28,28,41,34,21,27,35,21,78,53,112,24,22,18,20,22,8,8,14,17,17,20
17,29,5,20,21,29,25,27,20,38,13,106,6,-1,8,-1,-1,44,16,16,12,10,19,22,15
18,17,12,17,26,34,26,23,26,18,17,24,15,20,14,15,20,15,11,3,5,9,10,8,20
19,20,11,15,12,27,20,17,85,37,51,20,16,17,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,18,22,13,13,14,12,15,13,14
27,12,7,12,14,24,17,11,17,12,12,9,95,15,12,9,17,11,9,8,8,8,7,6,17
28,20,19,19,18,16,23,24,16,18,31,16,16,19,16,17,13,14,8,20,12,8,17,11,7
29,15,13,11,13,23,12,22,16,15,15,19,13,11,19,16,19,17,19,45,11,11,18,12,32
30,73,15,31,18,24,25,16,21,16,19,15,15,12,13,8,14,11,20,7,7,21,8,8,9
31,8,19,15,21,19,13,18,19,13,19,12,11,16,15,17,17,221,29,4,13,9,16,10,6
