Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,261,314,319,258,250,211,254,272,249,199,170,180,147,158,120,96,89,98,101,130,161,156,181,193
2,258,297,265,294,256,266,215,228,223,253,213,190,151,156,119,80,76,99,117,134,136,152,292,262
3,297,288,222,262,249,312,344,312,261,246,268,281,325,266,196,118,76,99,124,110,136,138,159,221
4,231,276,297,262,262,197,223,199,216,251,549,379,361,153,127,98,94,91,129,139,149,162,154,227
5,265,247,255,232,236,236,207,204,228,208,249,199,188,165,116,112,104,81,92,132,125,169,167,203
6,273,257,254,243,239,220,206,198,197,216,209,177,146,117,87,71,80,83,94,114,116,144,161,208
7,260,265,268,282,227,202,224,195,184,202,228,212,171,148,123,106,106,91,102,114,124,143,184,235
8,268,275,253,267,219,228,231,227,241,210,190,188,158,146,103,96,85,109,93,101,135,170,206,206
9,245,283,285,239,256,243,258,253,251,215,224,210,165,139,100,94,91,103,97,111,120,155,201,207
10,250,242,239,241,264,197,233,220,244,256,201,167,142,150,74,83,100,100,88,125,111,129,180,182
11,226,270,283,244,219,250,252,198,208,212,222,209,171,155,114,72,69,65,92,137,141,145,166,239
12,244,233,221,251,237,245,234,231,221,226,216,197,162,134,98,75,87,91,98,105,108,149,195,215
13,241,276,277,231,226,199,223,217,216,166,207,157,131,111,97,111,104,97,96,120,149,129,172,218
14,243,262,262,281,246,211,217,215,171,196,188,157,188,151,113,105,89,97,93,109,109,131,213,219
15,242,290,278,278,240,182,222,188,148,192,170,185,217,264,198,106,61,73,91,108,145,159,196,221
16,252,253,262,253,215,194,186,201,214,226,225,184,155,140,128,93,75,82,106,119,126,152,200,209
17,248,248,259,248,245,246,286,233,209,240,234,186,165,152,129,101,99,87,92,103,128,124,183,189
18,215,295,286,269,246,214,221,183,204,249,227,239,189,192,216,166,97,102,108,106,141,176,181,215
19,273,255,281,270,214,227,221,227,260,265,232,185,150,154,118,99,84,91,96,96,139,152,194,228
20,255,292,262,237,211,240,255,221,245,212,209,167,149,144,107,80,84,101,120,110,142,160,185,230
21,257,259,294,299,284,214,268,259,222,238,214,163,140,120,108,90,80,65,78,90,129,136,166,184
22,229,276,260,281,245,219,231,218,164,179,181,204,135,131,133,90,90,83,91,109,117,148,166,214
23,266,253,247,280,250,257,254,274,259,230,207,171,154,168,138,81,64,92,108,100,117,147,182,213
24,282,274,301,317,241,242,235,260,257,225,245,204,156,126,109,80,75,79,97,107,125,136,170,193
25,232,232,229,260,248,233,216,233,213,198,182,206,155,165,100,92,79,93,88,124,143,150,188,202
26,271,245,246,234,264,252,263,215,229,223,221,217,168,163,132,100,97,97,114,105,160,154,221,237
27,290,292,276,265,314,296,-1,250,230,225,261,184,203,150,105,87,74,83,89,113,106,145,160,254
28,244,274,274,256,270,239,260,271,254,201,221,215,203,153,132,93,90,69,83,105,135,161,180,242
29,248,271,269,305,375,280,269,275,333,278,217,222,187,171,117,110,83,130,66,104,121,145,291,286
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
