May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,8,3,4,10,1,3,3,2,-1,1,1,-1,2,5,4,4,10,6,4,6,12,6,4,11
2,8,3,5,10,4,3,6,1,1,2,-1,1,3,6,-1,4,9,5,3,6,5,7,7,6
3,4,7,6,1,3,3,3,2,1,-1,2,-1,3,3,8,4,5,5,4,8,5,8,7,6
4,10,7,3,9,6,3,3,-1,-1,1,2,1,3,2,4,6,3,4,5,6,7,12,14,9
5,5,4,3,4,4,7,3,1,-1,1,2,1,4,5,2,7,7,1,6,7,14,16,7,6
6,5,5,5,3,4,1,3,1,3,4,3,3,6,5,9,8,2,4,1,6,4,8,7,9
7,7,5,1,6,6,4,5,2,2,-1,2,5,4,5,4,2,3,11,9,11,10,5,12,7
8,4,7,2,6,6,7,6,1,-1,2,-1,-1,3,6,7,6,5,3,2,4,5,7,13,4
9,4,2,8,4,9,10,3,3,2,1,2,3,3,2,4,8,6,10,7,4,11,8,12,6
10,8,7,2,7,7,6,3,7,1,2,4,1,6,5,7,6,5,7,11,9,10,19,12,9
11,6,5,2,7,8,9,5,2,3,-1,3,1,6,8,2,5,8,7,8,5,6,6,14,8
12,7,3,3,9,4,4,4,3,1,1,2,2,7,7,4,4,11,4,4,9,4,7,7,9
13,4,2,6,7,2,11,7,5,-1,4,2,4,7,8,6,8,2,13,10,9,13,18,17,12
14,5,1,2,5,4,4,2,4,2,4,1,4,4,10,5,7,8,8,4,6,4,12,8,11
15,2,-1,3,6,16,8,5,2,3,1,-1,4,9,5,7,11,9,5,4,5,8,9,6,2
16,11,6,1,3,17,11,4,3,1,-1,3,2,3,6,8,9,13,7,7,7,9,11,11,2
17,6,5,6,8,6,5,5,3,3,1,-1,-1,7,6,5,4,8,8,12,7,10,12,9,9
18,4,3,3,4,13,8,5,2,3,1,1,1,2,3,7,9,11,7,6,10,13,8,9,6
19,4,3,2,4,7,4,3,1,1,4,-1,-1,2,6,7,11,11,6,4,9,10,16,12,2
20,4,2,4,3,8,4,7,4,1,5,2,1,2,7,7,8,-1,8,8,13,10,11,14,16
21,5,4,1,7,11,7,4,4,1,3,-1,3,9,11,15,5,7,7,10,6,7,8,6,6
22,10,3,4,3,7,8,5,5,-1,2,1,7,9,5,12,7,10,8,8,5,13,11,12,9
23,6,3,6,6,9,8,8,4,2,2,5,4,6,5,11,11,5,10,15,9,15,14,9,13
24,8,1,1,8,7,9,6,3,3,2,1,3,4,7,8,6,11,11,3,8,7,7,10,4
25,2,3,2,5,6,7,7,4,4,1,2,1,11,13,6,1,10,5,5,4,6,10,11,8
26,6,3,2,9,12,6,7,6,-1,3,1,6,8,7,11,5,6,5,4,6,6,3,8,7
27,4,3,4,4,11,8,8,4,-1,-1,3,6,4,9,12,8,9,3,10,7,7,16,15,7
28,5,2,5,5,10,6,4,10,5,2,3,3,6,12,5,13,16,12,11,10,24,23,16,19
29,8,8,3,8,6,5,9,2,3,3,3,4,8,9,14,9,11,5,5,8,14,12,14,7
30,7,4,7,9,11,13,6,3,4,1,-1,2,4,12,8,14,1,6,16,9,18,14,20,11
31,10,8,6,12,16,9,6,1,4,-1,1,2,15,7,7,15,12,11,6,13,13,23,17,13
