Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,10,21,17,10,14,16,7,6,2,4,5,7,9,9,9,17,17,29,21,34,35,52,52,57
2,28,32,-1,47,-1,-1,33,18,8,13,5,7,10,27,22,10,8,13,12,38,35,52,55,35
3,29,23,26,-1,-1,-1,-1,-1,8,5,9,12,15,20,25,25,29,35,27,27,24,40,55,-1,-1
4,13,13,24,-1,-1,-1,21,-1,4,10,9,9,7,21,27,25,27,17,21,29,62,61,51,23
5,21,17,-1,36,21,18,13,12,7,6,7,13,12,10,15,17,24,29,39,43,61,34,30,41
6,13,17,37,39,28,42,20,6,4,12,7,4,10,7,34,24,30,28,30,39,46,47,37,27
7,37,-1,-1,-1,-1,-1,12,17,-1,-1,-1,-1,-1,-1,-1,22,28,38,28,42,36,62,70,48
8,51,47,60,79,58,28,12,11,4,3,5,8,8,8,5,-1,-1,-1,-1,-1,-1,-1,-1,31
9,16,17,-1,-1,-1,31,9,-1,11,7,6,11,10,13,15,17,10,20,27,28,46,60,74,32
10,26,31,50,36,33,35,11,7,5,5,2,11,11,21,24,22,28,30,29,34,44,52,59,39
11,22,31,56,49,27,24,23,12,10,7,5,9,10,17,27,28,21,25,38,40,60,66,42,35
12,35,44,57,50,37,38,25,10,10,8,6,11,11,14,26,29,43,25,43,65,69,62,61,47
13,18,29,45,30,45,-1,14,-1,6,7,3,4,9,25,31,26,25,21,44,44,53,36,19,37
14,23,31,30,29,38,-1,24,9,8,5,6,7,10,21,19,35,43,35,45,50,54,55,59,27
15,29,12,31,31,45,28,11,12,7,4,5,7,9,20,27,24,25,38,37,42,63,91,89,52
16,29,32,40,19,-1,30,10,5,6,9,7,5,17,14,25,22,32,40,30,44,69,63,42,39
17,48,39,61,54,66,29,27,6,11,6,14,11,21,20,31,22,43,36,49,45,50,64,48,45
18,53,36,49,47,43,19,14,6,4,5,3,8,10,16,17,40,35,34,49,62,48,78,62,52
19,22,22,36,34,31,30,13,18,-1,8,9,6,12,14,21,23,29,24,37,41,42,50,41,36
20,40,26,43,40,47,39,19,19,11,14,6,4,16,26,26,25,34,35,33,41,43,80,52,41
21,41,28,46,50,37,35,20,6,5,10,-1,8,4,8,12,19,24,37,31,49,53,48,42,43
22,26,11,-1,26,19,14,14,11,3,7,5,3,13,16,17,19,19,25,17,23,38,28,31,25
23,37,31,38,40,30,39,25,13,12,12,16,11,28,22,26,30,30,26,34,26,40,35,45,30
24,20,23,38,36,29,18,17,15,4,9,9,3,12,12,15,25,33,30,20,20,31,35,41,40
25,37,35,42,22,25,17,15,11,12,6,6,12,15,22,31,26,47,39,45,50,55,57,47,43
26,25,33,41,32,24,18,9,5,8,-1,2,3,14,14,19,28,27,40,42,37,46,35,34,27
27,23,25,23,22,22,18,11,12,7,7,9,10,17,24,27,16,23,23,19,41,34,43,42,33
28,32,25,23,33,35,24,14,23,10,16,5,9,10,24,14,28,20,47,41,37,42,24,30,34
29,29,21,21,19,24,13,17,11,4,6,5,8,15,34,43,12,16,17,25,29,36,53,41,25
30,36,17,28,34,26,28,12,15,6,5,8,8,12,21,10,22,31,15,25,27,41,37,36,24
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
