Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,53,40,60,52,87,99,128,165,168,166,153,222,143,167,141,127,100,72,74,85,85,66,68,55
2,49,44,64,73,88,98,116,117,131,151,180,205,147,172,190,187,118,152,116,136,139,74,93,59
3,72,62,54,65,98,153,186,207,218,182,189,196,189,167,165,194,160,97,118,101,193,100,101,63
4,55,65,56,60,95,128,189,206,179,206,172,185,248,241,202,182,143,129,99,82,64,85,66,51
5,77,127,90,69,102,130,160,151,152,177,151,144,142,133,118,123,118,100,74,58,62,57,36,43
6,54,44,38,76,134,180,155,218,205,189,189,200,186,209,199,204,114,230,125,133,101,127,157,116
7,83,206,211,206,204,226,224,299,303,294,295,281,211,207,-1,-1,-1,207,14,59,10,72,74,59
8,80,66,82,105,173,234,217,255,294,254,260,251,199,170,237,256,186,166,128,117,76,91,155,55
9,71,65,81,104,150,186,183,205,227,246,292,255,247,323,218,342,359,187,151,149,123,96,100,79
10,68,73,138,169,160,218,199,238,283,307,291,262,242,189,108,147,217,114,124,140,91,72,48,70
11,49,66,77,116,130,183,208,216,254,263,263,284,283,277,255,214,184,160,170,124,107,106,90,59
12,68,74,83,246,242,230,285,266,260,280,280,281,232,180,259,252,205,207,134,146,113,82,75,80
13,72,95,91,117,189,236,259,240,281,315,329,322,217,285,269,244,255,179,148,115,110,84,83,98
14,90,83,111,116,179,210,217,264,319,302,320,295,268,242,241,233,213,183,155,125,85,85,70,79
15,67,63,98,97,168,205,240,270,295,272,259,269,207,191,210,206,201,147,178,153,109,72,95,82
16,101,98,102,133,187,240,269,299,337,333,360,343,255,234,281,285,241,194,197,134,88,89,93,90
17,82,67,77,125,176,216,230,245,255,296,286,288,244,211,227,224,214,167,122,100,88,66,72,78
18,75,105,105,138,180,215,277,302,303,305,327,288,262,184,168,165,173,141,141,108,94,96,102,49
19,55,84,110,127,185,196,219,269,269,276,280,225,233,195,233,-1,-1,-1,-1,-1,115,86,117,88
20,63,90,90,135,188,240,253,289,319,350,326,273,228,177,211,178,170,137,117,95,103,74,73,79
21,63,87,89,109,120,192,224,256,296,288,321,250,217,171,214,195,156,191,118,95,95,89,89,73
22,60,96,94,128,162,243,256,295,273,315,280,273,203,197,186,161,196,163,107,119,90,83,60,36
23,68,62,76,102,144,212,233,265,260,284,288,274,189,153,154,165,129,143,120,87,106,79,67,67
24,76,57,82,85,137,203,226,231,249,240,248,196,163,110,116,128,136,137,98,100,84,79,65,46
25,38,56,60,81,110,162,176,206,193,209,242,224,195,120,172,128,126,168,125,108,107,91,-1,-1,-1
26,-1,89,114,175,227,296,316,403,324,331,455,400,304,-1,-1,-1,-1,-1,-1,140,128,-1,-1,-1,-1
27,-1,-1,-1,-1,201,299,-1,362,-1,289,-1,-1,-1,-1,-1,183,158,176,151,134,105,118,77,88
28,110,101,108,150,225,329,366,371,375,432,430,400,318,244,195,183,163,175,130,136,129,78,64,74
29,82,111,100,97,195,305,307,363,403,457,408,394,313,215,179,185,186,186,140,120,129,99,82,84
30,87,110,130,144,219,315,341,416,454,459,460,365,316,234,233,234,209,190,165,131,117,111,80,59
31,53,64,87,101,180,244,275,284,313,298,289,267,243,157,184,235,150,157,105,89,59,59,63,57
