oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,33,27,54,42,37,47,65,47,59,41,40,44,28,40,23,38,22,27,33,31,36,30,35,41
02,33,35,38,49,45,53,44,42,50,44,43,36,35,34,43,41,38,36,34,34,39,38,44,39
03,40,49,33,51,37,44,48,47,37,45,38,36,35,33,38,28,30,40,28,33,47,40,35,26
04,34,33,30,39,41,50,41,39,30,36,41,35,48,54,34,41,28,29,34,26,28,53,39,37
05,37,39,29,47,44,50,39,37,42,34,46,47,48,44,37,33,31,36,26,38,37,39,35,32
06,42,30,34,40,48,34,33,40,36,36,35,34,52,28,27,26,24,21,33,44,30,47,36,42
07,19,32,41,43,48,47,44,34,39,43,38,47,29,37,30,36,34,41,31,37,48,34,39,36
08,31,37,47,42,36,36,56,39,34,23,2,30,44,27,28,36,32,25,36,28,35,38,39,29
09,27,29,37,44,39,44,38,48,39,39,37,37,34,38,33,48,39,27,35,45,39,44,37,33
10,34,24,39,50,36,34,27,34,43,41,40,41,46,33,32,25,40,25,26,33,31,42,36,41
11,30,23,32,36,46,34,30,45,41,34,36,31,33,34,33,32,30,31,42,29,31,39,40,36
12,34,33,43,52,38,38,28,50,46,37,27,35,40,49,32,28,26,37,37,32,28,40,27,48
13,57,35,31,48,34,57,44,48,46,34,44,24,32,38,33,23,30,28,36,35,38,38,47,48
14,40,39,42,44,38,55,37,44,46,25,30,27,24,34,36,33,37,30,42,36,38,40,43,36
15,32,37,39,51,36,31,36,49,45,40,50,28,29,41,33,35,26,38,38,45,26,32,36,33
16,36,48,48,36,48,37,44,30,39,42,30,35,37,30,42,34,34,34,31,35,46,39,29,34
17,37,39,40,52,46,33,38,41,40,47,31,30,32,32,34,34,31,34,40,38,32,46,43,39
18,43,31,33,49,35,39,40,47,46,40,40,47,34,34,30,24,23,23,38,39,36,39,39,45
19,35,36,48,38,33,35,48,52,50,46,50,36,32,25,20,44,27,38,30,35,29,48,37,44
20,42,43,44,37,33,47,44,52,47,45,29,36,37,40,37,34,24,36,33,39,21,30,40,37
21,48,36,44,46,48,42,57,43,59,42,45,31,39,30,32,43,33,34,30,27,41,43,38,53
22,36,62,41,40,35,33,81,53,79,43,40,30,35,39,41,27,33,29,37,26,39,43,38,39
23,47,43,45,51,35,42,56,54,54,35,38,38,33,32,29,38,29,30,36,29,31,35,44,42
24,36,51,51,44,51,33,44,45,48,43,51,28,43,31,35,30,31,28,21,37,32,38,41,34
25,26,39,39,41,37,25,34,56,40,48,44,33,21,35,30,37,25,40,32,37,45,44,37,30
26,44,39,46,53,39,49,42,46,46,45,34,33,36,36,36,33,36,24,43,31,33,54,43,35
27,49,34,43,51,45,38,43,37,35,33,51,39,37,41,33,37,36,27,28,35,32,33,36,29
28,27,32,58,31,39,39,38,53,35,36,37,32,29,26,37,30,23,37,22,36,33,36,42,36
29,40,29,31,44,50,38,46,31,45,44,41,35,28,41,38,32,37,33,33,29,36,43,42,37
30,33,31,41,35,36,39,34,43,29,46,39,38,35,29,27,43,32,34,34,37,24,26,34,33
31,40,27,44,37,40,41,36,33,40,38,38,32,37,46,33,29,35,30,23,38,32,46,-1,-1,-1
