Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,20,37,36,56,29,36,30,27,37,26,62,49,39,23,47,25,37,30,20,20,28,26,36,22
2,23,35,31,21,37,22,22,38,23,34,37,39,58,33,27,25,23,19,20,30,26,31,27,39
3,32,22,30,55,39,30,24,53,65,52,106,140,132,142,113,78,46,-1,-1,-1,-1,-1,-1,-1,-1
4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,8,25,32,21,35,26,22,20,23,26,14,16,20,12,8,28,17,18
6,19,21,21,23,35,17,26,16,31,13,39,23,27,21,16,21,16,4,17,17,27,19,21,20
7,26,18,28,20,30,23,22,17,39,34,33,28,38,27,19,23,12,15,12,11,8,17,19,17
8,17,18,16,21,20,16,16,30,16,18,35,21,23,30,23,14,19,73,21,14,18,17,19,18
9,29,36,32,15,28,25,22,21,31,20,50,17,23,22,25,23,16,23,21,19,22,18,24,36
10,26,27,25,23,21,27,20,21,42,43,41,32,16,24,20,14,6,6,15,10,24,35,21,16
11,17,16,12,20,24,16,13,14,24,14,33,33,11,28,21,17,9,13,15,16,14,10,12,19
12,12,15,14,18,25,13,19,15,20,20,27,30,18,51,14,8,7,9,8,15,13,24,21,13
13,26,10,23,22,32,18,15,23,17,37,44,36,28,23,41,13,49,71,13,21,26,17,26,18
14,21,19,25,24,27,20,14,40,26,30,37,44,23,19,16,19,21,14,9,17,16,12,15,16
15,22,14,23,19,38,20,19,34,17,23,37,27,30,23,9,5,22,6,11,8,14,11,21,21
16,25,21,15,23,28,24,19,26,40,31,24,30,43,23,9,10,19,10,13,6,21,17,18,22
17,17,17,21,19,26,28,30,29,29,8,25,28,38,27,18,21,21,12,9,7,20,30,15,26
18,16,13,24,27,26,30,9,28,26,44,30,25,31,25,15,18,13,11,8,17,20,31,23,26
19,18,15,19,17,31,20,17,19,17,43,34,36,38,26,23,36,17,17,7,8,132,25,19,20
20,23,24,18,24,29,29,21,25,29,30,35,41,38,39,30,22,20,8,12,12,15,15,17,25
21,14,24,24,29,34,40,43,32,39,35,51,30,15,23,22,23,9,5,17,7,13,14,27,17
22,13,21,21,24,21,19,18,26,25,28,37,53,30,27,18,27,5,8,8,14,20,16,9,22
23,20,36,17,18,23,14,30,26,19,35,41,36,40,20,29,14,13,12,16,15,13,22,20,34
24,24,42,25,23,24,22,16,21,32,32,32,32,21,27,18,15,16,11,12,12,16,16,27,18
25,21,19,15,20,22,22,12,25,35,32,36,12,16,14,22,18,4,12,10,11,8,8,11,8
26,10,14,14,22,29,25,13,23,31,29,23,25,22,16,16,17,74,17,8,9,10,12,13,14
27,15,17,30,11,22,25,12,28,17,36,25,18,25,10,9,10,13,14,9,18,21,18,19,12
28,13,18,12,15,19,15,16,17,22,34,28,18,25,12,18,43,45,63,7,8,21,23,29,17
29,20,13,24,26,24,20,13,9,31,21,23,9,31,16,16,3,10,7,8,8,14,13,26,19
30,10,21,20,18,11,16,23,23,16,14,10,10,9,13,7,7,6,7,9,8,18,18,18,22
31,12,15,9,15,28,18,12,17,37,19,23,20,20,16,12,15,9,6,12,10,45,74,12,14
