Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,30,32,51,62,70,86,93,92,69,92,84,124,129,153,156,134,150,91,106,74,75,59,33,27
2,34,30,46,58,71,88,103,105,93,97,130,115,159,175,192,163,167,113,92,117,129,88,89,62
3,57,62,62,63,89,96,147,175,198,211,255,307,355,390,356,349,313,305,349,346,284,214,181,127
4,71,50,47,53,73,93,89,98,112,132,138,133,163,142,140,129,112,119,74,47,83,47,31,28
5,21,17,19,35,34,134,36,45,51,61,65,118,67,82,93,60,77,73,56,66,65,43,25,20
6,17,21,26,24,44,33,51,44,53,52,63,89,81,89,85,62,58,69,69,63,46,35,21,14
7,11,21,25,27,43,33,32,36,37,68,58,72,75,106,70,70,47,77,63,54,36,40,36,71
8,22,13,22,34,43,37,50,67,44,43,83,58,92,78,87,69,59,60,46,48,29,32,23,17
9,16,7,22,27,29,35,46,40,47,53,58,58,72,69,86,56,62,53,44,50,46,33,22,18
10,14,19,25,43,41,52,44,48,40,78,73,65,54,91,66,55,45,44,49,67,41,35,21,13
11,11,14,20,29,47,34,44,32,46,70,60,64,62,70,79,151,58,67,89,53,72,193,47,19
12,33,12,26,38,35,50,47,37,54,38,49,69,76,85,81,63,61,67,57,52,36,40,19,10
13,10,15,25,33,36,31,35,35,39,44,64,57,62,80,77,48,61,47,42,51,41,28,32,15
14,14,16,14,31,30,27,31,35,37,40,53,60,79,79,75,85,61,57,42,61,58,38,21,14
15,10,16,19,19,32,43,44,35,35,47,64,65,76,83,59,68,55,59,56,73,104,76,34,31
16,16,34,46,47,54,74,61,74,67,91,91,90,102,120,123,116,109,58,48,44,36,40,30,20
17,21,14,21,36,24,35,29,35,37,40,50,52,57,68,50,45,50,56,73,51,46,22,22,29
18,19,13,16,27,31,29,34,38,28,43,54,49,65,52,45,37,31,46,40,36,29,20,17,11
19,14,15,16,17,34,32,26,32,32,32,65,58,47,53,41,58,30,54,43,24,35,22,18,16
20,7,6,17,22,19,22,37,194,51,37,126,189,257,109,162,39,37,37,20,35,54,53,48,30
21,94,66,41,51,55,37,50,58,62,65,71,73,82,99,107,106,107,96,84,84,80,49,37,36
22,20,44,25,40,66,107,66,59,68,90,72,72,83,92,72,91,76,97,79,70,50,20,23,12
23,16,30,31,35,49,53,67,63,77,64,93,84,88,90,91,56,82,65,72,51,50,42,32,13
24,7,21,25,24,43,51,42,41,42,63,58,68,72,59,77,61,71,70,68,59,40,37,22,17
25,17,13,25,15,41,46,37,43,40,48,64,51,52,61,64,43,54,64,70,50,37,38,31,12
26,11,11,21,20,33,29,37,32,24,37,40,41,59,74,60,49,63,53,82,55,41,33,20,17
27,20,11,13,20,47,64,72,79,67,80,75,101,117,93,94,95,97,85,82,-1,-1,-1,-1,-1,-1
28,-1,46,56,82,95,98,102,121,113,144,144,182,188,176,155,174,174,126,156,115,123,94,58,49
29,46,-1,50,56,90,110,97,132,132,154,153,174,163,141,156,135,158,128,109,68,50,41,34,27
30,45,64,51,66,96,108,105,143,141,156,176,181,187,176,182,209,226,195,119,112,107,81,59,41
31,49,46,62,116,99,112,139,121,160,148,206,201,190,185,161,167,180,140,136,113,78,68,49,47
