Dec,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,6,45,62,59,55,52,46,35,41,34,38,64,42,39,42,26,27,35,26,23,25,25,4,6.7
2,42,67,8,53,77,69,53,64,59,5,139,55,4,41,49,48,31,37,36,3,3,29,32,4.6
3,29,67,89,64,48,61,59,69,79,9,86,74,44,55,24,32,3,3,38,45,29,36,49,7.1
4,127,72,66,91,67,46,69,39,49,6,72,53,57,28,22,25,3,28,35,29,3,24,32,4.7
5,45,53,77,75,42,73,34,56,45,51,63,4,25,43,32,31,35,32,29,26,22,29,45,4.5
6,81,69,83,61,55,46,51,33,64,63,54,49,5,39,24,16,26,25,27,37,39,44,33,5.1
7,26,56,71,69,86,85,49,54,51,74,37,54,42,32,31,27,27,26,32,57,58,3,51,4.9
8,75,58,74,6,68,76,66,67,45,68,8,45,56,32,35,34,3,23,34,24,33,46,61,8.0
9,91,91,10,107,73,9,79,75,57,63,72,41,54,51,23,29,36,39,43,62,65,55,5,7.8
10,62,76,86,86,73,75,54,74,67,52,76,59,46,55,34,3,37,47,55,47,6,67,48,7.8
11,6,104,142,136,123,165,128,92,75,6,76,45,55,36,46,39,48,62,65,94,155,158,162,8.5
12,96,137,167,212,183,116,119,126,99,74,57,36,34,4,38,38,53,96,125,153,21,156,10,11.8
13,207,312,361,37,29,197,164,138,139,149,61,92,47,37,66,85,129,132,225,436,535,444,398,28.8
14,266,414,406,348,24,24,221,208,266,101,8,35,41,54,46,61,6,59,67,79,72,74,42,3.4
15,55,84,72,77,76,44,41,49,89,36,56,48,32,32,27,22,27,18,24,32,3,52,32,4.5
16,67,39,6,53,77,55,54,72,55,59,83,61,4,35,35,29,16,24,23,28,23,33,6,5.3
17,43,43,44,63,57,43,55,54,7,8,57,53,33,37,28,2,2,17,18,17,21,44,24,2.3
18,43,36,39,44,81,4,48,37,42,48,54,79,36,41,27,49,32,2,21,19,24,2,23,3.1
19,31,37,38,48,46,26,44,51,3,66,38,41,36,22,37,29,2,14,1,18,14,15,28,2.2
20,28,32,26,18,21,21,28,21,28,49,49,54,38,26,16,17,14,19,18,16,19,38,24,4.4
21,28,26,33,32,32,32,28,2,36,37,35,45,41,24,29,25,19,28,16,18,14,15,27,3.0
22,24,32,49,65,59,72,66,63,104,99,141,131,122,113,99,59,45,47,21,22,22,19,66,3.4
23,21,28,41,4,46,46,48,36,48,59,54,42,32,32,39,2,2,16,15,2,19,14,23,3.5
24,26,22,64,2,25,23,45,26,37,39,35,51,3,22,18,16,18,13,15,21,18,17,25,1.5
25,2,35,41,45,32,41,63,38,37,36,32,58,33,26,17,14,8,11,12,11,1,14,34,1.7
26,26,31,3,36,34,47,35,25,34,38,33,36,34,17,23,15,15,15,13,15,18,28,18,2.8
27,29,28,36,44,37,4,33,4,36,41,37,37,28,27,23,2,19,14,17,14,12,14,15,2.7
28,22,4,5,36,44,36,26,4,34,44,36,49,45,23,19,22,17,14,17,14,11,11,27,2.7
29,12,32,35,49,33,29,34,56,31,36,4,45,2,29,22,32,8,17,13,13,12,13,25,2.2
30,27,31,33,4,36,26,43,38,43,58,29,52,39,26,39,29,16,25,19,2,23,16,28,2.2
31,24,32,43,4,47,48,42,48,49,65,46,36,36,28,34,24,15,15,16,14,17,18,2,2.4
