Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,55,62,55,93,110,134,132,107,61,62,98,54,46,37,50,34,30,25,22,24,24,34,47,56
2,38,52,62,36,81,67,81,51,59,65,72,79,-1,73,45,36,74,58,28,17,35,23,29,53
3,95,88,141,158,183,221,262,226,85,87,182,257,328,316,258,137,113,80,83,66,37,37,41,59
4,66,48,36,60,67,47,66,60,50,25,53,52,63,60,69,43,34,18,12,9,18,23,30,15
5,44,27,67,46,66,60,56,66,47,21,14,28,30,32,21,22,157,11,8,15,12,15,34,34
6,52,36,51,69,63,61,70,61,68,74,55,35,28,51,29,24,17,19,17,17,14,20,20,39
7,29,18,22,38,47,30,28,27,44,33,18,30,37,33,27,17,28,90,40,10,11,28,15,43
8,15,11,31,44,40,36,22,31,40,51,58,52,47,37,65,40,52,44,10,35,44,61,55,49
9,21,29,96,94,139,134,133,59,67,81,84,100,60,60,48,43,24,18,19,23,28,28,27,27
10,32,30,28,48,41,52,44,38,38,38,45,113,72,90,55,32,33,26,28,13,18,17,22,29
11,31,23,35,51,43,48,36,39,44,24,29,81,100,102,74,54,48,28,21,11,28,34,19,34
12,23,22,37,43,38,37,34,37,38,39,20,26,40,26,21,12,16,12,22,8,27,16,22,30
13,52,87,87,105,103,77,84,68,70,81,77,108,80,41,55,31,26,17,20,23,19,14,21,23
14,20,12,18,30,52,45,35,26,36,48,44,36,58,52,57,44,23,21,15,19,22,53,29,46
15,35,49,39,62,96,76,55,50,42,17,6,1,2,9,11,31,34,16,15,21,24,37,24,28
16,45,44,72,118,127,118,70,75,29,71,75,71,56,52,54,44,40,25,28,25,24,32,37,49
17,40,32,68,63,63,81,40,67,38,19,-1,5,-1,2,7,16,24,10,9,19,11,17,40,29
18,23,33,45,85,77,55,55,41,58,49,37,15,19,39,59,42,18,17,12,11,11,15,20,28
19,22,18,28,41,32,51,31,34,49,39,27,22,21,29,28,31,28,25,11,19,45,37,42,20
20,22,33,42,84,73,65,62,44,55,73,70,51,50,64,42,28,13,13,12,9,50,10,14,23
21,46,46,70,78,90,66,36,32,65,51,29,61,43,53,39,37,9,9,8,36,17,29,33,12
22,9,19,33,56,34,51,31,19,35,21,35,51,69,66,55,46,38,16,16,16,18,17,38,25
23,46,34,35,39,51,63,39,36,23,45,39,47,62,50,56,39,21,14,15,12,14,9,20,37
24,38,44,52,80,84,89,41,49,71,29,28,25,16,20,18,23,18,11,13,23,19,31,15,20
25,35,50,65,90,82,89,58,39,47,34,21,20,14,25,17,14,28,34,18,17,13,6,20,16
26,8,25,33,30,26,31,31,25,29,31,23,34,18,12,17,16,15,10,11,14,14,20,23,24
27,11,21,23,30,38,29,36,27,36,21,33,53,51,19,33,28,27,32,19,19,3,17,18,12
28,17,16,39,45,42,19,13,26,23,26,16,23,33,25,22,11,11,16,16,5,23,28,34,24
29,21,19,22,34,35,23,28,26,29,25,26,25,23,27,15,13,18,10,8,10,7,10,14,27
30,30,24,23,76,39,42,37,27,23,30,27,38,20,29,14,19,25,10,6,8,5,14,25,29
31,17,20,31,49,44,42,37,22,40,26,29,22,22,18,22,15,4,13,7,18,26,8,29,30
