feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,246,190,160,114,149,184,185,222,208,217,231,215,245,233,253,158,194,228,200,199,191,174,209,178
02,212,173,172,143,120,126,153,199,224,212,211,217,232,200,134,199,204,205,199,253,241,216,238,211
03,215,173,166,256,251,253,228,293,261,265,314,307,300,276,285,271,284,292,250,302,278,283,299,305
04,267,207,263,198,205,213,220,249,221,235,256,273,266,242,251,283,257,250,244,276,204,219,199,187
05,244,255,242,277,251,275,245,244,284,266,286,322,308,296,294,308,297,334,302,313,254,241,221,236
06,270,262,284,261,268,298,273,252,286,301,294,296,290,285,287,284,287,305,310,314,307,299,302,266
07,177,313,262,255,208,301,222,36,0,2,6,1,4,1,1,2,4,3,2,2,6,7,3,2
08,7,4,4,0,0,1,0,0,0,0,0,2,1,2,2,6,2,2,3,0,10,3,8,4
09,9,0,4,1,2,1,3,3,4,3,3,3,8,4,3,0,1,2,0,1,1,0,0,35
10,32,41,37,1,3,2,2,2,11,8,14,10,13,8,9,13,20,11,15,13,13,18,12,14
11,21,26,10,18,13,1,0,2,1,2,1,0,1,1,0,0,5,9,36,43,44,52,63,45
12,43,18,26,9,14,13,8,16,17,18,31,59,56,68,81,64,100,1,2,0,0,1,0,0
13,2,1,2,1,5,7,6,10,16,17,10,16,28,23,15,25,21,24,29,7,14,31,25,23
14,12,11,21,10,3,0,6,1,3,6,13,11,5,18,16,7,11,1,0,4,2,2,2,41
15,42,12,12,12,8,12,2,6,13,26,43,44,63,77,33,2,0,1,12,10,2,12,7,7
16,6,9,1,3,0,0,5,1,6,5,6,15,8,12,18,12,2,1,0,0,0,1,3,11
17,9,8,7,12,9,24,11,5,7,6,13,22,16,9,4,2,8,5,2,3,3,1,0,28
18,12,18,6,4,1,2,4,0,2,4,1,2,1,3,0,7,8,4,3,3,2,13,8,10
19,5,4,4,5,3,15,5,11,8,8,7,3,4,0,2,3,1,2,6,1,2,3,2,2
20,0,1,1,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
