may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,39,36,34,39,68,59,69,74,95,152,63,163,6,79,53,25,17,12,17,13,15,22,41,36
02,34,35,34,39,62,100,52,105,64,58,46,42,31,52,55,29,20,19,24,12,26,23,45,31
03,30,34,23,47,93,70,117,105,106,128,57,61,59,64,77,44,38,19,15,22,11,34,41,30
04,52,32,49,52,108,113,124,136,112,98,56,56,63,62,75,41,27,12,17,12,15,29,37,37
05,42,35,46,57,88,118,173,148,90,55,57,41,46,76,74,47,25,12,12,11,27,26,27,47
06,43,31,42,41,88,86,101,98,79,73,69,65,51,64,51,35,25,21,17,21,24,30,47,43
07,44,43,36,66,83,87,114,115,125,83,68,54,43,74,51,43,28,11,12,22,20,32,40,39
08,34,31,36,44,54,92,117,102,58,59,42,47,52,57,52,30,23,19,15,33,15,19,36,38
09,35,36,31,46,74,70,89,66,89,82,45,25,55,60,65,46,28,19,17,27,27,33,28,47
10,54,33,37,59,90,97,106,99,76,85,62,45,41,73,59,42,19,24,21,17,16,41,41,52
11,35,27,31,41,59,75,103,110,94,50,38,70,59,68,61,38,41,16,15,22,23,28,36,27
12,39,31,43,67,54,89,61,79,67,75,56,38,53,76,62,56,22,15,9,26,21,41,41,46
13,40,30,41,45,61,74,71,87,73,73,51,29,37,67,66,35,28,21,15,23,26,41,35,53
14,31,37,39,44,57,62,75,83,65,68,66,66,76,69,59,44,36,14,13,17,14,31,33,36
15,35,19,34,36,43,60,64,102,64,59,23,42,41,68,83,42,26,20,25,22,21,38,49,57
16,47,38,39,45,30,64,46,77,31,11,19,17,22,20,36,23,10,8,7,5,12,12,18,19
17,17,9,13,15,8,23,27,52,22,28,12,9,13,30,29,19,13,9,4,1,5,11,13,21
18,15,1,10,20,16,26,40,69,67,58,33,42,37,60,67,43,24,19,10,17,17,31,36,34
19,38,33,16,40,47,51,49,65,90,71,40,60,48,70,94,80,96,55,24,15,24,28,39,45
20,38,37,31,48,45,44,74,68,99,57,32,30,50,53,77,56,106,139,212,67,156,64,27,50
21,38,44,48,42,40,61,75,79,71,51,60,51,38,36,32,15,11,7,10,9,11,21,15,21
22,20,20,27,16,27,27,33,31,113,176,32,71,59,63,43,29,18,17,10,16,7,9,30,37
23,25,20,23,34,37,37,41,86,56,41,32,31,38,48,56,51,37,18,24,10,16,25,24,26
24,18,31,17,14,27,58,51,43,48,45,34,27,24,39,41,28,14,0,0,0,2,6,24,28
25,26,16,14,35,31,51,44,42,50,34,26,33,63,47,55,14,137,52,0,0,0,0,0,0
26,0,0,0,1,0,0,33,64,22,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12,27,19,31,51,38,62,70,139,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,4,24,28,95,132,124,110,65,1,0,0,0,0,0,0,16,0,0,3,0,0,3
29,36,21,38,45,65,69,80,86,4,4,0,0,1,0,0,0,0,130,209,0,167,171,25,9
30,0,3,0,0,0,6,111,131,186,110,19,18,28,63,38,30,28,20,16,11,20,22,26,33
31,38,25,24,38,44,68,67,55,71,34,27,33,37,49,75,32,89,19,12,17,15,22,31,-1,-1
