oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,14,34,21,43,149,186,190,173,167,141,157,34,8,2,5,0,2,20,2,0,1,1,65,157
02,172,140,132,48,7,12,98,186,175,102,26,1,7,21,82,82,74,4,10,7,5,7,5,9
03,185,203,180,204,221,229,187,90,48,14,11,4,2,2,8,30,16,52,105,85,133,86,37,70
04,50,65,78,101,159,211,226,213,156,44,19,22,9,2,1,1,1,19,31,25,20,34,17,15
05,26,20,26,10,24,13,65,82,44,27,34,20,1,2,2,1,2,7,24,17,18,25,24,22
06,15,3,13,3,22,29,57,53,35,15,15,12,18,12,7,12,7,19,21,20,51,51,21,35
07,10,54,46,14,34,52,52,96,139,15,16,8,12,9,6,12,12,22,23,31,150,195,159,114
08,174,169,118,84,130,199,200,175,193,194,38,6,7,38,54,30,5,52,58,177,154,163,242,228
09,240,214,145,31,81,184,93,102,195,172,68,29,58,48,6,5,4,45,21,74,86,62,161,154
10,88,131,88,68,117,122,109,165,102,27,34,13,5,6,2,6,15,10,20,24,29,25,32,29
11,14,16,27,42,61,52,54,30,15,16,7,18,14,17,9,3,6,5,19,18,16,15,13,10
12,15,17,10,15,23,49,68,31,17,28,19,14,13,7,8,14,72,73,103,123,129,104,46,53
13,36,32,12,13,24,52,36,29,29,16,31,22,15,4,8,12,27,28,20,10,66,87,128,127
14,58,102,100,76,156,194,97,54,52,52,25,19,14,16,15,7,8,26,103,50,24,7,12,9
15,9,45,37,2,35,28,23,19,23,56,54,10,3,3,0,2,4,13,68,196,154,41,86,94
16,13,28,96,123,158,196,192,176,128,58,45,30,34,27,38,100,64,37,34,17,19,9,11,21
17,12,17,26,52,107,158,145,138,164,119,23,13,3,4,2,13,10,39,42,48,63,38,57,96
18,63,36,98,202,160,202,117,110,106,73,53,50,47,44,39,59,19,79,67,91,129,92,94,76
19,95,187,78,106,179,208,198,125,141,119,105,98,38,73,47,43,30,31,57,45,60,40,44,87
20,52,95,142,83,211,201,209,202,198,169,165,150,124,61,22,14,6,12,18,25,130,126,112,199
21,106,52,47,14,53,76,68,49,49,49,34,64,38,33,34,22,41,69,45,69,66,97,29,39
22,70,55,17,36,52,91,76,71,41,50,23,17,7,19,28,49,27,19,39,58,78,118,52,34
23,47,77,92,55,114,158,151,78,95,32,17,17,14,6,12,16,11,6,14,14,19,34,28,43
24,18,29,57,28,61,56,57,108,44,34,42,27,7,6,11,7,4,19,47,157,202,210,239,121
25,137,17,38,16,142,173,99,56,43,62,36,27,6,5,4,6,4,26,42,54,58,57,38,84
26,108,38,109,146,156,174,141,115,68,68,15,11,24,8,9,15,15,25,68,75,45,86,43,38
27,29,56,22,12,22,43,79,84,73,62,44,60,34,23,4,10,7,55,86,74,63,67,62,70
28,48,66,66,12,30,56,73,198,223,149,108,62,14,5,6,45,101,88,37,29,48,51,90,34
29,16,19,8,4,22,46,42,55,46,51,41,37,6,6,6,1,11,6,14,13,25,143,74,32
30,38,37,38,34,30,53,41,80,105,68,76,61,42,48,50,60,74,98,79,4,11,11,26,17
31,41,38,41,58,66,50,98,163,147,107,73,60,60,30,6,8,11,6,7,19,42,53,44,40
