may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,8,4,5,4,4,10,9,14,10,13,4,6,6,8,5,1,1,0,4,1,2,0,2,3
02,4,1,3,3,6,3,4,6,10,6,6,6,5,3,1,6,1,3,5,1,1,3,4,6
03,8,7,2,6,8,8,11,19,8,10,12,9,3,3,2,1,1,1,0,2,4,2,1,2
04,4,6,5,11,8,10,9,11,5,7,4,3,6,1,7,2,2,0,1,1,0,5,9,2
05,7,6,7,4,12,15,12,11,14,19,7,11,3,5,3,1,0,3,2,1,2,2,8,5
06,8,7,8,9,15,10,17,10,10,8,11,5,1,1,4,1,1,2,2,1,3,1,3,8
07,4,7,7,12,12,10,14,13,10,11,9,7,4,6,2,2,0,1,0,0,2,4,5,5
08,4,2,5,7,9,13,6,17,15,14,8,2,2,3,3,2,3,1,1,0,1,2,4,2
09,6,6,4,11,13,10,12,14,13,10,16,10,10,4,4,4,3,2,2,0,2,3,8,2
10,12,3,7,6,8,6,16,15,20,17,11,13,7,8,7,1,2,4,1,1,3,5,6,8
11,7,6,9,7,10,9,11,18,19,16,10,5,3,0,4,1,1,3,1,2,3,2,5,6
12,12,11,5,3,8,11,18,20,13,13,8,4,4,4,4,1,5,2,1,2,4,1,2,2
13,4,5,7,6,9,14,24,19,23,8,11,8,12,1,7,4,2,0,0,4,3,9,3,4
14,4,3,5,5,15,11,9,11,11,14,1,3,3,3,4,3,4,0,0,0,3,2,4,4
15,8,9,2,7,4,10,12,12,13,16,8,10,7,6,0,2,3,0,1,3,1,3,3,4
16,8,5,9,8,8,7,8,7,13,9,9,8,7,8,2,4,0,6,2,10,1,2,8,7
17,11,8,12,9,12,18,13,11,7,14,6,7,10,7,2,1,1,5,1,1,3,4,2,4
18,5,5,6,11,8,7,18,10,8,12,3,2,3,4,2,1,0,3,2,0,2,4,4,3
19,5,4,5,6,6,11,8,8,12,3,5,3,6,8,1,4,2,5,1,2,3,5,5,6
20,2,5,6,10,6,3,4,8,7,10,8,9,6,6,4,1,2,0,1,3,0,2,6,3
21,4,4,8,5,8,3,12,12,19,12,7,5,9,3,7,0,2,2,0,0,4,4,2,7
22,8,5,3,6,8,3,9,8,13,15,8,6,9,4,6,4,2,5,0,5,0,2,3,7
23,7,7,7,7,14,6,10,10,14,12,13,9,3,4,2,1,6,0,3,1,4,5,7,5
24,6,3,6,11,9,13,12,16,17,10,12,5,6,4,3,3,3,3,2,1,3,5,4,11
25,11,7,5,9,6,10,10,14,10,14,7,6,4,6,2,2,5,5,3,1,3,3,4,7
26,7,7,8,6,11,15,12,10,14,19,6,5,4,5,5,3,1,1,1,2,2,2,0,3
27,4,2,5,8,10,9,12,19,15,9,4,7,9,5,3,2,1,1,2,3,5,7,3,2
28,5,6,6,3,10,8,10,19,15,5,3,1,2,3,5,3,0,1,4,2,5,0,3,1
29,2,2,4,3,9,8,11,11,9,5,7,3,2,2,2,0,1,2,1,2,2,6,3,5
30,6,3,8,9,6,4,6,18,13,16,4,9,8,3,3,3,3,2,2,1,1,2,3,7
31,6,5,3,6,3,4,13,8,10,14,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
