nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,24,16,37,66,51,29,25,99,103,72,220,185,95,55,34,92,52,42,75,36,36,18,0,0
02,0,0,0,0,0,0,0,0,0,43,223,133,122,158,174,114,74,110,31,69,57,90,139,48
03,75,34,38,63,106,78,101,86,28,48,37,41,54,48,65,61,70,48,38,52,67,108,80,53
04,41,81,41,144,115,182,116,102,81,104,166,169,117,14,76,29,36,41,67,52,59,88,71,84
05,45,38,37,38,37,101,180,66,61,70,80,148,75,117,65,39,22,13,15,33,49,36,34,56
06,51,126,158,9,19,22,41,48,39,35,40,79,36,4,10,4,2,1,0,10,6,4,1,5
07,93,48,94,0,5,10,14,0,3,14,12,29,42,131,184,54,16,14,19,34,34,78,61,35
08,56,34,38,11,19,36,49,33,35,11,1,17,36,3,19,15,21,39,108,0,0,218,118,4
09,115,83,262,74,92,131,119,220,105,119,100,179,165,47,26,47,12,27,6,23,10,21,12,78
10,18,65,20,4,3,0,4,6,3,4,2,8,3,5,8,0,5,9,6,19,7,2,3,6
11,1,4,12,17,38,76,58,74,59,55,75,78,154,77,40,9,12,6,14,12,11,27,82,18
12,106,1,10,15,9,4,22,40,16,48,22,9,17,53,198,97,55,91,56,59,166,270,20,43
13,66,68,204,15,59,72,23,53,17,78,36,62,100,51,55,34,37,45,23,287,110,120,98,188
14,185,121,231,48,68,69,95,127,109,105,40,178,144,91,154,107,94,41,16,16,21,75,58,26
15,8,13,33,0,0,1,0,1,0,2,0,1,0,3,0,1,3,2,11,15,7,10,11,26
16,12,52,39,6,34,16,6,8,42,25,16,33,24,9,24,13,48,36,67,32,54,29,20,56
17,41,210,107,26,86,149,72,147,188,57,49,197,88,61,22,14,16,10,17,14,15,9,35,123
18,14,12,8,9,10,19,26,19,11,15,10,12,13,54,126,142,43,152,77,89,89,147,81,82
19,74,69,61,100,111,120,87,58,83,119,77,110,118,238,151,172,76,105,91,81,121,337,468,135
20,182,126,480,423,60,100,81,73,94,78,198,296,230,229,190,175,207,286,403,350,325,301,410,583
21,347,214,232,226,169,133,177,129,147,160,409,371,337,315,190,260,273,272,312,504,345,336,476,557
22,568,349,356,509,593,474,500,498,529,558,379,465,163,234,228,147,187,27,184,434,404,471,515,320
23,399,556,396,448,350,498,559,260,405,426,230,445,504,506,456,147,228,552,416,218,425,347,181,182
24,170,14,54,29,53,168,247,208,139,81,166,204,203,230,93,103,105,132,151,176,142,188,208,411
25,153,115,145,102,176,164,489,382,349,333,431,441,537,548,479,440,230,237,275,214,344,413,528,454
26,529,430,476,543,477,556,555,627,556,629,420,461,9,12,79,66,11,8,22,20,16,74,444,433
27,247,182,709,745,48,65,69,62,100,58,69,228,241,369,181,183,161,203,351,196,359,248,316,196
28,386,85,70,60,29,40,36,34,28,21,34,95,266,154,169,180,189,239,476,391,280,194,226,202
29,450,511,418,189,65,42,90,60,69,63,38,202,230,263,186,124,398,260,715,375,402,522,471,616
30,555,201,224,104,43,42,41,35,39,27,103,108,87,104,56,48,61,107,196,109,59,97,124,126
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
