mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,116,122,109,127,162,178,90,114,63,85,66,91,121,80,53,13,13,19,20,10,10,14,3,2
02,1,7,11,27,31,37,15,7,131,199,171,138,45,33,23,9,9,9,8,6,19,9,29,43
03,88,94,91,49,48,80,36,37,85,24,1,0,1,1,1,0,0,1,0,1,1,0,0,1
04,1,3,1,2,3,3,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
05,4,5,2,1,1,8,6,0,1,1,0,1,0,0,0,0,0,1,8,2,0,19,1,3
06,1,1,1,0,0,1,0,4,2,3,17,8,4,3,7,1,0,0,0,2,0,0,5,0
07,5,1,4,6,5,3,4,0,1,0,1,1,4,2,1,1,0,0,3,0,0,0,0,3
08,2,18,28,109,0,0,0,6,13,9,17,23,20,38,45,20,11,2,5,69,63,24,121,110
09,110,75,23,216,184,202,77,57,145,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,20,36,13,5,20,59,65,24,15,22,6,2,2,3,1,3,1,1,1,3,5,17,7,13
11,24,63,-1,60,3,3,14,23,12,0,0,4,4,0,0,3,0,8,1,5,8,6,17,27
12,12,18,13,27,30,19,21,38,20,11,9,10,18,14,1,2,1,0,2,4,0,2,1,4
13,1,1,1,3,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1
14,1,2,2,3,1,1,1,3,1,0,7,5,9,7,0,0,0,0,0,1,5,7,17,15
15,20,36,91,156,122,134,119,143,86,70,56,96,66,20,27,5,2,0,2,5,7,26,15,56
16,39,100,148,154,178,129,113,125,74,92,76,51,88,68,27,5,2,4,12,10,7,8,11,10
17,12,27,52,40,60,106,78,80,71,16,10,32,13,12,3,2,8,2,2,2,5,7,18,19
18,43,47,106,111,107,159,186,48,79,181,221,221,167,257,184,103,75,17,21,9,13,24,44,80
19,95,140,133,164,173,166,145,143,20,20,11,7,5,6,3,1,0,0,1,8,6,3,26,28
20,53,58,83,125,134,134,108,108,135,134,121,36,24,59,41,25,43,6,3,3,16,32,81,69
21,42,95,85,132,66,63,102,90,205,171,163,186,162,82,162,123,86,17,10,26,5,2,2,8
22,25,45,17,10,0,0,3,2,4,15,5,0,6,4,6,6,27,20,2,0,0,4,13,42
23,31,14,16,5,1,3,0,6,16,11,5,6,15,19,10,71,5,2,4,0,0,0,0,4
24,24,151,177,287,211,212,63,55,29,21,47,67,78,51,60,31,37,3,18,2,7,5,19,21
25,49,83,114,132,188,194,101,41,20,93,72,36,37,45,73,68,46,43,143,42,15,40,54,59
26,53,45,68,8,1,6,2,24,24,28,19,4,125,35,17,154,30,11,1,2,1,0,2,3
27,3,2,0,0,0,0,0,1,0,0,0,0,8,129,131,144,110,27,8,5,0,0,0,2
28,1,1,0,1,16,138,85,143,153,81,48,10,5,3,3,5,0,0,1,0,1,3,22,30
29,13,45,71,75,70,106,56,130,156,29,18,24,31,56,65,36,14,5,0,2,0,1,3,17
30,25,79,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
