apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,33,8,339,200,15,11,13,12,17,23,10,9,12,8,7,8,1,5,2,76,97,74,20,44
02,55,177,33,84,141,129,80,48,52,56,54,80,47,49,16,5,15,31,3,3,4,3,15,26
03,39,62,50,37,37,20,1,0,2,6,0,2,0,5,23,4,0,1,1,0,0,0,0,0
04,0,0,0,0,1,2,0,3,2,3,5,1,1,1,0,1,1,0,0,1,0,0,0,0
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
07,-1,-1,-1,-1,-1,-1,0,1,0,17,42,17,3,0,5,9,2,0,0,0,0,0,1,0
08,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,4,21,0,2,1,2,1,1,1
09,4,5,5,5,3,2,1,1,0,0,0,2,0,2,0,0,2,1,0,0,5,1,0,0
10,3,1,1,1,3,3,18,44,17,28,50,49,56,59,90,39,44,0,0,0,8,0,0,2
11,1,5,0,3,2,1,0,3,6,2,6,9,13,41,74,112,44,12,22,14,16,15,41,20
12,24,29,37,67,35,43,31,51,30,2,5,4,4,20,1,2,5,0,3,36,6,24,9,3
13,3,6,2,4,7,25,6,2,18,16,26,2,0,0,0,8,0,0,0,0,0,0,0,-1,-1
14,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
15,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,-1,0,0,0,0,0,16,64
16,70,71,16,1,0,1,1,2,7,83,111,212,30,17,18,123,338,338,142,3,1,0,9,3
17,1,0,0,0,6,0,2,10,5,0,0,85,144,257,229,166,115,48,37,90,132,155,270,91
18,47,37,56,106,31,61,10,23,117,33,33,119,63,6,0,1,0,0,0,1,0,0,0,3
19,2,0,2,3,13,26,11,8,29,3,3,1,7,18,3,4,4,2,0,1,8,28,67,31
20,8,11,15,35,58,113,43,114,74,45,16,6,33,36,66,35,3,5,2,2,23,7,27,46
21,5,12,5,3,6,21,47,8,4,7,23,35,25,23,2,4,60,137,36,2,4,5,7,4
22,4,15,29,27,37,45,59,94,62,38,26,53,4,0,0,0,0,0,0,0,0,2,0,0
23,0,0,1,0,1,2,0,4,6,0,3,3,2,13,17,2,2,3,0,0,1,0,1,3
24,2,6,9,15,12,7,8,56,47,57,49,79,44,70,99,0,0,0,1,9,26,71,1,1
25,4,2,1,5,5,13,38,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,12,27
26,0,1,1,2,14,2,4,5,10,4,17,12,9,-1,-1,-1,0,0,0,0,0,5,13,1
27,0,1,1,2,4,5,3,80,70,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,9
28,3,3,0,0,0,0,2,4,1,1,2,0,3,0,1,0,0,14,0,0,0,0,3,0
29,1,0,0,77,110,219,226,81,67,0,1,1,0,3,0,0,0,0,0,0,1,0,1,4
30,0,8,3,0,0,10,0,1,3,1,1,2,3,8,0,0,9,2,0,8,2,1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
[E]za,g}8Idjaz`'jfd
