apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,62,306,123,83,128,459,136,17,539,623,350,19,13,18,18,20,90,141,115,63,33,26,20,26
02,23,43,11,8,7,13,11,13,39,61,244,230,301,477,698,187,75,47,239,490,420,338,284,855
03,904,574,468,411,553,478,609,792,275,169,426,625,660,316,463,480,506,550,402,271,87,67,72,84
04,142,74,11,8,38,95,412,278,561,532,498,754,742,647,290,245,651,736,722,578,150,122,150,61
05,80,156,89,0,0,0,0,0,0,0,255,678,614,503,170,626,668,510,480,601,508,641,448,477
06,325,766,714,681,753,595,578,527,565,484,643,568,441,448,431,324,440,792,619,199,361,254,148,169
07,195,188,208,227,205,176,164,151,108,457,296,138,384,660,450,274,594,569,429,618,605,401,768,818
08,855,830,807,785,538,484,436,378,449,110,422,450,829,656,464,614,628,749,459,680,483,493,244,110
09,75,110,134,221,242,141,130,147,461,371,190,113,236,307,582,806,834,583,755,707,262,78,319,420
10,667,602,277,289,320,298,223,284,622,721,622,728,767,775,770,686,483,467,337,649,320,241,208,286
11,560,512,376,0,0,0,0,0,0,62,315,542,566,385,416,225,76,32,18,11,7,14,10,6
12,7,7,7,6,6,6,6,6,9,35,104,464,548,530,613,782,763,338,257,168,19,68,136,39
13,32,21,16,16,23,19,15,26,455,186,532,703,583,450,353,410,730,614,556,323,356,280,27,17
14,24,21,12,15,25,22,42,23,47,12,10,9,7,7,8,7,7,9,59,6,6,6,6,6
15,6,6,6,6,6,6,6,6,6,7,18,7,9,9,8,13,70,46,21,18,44,192,415,404
16,474,552,253,20,526,629,636,644,481,349,594,777,811,739,653,649,781,746,518,376,149,41,67,42
17,36,26,9,8,21,75,23,15,17,8,9,11,23,67,102,93,158,194,123,28,17,23,10,8
18,6,6,6,6,6,6,6,6,74,181,24,18,27,160,30,14,23,27,12,8,6,6,6,6
19,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,18,44,41,17,7,11,7,7,6
20,19,16,27,39,8,8,15,11,10,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
