jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05,0,0,0,0,192,343,285,300,310,236,227,253,249,166,232,233,0,0,0,7,101,111,137,203
06,234,257,269,299,308,257,285,59,0,0,0,0,92,217,147,119,15,0,0,49,138,111,136,189
07,236,296,280,302,301,148,191,333,317,0,0,0,0,0,0,0,121,104,65,52,86,79,156,198
08,252,264,247,287,224,271,272,246,211,272,251,0,121,170,125,114,73,66,52,57,94,128,126,225
09,313,275,325,301,315,329,310,301,313,303,308,337,129,125,58,0,0,0,0,0,0,37,158,191
10,259,314,291,304,294,302,303,222,0,232,218,183,293,309,204,154,0,42,76,325,253,142,172,189
11,245,250,300,0,172,350,302,284,268,257,237,314,206,84,160,151,93,122,72,58,98,140,204,207
12,288,269,288,318,292,300,312,286,290,239,219,126,0,126,147,128,90,51,62,57,85,116,153,194
13,269,248,287,293,290,287,273,284,236,247,199,219,377,406,187,116,80,92,65,70,59,117,158,203
14,226,255,262,269,220,298,280,301,250,282,218,276,133,0,75,186,43,6,188,54,80,108,125,192
15,250,268,243,262,276,223,239,278,258,237,196,168,135,6,156,56,6,3,0,0,0,0,0,0
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0,0,0,0,0,241,263,228,172,231,443,325,155,127,128,90,44,64,88,102,115,213,322
23,347,290,296,364,297,283,250,288,240,282,168,183,142,121,151,144,96,93,79,81,154,200,237,301
24,321,281,291,349,339,311,152,76,309,409,288,320,6,110,172,131,108,84,82,101,110,165,243,326
25,338,344,367,377,344,328,297,299,249,250,207,186,178,189,269,140,93,78,75,85,100,125,179,247
26,298,291,373,372,315,315,275,292,266,239,215,175,206,154,140,112,87,90,91,97,122,160,224,294
27,352,357,388,321,338,314,308,230,255,270,199,178,145,182,141,109,87,73,64,65,110,121,215,265
28,283,309,299,343,346,252,284,227,156,240,266,183,138,134,114,84,73,90,90,76,130,108,203,248
29,276,317,334,332,315,298,321,277,284,217,217,190,185,131,104,108,58,73,53,58,75,101,189,234
30,305,287,316,336,298,295,249,225,214,209,194,154,158,144,146,136,102,76,67,41,66,58,130,180
31,167,199,277,240,252,182,160,143,163,117,115,85,73,80,77,17,0,0,0,0,0,0,0,0
