dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,127,121,115,113,108,112,105,125,71,71,62,53,56,54,37,38,29,34,32,35,81,-1,-1,72
02,89,80,98,62,72,93,77,84,43,56,53,-1,41,39,33,42,30,27,25,54,45,64,70,75
03,71,81,74,81,80,71,73,88,75,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,127,208,231,173,162,135,128,145,118,110,112,92,117,77,63,57,56,-1,-1,-1,58,40,79,107
16,132,143,153,137,162,148,140,125,111,-1,40,83,-1,107,85,52,-1,-1,44,77,86,85,118,89
17,154,131,168,132,151,154,139,143,114,111,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,78,113,133
18,127,111,163,140,157,118,155,139,139,159,126,129,106,100,84,67,45,30,38,42,67,70,80,104
19,107,125,131,133,123,162,132,149,121,45,135,102,89,92,65,43,50,47,46,51,81,65,-1,-1
20,11,108,114,119,123,114,109,129,88,146,146,57,97,100,82,56,34,47,50,58,61,81,99,94
21,123,125,128,120,147,124,135,157,-1,-1,-1,15,125,115,96,55,61,51,33,71,72,90,106,117
22,152,154,154,144,146,153,160,168,130,113,74,109,103,106,86,67,59,54,44,71,104,108,110,126
23,132,118,149,124,160,132,139,117,82,83,85,105,78,79,61,52,33,37,49,43,48,53,74,90
24,91,109,122,140,111,127,164,143,152,41,130,113,84,63,60,64,30,24,30,54,-1,90,60,89
25,131,113,120,96,125,108,122,137,106,71,101,102,-1,-1,-1,65,85,38,33,41,37,60,71,16
26,-1,101,123,122,132,114,124,137,165,-1,-1,10,105,15,53,121,54,39,52,32,69,74,77,111
27,117,114,125,126,107,121,128,122,143,104,125,136,123,92,74,60,57,-1,32,34,51,68,79,105
28,-1,84,157,134,130,120,122,163,119,126,114,31,82,23,55,43,40,50,37,44,45,60,93,-1
29,32,78,104,116,117,132,137,137,118,116,113,97,94,88,89,62,48,-1,42,49,31,40,60,76
30,23,105,151,116,139,-1,-1,-1,-1,78,-1,119,119,87,60,46,34,34,29,53,51,68,80,77
31,104,109,109,122,133,120,139,128,98,113,82,113,95,66,41,35,31,36,29,38,44,-1,67,86
