apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,24,30,45,41,42,66,35,60,71,94,62,62,57,71,45,39,58,32,30,27,72,53,29,29
02,36,36,41,52,61,68,85,55,61,101,88,51,82,67,50,49,74,40,55,34,34,60,28,42
03,47,49,41,45,43,77,70,79,109,83,100,60,71,56,48,70,51,41,44,32,60,55,38,24
04,33,42,47,56,89,74,65,72,58,63,71,52,44,40,48,50,32,40,27,45,68,47,25,24
05,32,38,42,40,38,38,72,53,121,74,56,53,61,73,53,43,43,27,10,26,33,35,34,19
06,30,27,37,39,66,62,28,18,28,24,41,40,50,16,34,14,27,15,25,24,46,48,19,31
07,53,39,35,46,56,50,57,66,75,87,92,54,75,74,65,51,45,39,49,67,44,27,40,27
08,40,46,54,45,61,53,62,-1,-1,90,100,78,81,65,78,55,0,44,52,46,60,66,43,2
09,9,13,11,10,13,18,18,12,26,32,48,54,30,27,15,16,21,11,19,19,39,36,32,28
10,16,31,24,31,35,42,52,56,78,81,46,69,50,55,57,52,42,53,40,31,73,47,35,37
11,38,46,38,52,41,70,45,64,82,98,86,87,75,84,65,77,43,47,47,46,45,44,15,28
12,30,39,37,43,52,66,62,68,51,58,83,64,48,39,51,71,39,30,17,16,14,22,21,52
13,36,32,44,59,59,92,72,94,72,108,90,70,93,90,47,42,43,48,70,40,41,44,43,49
14,39,56,79,71,81,71,81,90,95,90,73,79,75,68,73,56,51,43,47,59,29,12,17,22
15,20,23,35,25,39,42,34,41,68,53,63,89,60,66,108,80,59,82,36,69,73,36,47,47
16,55,67,60,83,73,88,88,76,83,71,68,99,82,70,74,55,60,54,49,45,61,42,59,41
17,66,58,45,60,64,79,95,89,105,79,66,82,76,71,60,65,64,42,33,72,58,51,44,59
18,59,54,78,67,98,93,95,88,111,64,82,60,47,57,63,43,46,42,38,64,72,29,31,27
19,47,28,32,63,73,87,94,91,91,80,90,78,58,56,79,30,61,46,35,40,46,33,55,45
20,42,54,48,71,80,93,103,95,90,83,66,71,55,66,88,75,72,52,49,94,65,64,54,54
21,85,87,99,61,108,107,116,88,44,60,70,65,84,71,49,62,60,55,63,75,61,58,47,63
22,69,116,94,91,96,99,111,129,71,50,58,57,49,71,57,85,77,76,70,74,92,35,18,25
23,31,25,29,18,31,36,33,45,87,80,85,53,59,66,69,131,124,105,96,45,37,27,25,26
24,30,26,28,36,44,51,71,81,72,85,69,59,45,59,33,34,30,35,42,50,59,41,39,32
25,33,36,38,28,62,58,71,75,82,72,59,62,80,72,56,43,17,36,27,57,61,38,33,43
26,40,45,39,50,70,83,100,107,98,83,80,71,52,67,65,49,50,43,47,60,70,52,50,48
27,36,39,47,61,74,80,63,66,97,115,85,64,50,58,52,53,77,53,54,24,47,33,46,30
28,45,51,57,59,71,67,75,105,103,50,78,91,61,98,59,63,57,51,30,84,77,41,51,47
29,53,53,61,61,82,99,85,92,73,72,77,82,75,60,70,96,58,31,42,52,40,33,37,43
30,51,53,66,67,89,97,102,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
