jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,67,70,57,65,100,132,153,228,245,252,288,313,301,307,318,185,328,332,305,251,255,231,185,148
02,172,133,100,99,108,143,194,190,210,220,270,303,317,288,311,325,317,351,343,307,305,291,226,243
03,114,87,79,84,115,132,166,199,224,251,289,296,282,306,317,321,350,358,355,343,304,304,222,141
04,104,95,72,89,89,127,184,219,250,304,318,334,291,329,334,347,393,387,383,325,313,242,193,168
05,113,135,154,95,104,144,192,203,254,271,319,356,338,358,364,353,372,370,336,335,342,305,195,70
06,110,96,69,201,120,122,177,212,217,241,304,305,328,320,325,368,340,359,378,347,296,271,198,148
07,119,128,97,80,111,123,180,184,233,280,318,364,325,345,326,370,201,374,341,330,314,274,228,149
08,120,104,86,92,106,126,144,220,235,266,283,350,333,332,337,345,355,296,256,312,322,184,232,184
09,188,89,83,69,103,136,187,228,262,287,305,328,321,319,348,323,245,228,98,41,234,268,18,135
10,175,140,148,137,99,136,21,68,113,268,311,358,309,331,342,350,350,187,294,325,293,274,249,148
11,126,97,62,79,111,133,180,239,252,286,326,336,327,324,362,343,355,351,208,301,329,285,222,162
12,152,83,96,119,109,147,185,233,243,254,310,363,328,305,351,379,365,398,369,316,296,211,201,134
13,131,119,168,115,96,120,181,198,231,243,295,354,327,326,346,369,393,330,357,338,322,277,137,138
14,93,70,30,170,116,56,178,216,222,235,290,298,305,323,306,261,216,336,343,335,270,194,187,129
15,124,83,82,65,88,128,179,224,239,223,277,324,287,310,353,368,366,358,362,300,103,237,184,132
16,111,80,55,90,76,141,170,228,223,287,309,348,314,330,312,344,287,336,340,305,311,238,178,112
17,91,66,63,70,94,119,189,216,267,280,326,309,304,308,334,308,362,345,342,314,304,253,183,131
18,91,77,67,88,85,145,176,215,241,243,310,347,306,305,312,332,350,341,347,294,267,207,158,125
19,142,81,77,73,113,126,169,205,266,257,329,335,341,336,303,320,342,350,324,297,288,244,178,112
20,106,81,80,96,105,110,160,199,247,265,290,281,298,334,321,352,354,357,299,314,314,242,177,136
21,101,86,75,74,107,137,205,242,263,295,298,326,319,337,310,318,308,356,343,288,253,221,165,116
22,83,79,77,69,81,147,171,212,252,261,279,293,268,294,302,299,325,319,304,254,247,203,153,114
23,96,85,78,78,120,129,175,236,259,254,323,328,307,307,316,307,46,24,166,188,286,224,192,144
24,114,98,58,94,88,157,195,225,267,293,315,353,313,320,346,340,355,337,309,271,261,218,153,105
25,98,86,104,84,86,144,195,247,278,307,310,341,335,301,313,346,351,361,299,279,247,216,167,99
26,89,71,65,90,133,132,194,230,256,248,313,320,311,328,300,294,328,341,269,277,268,205,167,105
27,99,85,83,48,120,147,198,235,250,280,324,316,337,338,328,338,361,324,332,172,129,96,150,126
28,112,82,111,124,152,134,212,245,275,291,309,298,311,315,282,334,320,293,268,264,238,211,203,136
29,117,95,76,63,102,145,190,234,278,291,308,329,319,313,346,322,309,292,283,278,212,194,137,114
30,94,78,75,87,101,137,187,223,274,291,331,311,291,278,292,307,307,290,268,229,218,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
