jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,53,55,55,66,88,83,79,87,112,106,116,119,133,101,91,71,39,19,12,12,13,21,37,33
02,46,51,46,58,90,72,92,97,94,95,98,137,125,107,88,57,32,17,8,9,11,21,27,26
03,33,43,63,69,81,75,104,94,86,107,150,117,118,98,97,63,31,17,16,21,15,28,25,45
04,43,58,68,73,85,104,94,113,104,118,170,149,134,141,130,62,35,18,6,11,19,15,35,37
05,47,60,78,78,98,87,136,105,132,168,163,148,171,119,145,62,34,31,11,14,17,24,22,35
06,43,52,64,62,97,113,118,92,48,138,150,218,209,148,119,147,96,39,10,32,18,26,50,63
07,50,56,57,77,85,96,114,101,136,152,210,201,182,139,130,76,50,21,19,13,21,26,43,48
08,63,67,72,100,105,108,132,128,191,383,762,544,209,172,140,80,29,29,13,9,30,29,47,54
09,54,55,97,88,120,116,126,126,132,195,431,131,246,211,125,74,40,19,16,12,13,32,44,49
10,67,64,78,81,95,119,112,117,137,170,218,211,161,158,150,68,49,18,13,7,25,30,38,41
11,62,96,73,89,91,92,93,112,288,158,180,183,219,152,211,111,148,185,17,10,21,34,38,62
12,59,61,68,88,80,112,123,124,138,158,194,187,188,166,155,71,41,17,15,15,15,25,30,56
13,66,54,78,93,86,122,119,192,105,159,201,288,199,147,108,86,37,18,14,8,18,21,36,58
14,58,70,88,86,108,116,115,118,137,187,190,175,158,144,125,72,78,24,10,64,28,21,43,43
15,68,70,78,86,104,109,104,80,170,210,213,215,212,150,115,71,49,20,10,11,20,22,40,55
16,5,-1,-1,-1,-1,-1,19,104,140,159,188,193,171,154,114,19,-1,-1,-1,-1,-1,-1,-1,0
17,-1,-1,-1,-1,-1,-1,-1,88,115,123,140,160,129,123,97,77,35,16,9,12,16,25,35,42
18,50,62,57,67,84,82,85,109,99,124,149,129,122,115,76,63,41,22,14,7,8,28,45,47
19,54,64,71,74,82,97,107,106,90,125,118,136,144,97,85,46,30,14,13,12,11,38,34,59
20,60,62,59,66,101,86,78,92,88,112,111,116,105,108,70,45,22,30,18,13,9,16,47,55
21,41,54,66,84,80,96,91,64,105,127,131,121,100,86,78,65,33,28,21,9,18,32,37,42
22,66,77,67,67,76,81,109,88,79,489,247,6,80,69,77,64,34,11,17,10,25,23,37,49
23,58,55,83,67,86,68,111,117,93,112,132,106,102,90,74,54,22,44,28,10,70,31,44,57
24,53,57,71,84,77,78,98,109,93,143,98,96,101,92,98,48,28,17,10,13,15,31,36,52
25,61,58,54,72,95,94,84,99,85,90,115,98,112,89,68,44,48,99,439,32,83,39,31,65
26,65,76,85,82,84,81,87,105,81,122,209,90,92,82,78,50,128,39,9,22,18,26,37,45
27,66,63,73,89,80,101,108,77,74,109,98,100,75,84,70,44,41,15,19,12,13,20,29,43
28,57,71,78,77,106,86,77,88,383,315,127,106,106,84,85,100,36,21,13,13,12,18,26,46
29,60,53,68,90,78,95,95,72,82,102,118,46,7,10,6,6,6,6,6,6,6,6,6,6
30,6,8,6,7,7,6,6,6,6,110,97,81,85,55,70,71,26,61,15,17,27,4,-1,0
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
