jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,64,63,90,85,113,170
05,208,203,233,218,244,200,207,188,217,253,219,193,196,-1,133,88,106,75,88,67,82,109,96,155
06,187,216,302,-1,352,278,281,288,-1,292,264,-1,-1,-1,-1,-1,77,106,105,90,114,-1,201,199
07,203,202,249,272,269,255,260,263,259,261,292,292,292,292,51,51,117,123,101,124,128,128,167,230
08,253,280,292,315,336,305,305,251,263,-1,-1,-1,-1,-1,127,85,64,65,158,47,84,81,135,171
09,-1,128,195,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,138,144,174,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,148,259,-1,202,174,155,125,187,163,105,107,170,42,235
11,255,261,298,281,328,303,193,294,289,278,282,242,202,231,143,144,149,17,-1,-1,-1,-1,158,264
12,351,336,313,317,312,312,326,315,288,301,-1,45,53,0,6,19,27,205,84,103,157,-1,-1,109
13,125,68,79,81,-1,318,218,-1,-1,208,139,164,221,194,203,211,165,149,-1,-1,-1,162,205,232
14,299,279,314,310,280,288,245,272,-1,-1,-1,-1,56,95,151,131,-1,-1,-1,42,120,189,225,256
15,272,297,341,296,282,263,209,-1,-1,-1,266,229,233,221,174,159,-1,138,148,119,140,198,251,268
16,289,297,281,311,308,290,274,286,276,-1,-1,-1,-1,-1,146,176,153,121,180,146,157,207,249,283
17,303,321,317,333,356,353,288,286,258,278,267,245,264,-1,-1,16,128,164,191,178,199,-1,117,113
18,115,291,317,335,373,353,330,304,-1,-1,-1,-1,-1,202,184,159,138,-1,-1,178,184,197,229,303
19,294,311,317,298,331,269,273,49,297,309,278,247,210,244,193,163,185,194,204,215,-1,124,-1,134
20,342,328,326,306,343,316,323,228,289,256,-1,-1,-1,56,161,159,174,197,218,208,228,249,271,318
21,346,337,333,404,384,351,294,261,318,306,-1,-1,230,231,215,183,183,190,192,166,222,227,254,315
22,323,320,347,363,385,348,283,-1,51,59,58,48,170,200,149,195,177,198,174,184,202,261,302,340
23,386,361,373,388,392,339,291,211,262,229,205,189,160,169,123,159,151,160,-1,131,145,197,311,-1
24,-1,357,353,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,193,158,141,146,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,217,183,-1,-1,-1,-1,-1,-1,41,317
26,108,392,416,426,371,345,278,282,267,252,289,242,196,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,188,-1,-1,-1,-1,-1,-1,142,140,135,109,-1,-1,115,186,273,359
28,352,378,378,371,-1,353,268,210,260,-1,-1,275,-1,-1,-1,111,131,144,126,-1,196,159,211,292
29,355,358,371,385,358,333,252,182,205,165,176,186,160,171,158,90,102,107,88,157,101,164,236,254
30,334,351,338,377,336,318,255,204,196,176,-1,-1,-1,156,138,137,97,102,87,120,152,194,235,274
31,-1,350,351,-1,-1,277,232,184,236,-1,-1,-1,106,131,-1,-1,66,-1,-1,055,111,201,-1,292
