oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,179,187,221,214,256,238,266,298,339,358,360,344,314,315,312,283,304,293,301,261,193,180,195,179
02,157,171,211,233,207,234,273,327,363,351,346,360,338,314,309,295,322,281,271,305,274,223,170,150
03,144,176,177,213,230,274,289,325,375,374,364,373,365,359,295,286,288,284,287,308,260,206,196,188
04,165,178,206,238,259,288,311,330,353,377,394,381,388,339,301,284,333,304,322,246,239,237,207,202
05,174,194,177,212,213,224,264,319,319,345,330,341,336,310,300,267,249,262,247,218,204,164,166,151
06,150,138,209,235,240,259,291,302,361,327,383,364,325,307,286,262,302,299,282,264,253,221,202,184
07,161,187,196,232,246,288,285,336,367,342,352,351,352,311,306,297,302,287,260,215,192,228,188,201
08,202,262,255,286,288,330,348,340,342,371,363,386,386,364,343,308,355,337,311,285,283,248,236,223
09,240,241,247,258,288,357,326,326,324,333,363,352,363,351,307,334,324,335,336,345,322,304,247,196
10,197,221,267,315,289,345,316,366,357,367,360,365,326,334,351,347,344,334,290,279,292,217,195,168
11,141,176,203,229,251,250,260,248,304,303,281,268,226,220,183,212,279,319,249,219,213,199,204,178
12,176,162,211,198,242,267,303,325,340,304,317,297,253,312,314,325,280,272,262,261,235,257,191,184
13,201,181,195,230,225,236,246,291,307,328,338,366,321,315,279,274,285,294,292,294,231,192,186,217
14,220,220,262,278,319,339,338,367,379,380,380,353,349,389,348,315,318,318,284,280,251,236,210,217
15,227,204,244,293,264,251,324,334,370,352,357,372,346,315,338,314,361,346,301,253,201,205,187,163
16,153,222,281,318,287,313,341,350,384,397,412,391,384,373,357,380,368,342,261,247,282,228,196,199
17,167,219,262,290,301,321,276,275,306,363,372,394,357,342,355,311,276,293,255,286,234,258,208,188
18,181,251,259,304,346,334,361,353,365,397,354,393,396,385,357,336,312,314,292,209,170,168,136,165
19,175,194,240,301,299,323,345,346,323,351,343,344,331,349,334,305,274,301,284,251,266,233,201,227
20,188,224,270,278,285,331,343,374,337,348,337,329,346,340,317,302,330,338,284,279,254,250,214,205
21,187,191,222,252,259,286,310,305,313,321,307,281,281,266,295,274,304,322,265,287,224,219,196,191
22,216,226,301,297,296,319,306,323,391,360,350,346,356,353,309,350,329,326,307,303,270,244,215,184
23,217,249,255,295,289,298,358,361,337,343,369,371,371,371,324,295,335,318,310,296,256,208,172,205
24,223,233,271,298,304,309,338,383,381,368,354,370,346,367,327,342,330,328,283,267,268,226,202,190
25,205,198,255,276,291,310,330,320,361,353,353,376,336,327,332,336,342,300,276,264,251,220,172,178
26,191,213,221,279,281,271,322,304,317,353,358,329,336,337,340,330,337,322,300,218,233,202,184,182
27,171,209,219,260,258,266,293,344,377,358,386,364,341,301,300,294,307,331,332,306,302,243,224,231
28,217,248,239,275,302,311,312,362,375,361,339,385,346,329,342,296,308,296,283,279,261,214,207,205
29,200,219,212,249,284,307,320,361,346,360,340,360,319,312,291,328,324,337,313,300,230,215,204,203
30,179,217,263,263,253,274,280,307,323,343,341,332,329,329,329,318,293,300,271,271,243,231,233,216
31,209,236,233,266,243,282,292,358,357,346,358,371,360,366,368,350,356,335,313,306,-1,-1,-1,-1,-1
