mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,1,3,3,8,3,6,3,1,4,5,1,0,1,1,0,0,0,2,2,1,1,0,1,2,""
02,0,1,1,2,1,2,2,1,0,2,1,0,3,1,1,0,0,0,1,1,1,3,3,4,""
03,2,4,3,3,4,2,1,2,3,4,3,2,1,1,0,0,1,0,4,0,2,2,3,2,""
04,3,6,5,1,3,1,4,1,2,4,0,2,0,2,2,1,2,0,1,2,0,5,3,2,""
05,3,6,4,5,3,3,4,1,3,1,3,3,3,1,1,2,1,1,4,1,3,2,1,2,""
06,1,1,7,7,6,1,1,2,1,3,2,2,1,1,1,2,1,1,1,0,2,2,0,2,""
07,6,4,3,4,6,4,1,2,1,2,2,3,1,2,2,0,1,0,0,1,1,2,1,2,""
08,1,3,1,2,6,4,3,5,1,5,3,0,1,2,0,0,0,0,1,0,2,3,2,3,""
09,3,3,3,1,0,5,3,8,1,2,1,2,1,2,0,1,1,1,0,0,1,1,6,3,""
10,3,3,2,2,1,4,1,0,5,2,3,3,3,0,0,1,0,0,2,1,1,2,3,4,""
11,4,6,3,4,3,1,0,1,5,2,0,0,0,0,1,0,0,2,0,1,0,2,3,5,""
12,3,3,3,3,1,0,5,2,3,2,2,3,1,0,2,1,0,3,0,0,2,4,1,1,""
13,0,0,2,1,5,2,2,3,1,2,1,0,1,2,2,0,0,0,0,0,0,0,1,1,""
14,3,4,4,4,4,2,2,2,1,1,2,3,1,1,1,1,1,0,1,0,1,1,0,3,""
15,1,2,1,2,3,1,4,3,2,1,2,1,0,1,0,1,1,0,0,0,1,0,3,2,""
16,1,3,2,0,2,3,1,2,2,2,1,0,0,3,3,3,0,0,0,0,1,3,0,4,""
17,1,0,2,2,7,1,2,0,2,2,0,5,1,0,2,1,1,0,0,0,3,0,1,1,""
18,5,3,1,1,3,3,4,2,2,1,3,1,2,1,0,0,0,0,1,0,1,2,2,0,""
19,1,3,2,1,3,4,8,1,0,0,3,0,4,1,0,0,0,1,0,1,1,2,5,1,""
20,4,2,2,3,4,4,8,2,1,0,1,0,2,0,0,1,0,1,0,0,2,1,3,3,""
21,1,1,3,3,2,5,1,3,1,3,3,6,0,0,2,0,0,0,0,1,1,0,4,4,""
22,2,3,2,4,5,4,3,1,0,0,3,2,2,1,0,1,2,1,1,0,2,1,3,3,""
23,4,4,2,2,2,3,2,1,0,3,3,2,1,0,0,1,0,0,1,0,1,0,3,5,""
24,1,2,2,5,3,2,2,2,2,6,3,3,1,1,1,0,0,0,0,1,1,2,3,1,""
25,4,3,0,1,2,5,1,4,1,3,1,2,2,2,1,1,0,0,1,0,2,2,1,6,""
26,2,2,2,2,2,3,5,4,4,1,5,1,0,1,0,0,0,1,0,0,2,0,1,3,""
27,3,1,4,3,1,3,2,2,2,3,3,5,3,3,1,0,0,1,1,0,1,0,1,1,""
28,6,5,3,2,0,7,3,2,5,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,""
29,2,2,2,1,3,1,2,5,1,2,2,1,2,2,0,0,3,1,0,0,0,2,2,3,""
30,2,1,2,4,2,2,1,3,4,1,3,1,0,2,0,1,0,0,0,1,1,2,1,2,""
31,3,1,4,2,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
