apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,11,14,21,9,29,16,24,31,44,20,20,7,5,5,4,5,4,3,1,3,2,6,20,18
02,30,13,7,23,16,16,20,19,24,41,26,22,7,2,4,4,5,4,5,4,4,5,9,18
03,22,22,30,13,6,18,26,15,16,24,17,17,12,5,5,5,5,-1,-1,-1,-1,-1,18,31
04,-1,33,18,19,19,19,12,20,25,20,16,9,7,6,4,3,2,1,1,0,4,14,24,-1,-1
05,-1,-1,18,40,-1,-1,36,20,37,19,17,30,12,2,3,5,3,3,2,1,6,8,17,18
06,29,17,33,22,26,23,24,40,31,30,28,16,13,6,9,6,2,8,5,3,5,11,14,19
07,26,17,23,17,23,23,26,30,93,22,17,12,7,11,3,3,6,10,0,2,3,8,18,16
08,27,25,23,15,18,19,46,25,36,40,23,18,5,2,3,3,7,6,3,2,7,7,16,29
09,28,22,22,51,18,20,55,18,38,18,25,18,16,3,7,2,8,1,0,6,3,10,10,16
10,26,34,25,15,23,22,31,20,30,20,14,10,9,4,9,2,4,-1,-1,19,16,8,10,27
11,15,36,20,8,28,18,32,20,23,44,13,5,8,2,0,7,3,3,1,1,5,10,12,11
12,17,20,15,18,20,24,35,23,52,15,19,10,6,2,1,5,3,5,3,4,6,10,10,24
13,15,14,7,12,35,24,21,20,30,31,19,14,5,8,1,7,1,2,3,3,5,10,9,14
14,22,12,26,11,24,20,15,36,28,28,17,17,4,10,2,1,9,1,3,3,1,7,19,11
15,20,19,20,18,17,18,20,21,34,22,24,10,5,5,2,11,5,1,1,3,5,8,7,8
16,20,16,12,11,12,15,17,26,40,30,13,14,2,7,8,3,7,2,3,9,10,8,14,20
17,24,14,28,20,22,52,17,28,25,22,19,5,16,5,14,1,5,1,1,5,4,3,21,8
18,30,17,7,24,14,17,27,36,36,25,17,5,4,4,10,6,2,0,1,1,2,9,8,20
19,23,17,20,21,8,31,10,25,33,13,8,15,6,4,3,14,7,7,3,6,1,7,14,13
20,13,23,30,27,23,39,48,35,79,29,16,5,4,8,9,6,2,1,2,3,19,10,12,24
21,16,45,36,31,32,25,30,53,45,31,27,15,7,3,9,5,6,4,2,3,4,13,15,24
22,47,53,36,51,46,38,75,75,54,36,38,30,13,3,6,4,5,5,3,1,6,9,42,38
23,51,68,39,41,40,24,53,50,47,28,15,18,2,8,3,8,9,3,3,3,4,14,17,16
24,26,25,17,25,8,21,70,128,131,14,12,15,6,6,5,4,5,4,1,5,3,9,9,12
25,23,27,21,12,12,30,26,25,24,39,16,20,3,2,11,1,-1,-1,7,4,11,6,20,19
26,18,16,13,11,57,21,27,26,23,25,46,4,1,1,2,5,2,5,0,3,2,5,13,24
27,12,16,20,14,11,21,27,34,32,15,19,15,12,36,6,4,13,2,3,10,4,8,7,21
28,20,13,17,11,13,14,33,38,36,22,16,5,6,0,8,4,3,2,5,4,2,4,7,16
29,15,12,11,6,9,40,24,23,26,26,16,-1,6,8,10,4,5,3,0,6,6,9,12,17
30,14,25,8,18,17,25,22,45,33,15,12,15,10,3,2,8,12,3,2,3,4,20,15,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
