aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,294,342,334,366,372,316,232,222,258,244,269,-1,-1,164,159,96,72,97,242,-1,-1,99,175,217,""
02,275,341,381,374,338,273,282,229,173,218,240,189,152,-1,-1,-1,258,-1,-1,-1,-1,100,139,250,""
03,-1,345,361,385,322,319,281,268,197,215,285,219,198,183,187,169,-1,-1,-1,87,99,113,136,220,""
04,284,346,350,382,-1,-1,-1,-1,182,225,211,177,115,111,-1,97,82,-1,-1,-1,85,-1,2,180,""
05,226,305,343,381,342,-1,290,304,259,204,264,258,229,248,-1,150,128,108,125,167,-1,89,-1,-1,""
06,211,-1,-1,341,344,280,262,245,260,228,241,-1,-1,-1,195,142,126,107,95,98,78,132,139,145,""
07,223,300,333,307,325,303,218,221,201,227,233,247,210,197,162,135,101,98,86,102,127,144,172,217,""
08,269,307,309,-1,-1,-1,-1,0,275,349,319,267,235,219,200,134,144,106,114,70,92,203,118,175,""
09,273,356,360,401,360,323,325,330,339,304,302,238,184,153,-1,-1,143,77,143,117,95,107,151,168,""
10,263,282,327,350,304,252,258,237,189,228,277,241,221,186,170,166,123,82,96,117,116,134,141,169,""
11,234,279,297,308,350,311,266,254,255,336,314,285,227,249,178,177,118,105,91,99,124,117,149,173,""
12,219,294,310,257,323,284,245,-1,-1,304,308,273,278,233,250,226,191,118,134,111,110,152,213,243,""
13,250,323,316,-1,-1,-1,-1,-1,0,107,121,169,171,155,154,127,112,87,84,70,85,103,129,165,""
14,209,291,304,325,-1,-1,30,228,225,288,-1,234,190,176,140,108,73,50,50,44,94,102,103,119,""
15,185,229,232,257,220,191,200,155,149,181,199,192,156,121,95,90,64,46,54,45,65,77,44,35,""
16,122,174,175,173,171,157,139,194,166,120,146,95,95,-1,169,44,34,28,45,37,41,32,-1,84,""
17,104,124,161,169,138,125,104,132,100,106,113,103,71,67,47,53,36,41,23,32,49,41,41,70,""
18,107,109,155,143,122,89,94,109,117,122,136,110,101,85,60,62,44,39,40,27,36,42,97,70,""
19,95,115,127,139,119,106,101,119,104,97,105,110,86,84,167,106,34,30,29,31,32,35,40,56,""
20,71,120,113,103,98,89,75,98,120,79,103,67,77,81,60,43,30,35,23,27,34,49,57,75,""
21,94,112,131,117,95,86,98,105,132,120,87,84,84,64,41,100,-1,-1,-1,0,41,43,57,94,""
22,88,138,133,118,59,64,55,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,80,141,""
23,203,228,238,270,272,201,212,228,194,193,216,222,151,144,136,116,83,68,63,84,68,97,106,174,""
24,187,208,214,222,180,198,148,169,207,185,175,190,134,136,95,82,72,59,61,66,65,77,97,142,""
25,186,205,225,219,191,198,126,188,155,234,223,191,195,163,124,93,102,60,66,57,49,59,74,101,""
26,183,212,227,207,179,228,196,225,276,281,193,-1,-1,-1,34,111,82,73,74,84,76,100,105,143,""
27,189,196,244,207,201,200,177,186,189,208,158,106,163,229,148,93,55,45,65,77,52,103,112,125,""
28,153,192,206,184,191,180,161,159,87,179,216,133,128,134,69,86,82,-1,73,71,43,55,105,160,""
29,180,206,199,245,215,185,187,120,172,182,142,104,81,109,80,61,35,47,43,57,50,49,73,127,""
30,173,213,252,201,254,199,197,223,136,89,143,194,101,83,60,62,41,55,62,44,52,28,67,113,""
31,159,233,224,225,218,209,187,143,124,95,160,163,116,-1,40,68,41,34,42,48,36,53,68,-1,""
