sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,161,188,205,171,183,168,174,164,151,110,97,-1,-1,-1,-1,-1,-1,-1,-1,56,76,67,82,126,""
02,150,179,177,177,163,101,156,110,124,121,-1,143,81,98,51,66,59,42,32,48,54,58,77,137,""
03,178,195,192,201,187,182,142,199,115,144,148,86,99,113,94,61,12,25,24,29,35,61,80,136,""
04,138,142,173,179,139,171,143,182,162,153,148,153,125,139,83,49,53,41,28,64,59,38,67,58,""
05,130,164,186,183,154,173,142,164,141,70,129,146,112,86,74,25,50,42,32,52,45,50,90,97,""
06,122,113,96,102,105,94,87,58,-1,53,51,78,57,49,26,-1,-1,22,23,59,54,30,50,125,""
07,98,92,74,110,71,116,119,102,135,134,136,106,103,58,72,46,48,21,56,48,32,48,53,67,""
08,97,97,117,124,138,129,114,126,106,98,162,105,76,59,54,40,51,38,40,61,26,46,38,69,""
09,99,107,160,146,150,146,134,122,126,95,112,80,79,69,59,48,48,45,46,50,45,65,116,101,""
10,118,105,138,161,150,147,169,176,145,209,171,172,134,101,88,58,81,41,37,67,80,35,55,136,""
11,144,167,187,200,179,168,116,195,193,230,190,195,193,102,79,70,51,58,55,70,77,69,61,169,""
12,182,197,229,194,-1,-1,60,215,188,216,167,221,160,118,67,65,52,41,62,66,65,68,115,199,""
13,203,174,205,197,195,175,173,145,171,180,233,169,114,91,99,87,57,61,59,56,75,49,130,172,""
14,185,214,261,231,181,185,186,211,176,163,125,201,193,162,127,93,87,54,45,68,52,58,114,157,""
15,180,227,228,225,192,192,207,183,151,236,245,226,209,189,128,45,66,83,82,60,55,61,124,189,""
16,227,231,238,221,202,181,183,211,227,250,244,155,181,130,104,58,77,61,53,75,58,41,118,178,""
17,248,247,281,302,248,178,159,202,181,173,227,176,156,163,120,85,56,60,73,57,59,70,116,159,""
18,210,181,186,200,171,169,175,146,90,125,160,178,152,107,87,54,55,25,46,44,45,45,51,118,""
19,141,113,120,121,101,97,114,167,165,73,154,145,177,125,126,68,91,83,82,52,41,51,99,124,""
20,180,179,192,224,240,175,167,154,107,212,183,129,137,117,94,81,73,63,77,56,68,50,48,153,""
21,160,156,179,167,151,137,156,200,122,204,70,73,128,76,98,78,75,66,75,60,66,50,60,161,""
22,138,169,162,179,173,149,171,130,90,177,155,141,94,-1,-1,-1,-1,-1,-1,62,72,63,81,111,""
23,128,112,129,141,118,121,132,114,82,91,129,103,108,108,102,86,62,53,39,51,56,59,111,143,""
24,136,165,172,162,145,137,135,172,149,167,180,174,96,67,101,85,52,56,59,53,70,57,41,113,""
25,132,140,142,149,147,145,161,215,177,228,168,181,172,98,143,120,28,43,33,68,82,-1,56,161,""
26,195,227,192,216,210,186,164,218,246,224,247,215,191,160,141,89,44,43,76,72,102,84,94,166,""
27,199,210,218,201,233,184,205,141,135,203,223,173,133,138,129,88,50,46,60,72,65,19,105,120,""
28,88,94,99,103,73,82,164,208,229,222,267,165,142,128,128,95,68,58,63,81,57,83,131,173,""
29,203,196,187,183,167,157,176,263,167,130,238,270,229,197,140,114,86,54,64,52,73,72,82,143,""
30,188,194,206,180,166,161,173,215,243,245,228,242,218,155,134,54,69,54,62,59,72,113,128,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
