sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,5,2,4,4,5,5,2,4,4,6,1,4,2,0,3,2,1,1,4,1,0,1,4,2,""
02,2,5,3,2,8,4,6,3,1,1,4,1,8,1,3,1,1,1,0,0,3,3,3,5,""
03,4,6,5,2,8,4,3,5,3,4,0,1,4,0,3,5,2,0,2,1,1,3,5,4,""
04,5,6,5,4,11,8,3,3,6,5,0,3,1,3,2,3,2,2,2,1,0,1,6,3,""
05,4,2,4,4,5,4,3,3,0,2,7,4,1,1,0,2,1,1,1,2,2,4,2,5,""
06,6,4,4,4,6,5,4,2,2,5,4,1,1,1,1,4,5,1,3,1,1,3,4,4,""
07,4,4,7,6,7,6,3,2,3,3,0,3,1,4,3,1,1,3,2,2,1,4,3,0,""
08,3,3,2,3,4,5,3,6,5,3,0,4,2,2,0,1,2,2,1,0,2,6,1,2,""
09,3,5,5,2,8,9,5,6,5,1,2,3,1,2,2,1,0,0,2,2,0,5,0,2,""
10,1,5,4,8,0,6,5,5,3,2,3,4,2,3,4,1,3,0,2,2,3,2,6,1,""
11,5,4,4,7,5,4,2,0,3,3,3,4,1,7,3,4,2,4,1,0,1,3,1,4,""
12,3,4,4,4,5,3,3,0,5,4,2,3,3,2,1,1,1,2,2,3,1,4,1,2,""
13,2,2,4,2,4,8,2,2,4,4,4,2,1,2,2,1,2,1,1,1,2,3,2,6,""
14,2,2,2,2,2,1,2,3,4,2,0,2,3,1,5,2,0,1,2,3,3,1,2,1,""
15,3,5,1,5,1,2,2,4,6,6,3,5,0,1,4,4,2,1,1,3,1,0,3,2,""
16,1,0,2,4,2,3,2,2,5,3,2,1,3,2,2,1,3,0,3,0,2,2,1,1,""
17,5,2,2,3,4,2,6,3,2,2,2,1,2,1,0,0,1,0,3,3,0,1,4,3,""
18,1,2,2,5,3,5,4,2,4,3,4,1,3,3,3,1,2,0,1,0,4,3,6,2,""
19,2,3,4,2,2,2,3,3,4,3,6,0,0,2,2,3,0,2,2,1,0,3,0,5,""
20,5,4,6,4,2,3,2,0,2,4,1,3,2,3,0,0,1,2,2,2,4,3,6,5,""
21,3,2,5,1,4,3,6,2,2,3,2,2,7,0,1,2,4,2,1,3,3,3,3,2,""
22,4,3,2,4,3,4,0,1,5,8,2,5,5,7,2,1,0,5,4,2,3,3,1,7,""
23,5,3,1,3,1,4,4,9,5,3,7,3,2,2,3,0,5,2,5,2,0,1,6,2,""
24,0,1,1,5,6,6,2,4,10,5,3,3,1,0,3,1,1,1,1,3,1,1,1,2,""
25,5,5,4,2,2,4,5,3,6,4,4,2,2,2,3,0,1,0,1,0,2,1,2,1,""
26,3,1,2,2,1,1,4,1,4,6,4,1,2,2,3,3,0,2,1,0,1,1,2,6,""
27,4,1,4,3,1,4,5,7,4,0,2,2,2,4,3,2,3,0,1,2,3,0,4,1,""
28,2,2,2,3,7,2,3,3,5,4,2,7,2,5,0,0,1,1,0,3,6,3,2,4,""
29,4,7,6,5,2,1,3,3,1,9,6,4,7,1,3,3,1,1,2,1,2,4,1,6,""
30,5,3,3,2,6,3,4,6,6,5,3,5,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
