oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,209,264,288,297,341,327,304,263,280,353,318,220,278,257,216,186,152,127,123,113,166,172,219,253,""
02,240,314,316,366,399,363,350,363,349,363,326,310,276,282,198,168,118,91,92,142,189,215,226,226,""
03,237,248,298,298,311,313,282,300,318,398,399,376,316,232,246,202,150,87,-1,-1,-1,-1,-1,0,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,112,114,108,136,179,231,262,255,""
05,275,327,293,341,313,289,276,282,309,348,348,319,261,212,203,178,155,120,113,144,178,191,233,284,""
06,260,280,284,312,301,311,290,287,270,308,314,230,218,211,194,183,115,105,125,134,139,175,179,219,""
07,232,259,312,291,287,280,284,294,260,253,254,224,246,230,189,187,152,175,160,170,151,202,270,290,""
08,296,339,386,383,357,327,312,348,266,163,165,164,137,143,142,130,113,112,98,97,128,162,178,205,""
09,212,222,272,253,266,242,253,232,246,249,200,194,173,130,122,125,116,109,118,128,192,242,283,274,""
10,274,301,287,315,306,302,271,294,342,333,211,226,175,144,156,110,87,92,-1,-1,-1,-1,-1,0,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,235,201,192,191,128,121,118,170,191,241,261,273,""
12,257,282,318,344,317,315,296,303,294,346,344,255,261,185,212,182,163,129,123,150,195,237,248,295,""
13,283,293,322,325,328,328,326,325,294,300,330,262,261,259,230,236,155,114,112,138,176,180,217,254,""
14,282,296,330,320,310,307,312,315,301,274,300,214,244,222,212,159,149,119,102,120,148,207,238,267,""
15,275,268,306,338,344,338,390,407,381,378,320,265,271,289,199,242,175,120,165,167,213,222,257,305,""
16,290,66,1,4,5,47,262,357,14,17,-1,79,296,258,200,184,145,121,14,99,-1,-1,-1,1,""
17,3,1,1,-1,1,1,142,259,335,362,385,311,193,166,232,201,136,138,86,-1,-1,-1,-1,0,""
18,-1,-1,-1,-1,-1,-1,-1,152,385,326,350,292,228,173,218,231,150,134,115,153,215,223,251,287,""
19,313,312,325,353,363,352,369,356,358,351,362,326,233,246,217,192,161,131,147,210,242,263,341,352,""
20,353,359,407,394,366,350,349,387,421,208,275,288,260,230,215,220,151,135,233,199,185,203,204,251,""
21,204,7,14,2,6,5,24,2,2,10,13,8,95,13,-1,1,7,-1,-1,-1,-1,-1,-1,0,""
22,2,1,8,-1,189,309,34,15,9,12,203,172,150,128,128,54,33,75,86,119,83,90,172,191,""
23,242,281,307,355,309,256,288,236,10,4,6,7,3,1,1,-1,9,82,99,114,135,143,208,210,""
24,247,228,280,298,297,277,275,281,203,219,205,199,125,130,139,116,87,83,70,50,-1,-1,-1,0,""
25,-1,-1,-1,-1,-1,-1,66,227,218,177,196,211,309,299,147,112,85,66,56,75,97,127,146,176,""
26,207,222,231,252,237,188,233,241,236,173,150,156,147,106,91,103,94,81,84,111,98,135,158,147,""
27,183,223,201,230,216,192,210,201,251,188,180,160,118,85,126,114,103,81,67,70,88,78,122,132,""
28,127,165,197,173,173,196,189,198,206,191,169,117,121,84,97,100,92,67,80,86,99,109,102,139,""
29,178,175,185,197,210,205,170,190,186,203,161,142,105,113,102,79,99,66,61,72,109,157,139,156,""
30,180,172,205,197,228,187,209,186,185,143,180,122,137,126,126,95,79,74,78,69,111,128,151,156,""
31,181,152,178,161,216,176,172,163,178,196,181,158,146,129,104,106,89,65,76,12,-1,-1,-1,0,""
