nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,174,200,186,201,215,267,276,263,237,220,219,212,203,177,181,153,153,28,122,119,109,""
02,111,112,132,189,163,171,191,189,227,223,209,220,209,194,183,183,196,163,155,128,80,63,50,85,""
03,73,48,68,101,199,212,226,168,219,239,183,219,177,188,196,190,169,167,137,136,112,110,114,100,""
04,101,108,135,184,192,215,246,234,277,261,238,242,198,232,184,207,159,186,134,141,130,102,99,95,""
05,123,101,115,170,183,164,216,191,229,213,214,224,201,176,196,183,161,159,137,144,113,125,103,105,""
06,106,49,146,139,129,138,173,224,236,247,243,223,159,175,171,186,168,161,130,126,119,121,110,104,""
07,102,96,143,141,158,190,217,248,229,226,246,223,216,209,219,181,158,143,150,108,114,109,105,97,""
08,86,90,132,162,206,199,228,236,244,231,241,220,188,218,185,159,196,169,145,103,90,67,62,80,""
09,119,89,116,161,178,207,218,208,239,247,236,222,206,192,172,171,150,145,104,105,110,80,109,77,""
10,42,80,97,97,168,207,197,202,227,194,189,167,183,171,124,175,128,127,109,121,79,102,83,88,""
11,106,152,128,174,214,229,233,229,213,214,225,212,212,202,207,199,194,175,137,131,113,114,129,97,""
12,106,100,137,198,208,214,230,226,263,244,256,234,211,199,187,182,185,187,146,138,117,113,117,110,""
13,87,101,111,137,140,165,200,176,214,223,234,213,197,193,175,158,177,165,155,142,141,117,90,66,""
14,91,89,109,147,182,185,240,199,247,212,179,173,134,104,136,110,119,159,129,127,112,89,97,81,""
15,86,93,112,146,145,148,139,179,204,188,190,186,169,169,179,151,153,112,110,106,95,106,115,118,""
16,97,96,140,158,184,196,191,218,197,244,232,231,207,196,169,213,190,181,134,135,112,100,76,55,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,166,-1,-1,-1,-1,-1,55,""
18,79,107,140,121,170,172,185,227,236,224,180,181,171,171,159,167,165,150,146,123,128,114,19,102,""
19,129,139,158,182,169,185,194,214,210,219,207,206,194,187,189,186,191,152,119,146,109,83,100,108,""
20,109,111,130,145,171,188,214,215,255,267,245,206,180,178,180,178,183,154,73,1,0,1,1,3,""
21,1,1,102,160,172,163,167,189,240,232,238,244,224,186,197,205,187,137,126,120,98,94,85,82,""
22,100,105,134,142,165,172,220,226,263,248,215,207,235,214,201,196,180,148,121,125,108,92,94,105,""
23,99,91,112,145,153,187,220,232,227,202,262,227,213,229,220,204,192,185,157,114,124,87,86,85,""
24,75,95,129,140,171,231,240,235,224,206,263,248,212,220,217,187,155,163,123,100,93,82,95,85,""
25,83,105,110,142,172,144,171,172,169,152,169,161,120,127,112,121,149,143,127,125,74,77,73,66,""
26,65,81,112,122,112,145,146,165,187,168,136,171,131,144,133,143,129,128,113,100,126,87,89,94,""
27,106,104,83,112,115,142,157,163,156,168,143,172,164,128,139,150,139,139,113,113,95,94,97,96,""
28,97,117,156,151,161,168,226,239,237,225,245,255,235,217,200,204,181,158,140,98,97,118,107,94,""
29,114,117,145,168,188,163,185,191,186,191,205,212,226,227,194,176,162,136,133,131,103,88,85,94,""
30,87,109,158,153,174,184,205,219,204,201,186,217,221,229,183,183,171,159,140,131,112,101,68,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
