nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,13,7,30,31,24,18,15,15,5,11,10,3,6,11,12,23,26,22,26,25,24,24,26,""
02,23,32,38,40,43,40,28,33,33,22,40,31,26,21,16,27,21,33,38,41,31,35,33,22,""
03,42,46,47,60,36,35,38,34,44,25,35,34,26,24,14,17,15,22,35,34,32,38,27,29,""
04,36,40,43,53,47,36,54,39,38,32,41,32,33,20,23,28,25,34,41,42,35,26,33,28,""
05,30,33,41,47,42,44,37,29,42,31,38,25,35,30,31,22,27,18,21,26,31,30,37,30,""
06,31,30,24,45,42,45,29,33,41,30,33,27,26,15,24,26,24,27,37,37,35,24,29,28,""
07,30,24,26,54,43,31,31,30,32,27,28,24,21,18,19,17,23,22,22,22,18,21,28,21,""
08,27,19,30,39,39,39,19,21,27,22,26,35,29,19,24,17,27,20,24,19,28,13,10,14,""
09,21,28,34,36,29,42,30,23,23,24,26,22,24,25,13,16,24,12,12,8,11,15,17,26,""
10,13,20,29,29,32,19,17,17,16,12,18,14,11,10,13,9,12,14,9,18,13,13,10,7,""
11,7,16,9,16,21,11,9,11,17,14,12,8,9,8,9,8,8,3,13,11,14,11,7,9,""
12,9,7,11,15,16,10,15,13,9,14,11,8,10,7,10,13,10,8,13,15,10,12,4,9,""
13,11,10,9,22,17,12,15,4,11,15,17,18,14,10,11,15,15,13,13,17,13,7,5,10,""
14,13,12,13,19,23,15,11,14,10,14,11,23,14,8,16,19,14,14,14,19,12,10,20,14,""
15,17,14,23,18,26,25,13,20,17,12,15,18,13,15,14,17,8,16,14,15,16,8,8,21,""
16,15,16,17,31,33,28,20,13,21,17,29,20,14,9,7,18,13,14,14,21,20,15,12,25,""
17,15,21,30,33,34,31,20,22,23,27,27,24,21,16,23,15,16,13,29,29,10,26,25,29,""
18,33,32,33,27,40,23,19,21,21,29,27,25,23,15,16,19,22,14,15,12,7,12,19,17,""
19,20,22,30,31,40,25,18,18,15,21,26,21,13,14,15,16,12,15,22,21,17,12,-1,34,""
20,30,33,-1,42,20,9,4,2,0,6,2,1,1,4,8,5,6,12,3,23,40,28,22,-1,""
21,-1,-1,16,15,18,8,7,0,0,6,17,14,12,13,11,8,11,21,24,16,14,15,18,12,""
22,23,12,17,26,52,31,21,16,20,10,26,19,10,16,15,18,20,15,22,11,26,22,23,16,""
23,15,22,23,31,26,30,26,18,25,28,30,27,15,14,16,16,27,27,31,25,22,13,24,26,""
24,14,31,27,34,29,30,25,23,20,29,16,17,21,15,18,19,20,23,13,25,18,9,16,11,""
25,20,18,24,29,26,26,22,24,25,16,13,16,19,12,15,17,14,13,11,15,12,21,19,16,""
26,16,11,23,31,35,32,21,18,25,20,21,22,14,7,12,16,19,9,16,19,19,18,16,14,""
27,17,20,16,36,38,27,26,26,19,22,30,18,21,15,12,19,18,15,17,23,25,12,17,12,""
28,19,18,19,28,29,20,15,15,16,6,23,15,11,13,8,13,8,12,20,19,19,14,11,18,""
29,15,14,18,30,19,25,17,22,17,18,20,17,22,13,18,20,16,15,21,16,17,20,16,17,""
30,20,21,10,32,22,31,27,31,13,26,18,12,23,26,18,13,22,25,18,22,27,25,20,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]}ly`Idjzl'a,""
