dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,93,103,112,161,165,184,204,221,224,222,224,225,232,210,194,205,197,146,139,137,113,107,122,112,""
02,115,108,114,162,169,193,219,215,226,236,243,229,217,194,217,197,170,166,139,140,128,139,106,105,""
03,113,106,126,185,168,183,199,228,248,219,216,230,191,224,199,200,191,153,143,95,98,96,97,82,""
04,87,101,118,142,174,195,188,222,214,225,249,240,221,178,199,200,204,157,151,137,118,129,125,95,""
05,102,95,123,136,172,192,206,242,229,261,240,229,222,199,215,191,174,170,139,112,117,112,103,98,""
06,92,82,116,123,146,177,211,191,230,252,245,235,227,225,223,179,166,147,125,114,113,108,95,92,""
07,92,102,118,145,179,183,178,191,201,226,234,210,207,173,181,181,180,166,135,113,119,116,111,105,""
08,103,101,122,143,183,190,225,204,254,242,261,260,216,219,197,205,182,169,136,128,94,117,97,83,""
09,104,101,123,190,194,212,232,235,253,278,258,228,211,217,205,205,174,152,146,102,107,124,85,97,""
10,88,87,141,170,215,235,253,260,259,294,305,291,256,215,228,200,197,175,139,124,99,97,101,90,""
11,92,109,123,172,239,261,241,291,311,337,317,309,296,233,198,219,233,215,126,113,101,110,90,83,""
12,91,117,149,179,226,263,247,286,317,315,321,303,260,250,189,175,185,187,136,92,85,51,40,51,""
13,62,104,127,204,273,307,311,330,336,336,345,367,320,334,288,272,264,251,173,134,78,88,77,103,""
14,107,153,207,250,282,354,333,342,357,312,298,294,274,275,225,224,207,197,136,112,122,85,75,72,""
15,58,49,86,98,127,164,164,163,142,172,160,178,151,137,124,151,134,139,94,90,86,80,54,54,""
16,69,62,73,64,112,108,133,111,112,150,139,167,154,131,124,145,150,113,137,115,104,110,89,95,""
17,91,86,118,134,179,165,175,205,208,202,221,243,202,221,203,219,193,151,139,141,136,111,105,73,""
18,76,99,104,127,129,150,181,190,204,232,228,215,220,230,201,212,189,200,185,139,133,111,125,67,""
19,88,95,103,107,150,149,178,207,198,213,184,215,165,165,184,159,151,171,123,121,96,118,82,81,""
20,77,69,94,123,123,147,170,157,172,175,199,222,197,175,196,176,169,146,135,105,101,111,110,92,""
21,74,89,100,121,128,140,133,177,197,208,227,208,207,176,186,206,161,182,148,132,110,122,118,102,""
22,110,112,126,137,146,166,210,197,222,197,227,225,191,207,208,190,183,168,133,129,90,112,92,75,""
23,84,89,105,104,127,167,157,173,181,214,205,203,198,204,174,152,177,158,117,114,81,67,73,42,""
24,44,57,58,71,93,103,120,130,139,139,128,137,146,132,108,112,121,117,113,101,70,95,79,79,""
25,77,69,82,100,130,123,155,155,166,202,188,223,208,186,183,184,204,176,122,131,112,112,88,80,""
26,67,60,87,95,111,123,145,158,192,186,187,225,188,169,172,183,171,137,166,129,109,125,92,75,""
27,63,75,84,97,105,86,124,171,193,196,196,196,193,208,199,174,174,159,138,119,108,99,91,78,""
28,72,80,87,103,114,129,151,160,205,204,219,188,199,181,161,168,164,155,137,101,99,105,89,72,""
29,70,63,84,94,106,128,155,142,182,192,201,226,202,189,195,193,162,138,141,139,118,93,88,61,""
30,63,62,85,106,104,134,143,161,172,190,204,212,197,193,198,192,174,151,173,121,114,91,79,76,""
31,63,68,71,95,102,139,130,162,188,191,187,215,197,153,185,161,151,157,116,95,85,88,92,-1,""
[E]{hzjynI}le,"z'gl}"
