mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,101,130,161,217,202,196,215,222,248,250,241,206,212,203,204,142,121,88,73,69,87,117,107,131,""
02,139,136,176,198,217,228,231,244,266,273,228,208,200,181,168,128,84,61,55,42,58,96,107,130,""
03,131,118,175,238,199,207,179,212,238,249,243,211,180,201,175,155,83,78,53,64,80,102,112,135,""
04,119,142,185,272,269,216,214,222,256,242,189,199,208,240,179,114,87,80,61,60,62,103,135,140,""
05,91,164,188,224,213,243,227,232,266,252,268,223,198,193,196,156,114,87,56,59,62,92,126,148,""
06,150,161,179,227,250,189,163,183,218,229,228,196,167,136,180,135,110,87,64,62,76,95,137,127,""
07,141,151,154,213,247,197,217,256,255,276,245,213,181,194,200,167,89,68,59,57,71,91,113,131,""
08,126,165,192,218,236,226,247,239,314,285,256,222,227,227,233,180,120,72,68,66,79,92,120,139,""
09,143,200,230,265,230,212,220,244,301,291,268,217,210,237,202,156,133,90,66,70,83,108,151,135,""
10,162,172,186,219,254,225,220,240,279,317,269,240,224,241,228,181,126,85,68,71,100,106,141,133,""
11,153,155,191,216,237,224,260,247,300,312,249,264,254,240,231,176,123,80,79,68,73,115,108,134,""
12,166,167,214,229,236,226,240,257,273,316,283,274,252,231,214,166,121,63,64,64,76,98,120,141,""
13,126,151,167,246,291,222,196,244,277,285,236,223,237,214,191,162,110,86,61,62,89,79,120,143,""
14,147,144,212,231,229,224,222,234,282,294,274,212,220,230,181,172,121,78,45,61,78,87,110,116,""
15,177,128,161,213,214,224,226,239,247,252,247,209,196,198,195,177,128,93,75,67,49,78,132,122,""
16,132,135,171,219,244,215,194,252,247,252,235,229,237,250,225,163,92,72,66,57,71,72,133,132,""
17,154,150,195,194,206,209,223,210,205,274,247,236,243,250,239,150,100,74,68,66,64,93,122,139,""
18,137,129,186,211,232,229,227,240,252,291,293,259,243,224,238,171,102,68,52,47,72,78,113,137,""
19,150,114,171,163,189,210,194,236,261,160,78,61,68,55,54,37,34,16,18,21,21,50,35,44,""
20,44,54,59,80,74,80,55,71,75,76,85,74,72,77,50,39,32,16,19,20,34,33,52,49,""
21,68,58,69,66,75,76,62,64,90,86,83,71,93,57,51,43,23,26,19,24,23,33,59,72,""
22,72,82,53,65,92,78,78,89,105,83,78,74,62,51,58,54,33,17,19,16,21,33,46,54,""
23,58,44,56,95,91,90,78,89,62,81,66,68,59,62,54,39,29,16,18,21,21,35,33,54,""
24,51,49,74,81,68,80,90,83,98,100,69,66,57,67,47,38,33,32,22,55,46,74,89,92,""
25,106,134,156,196,171,159,171,225,236,283,263,197,194,199,181,138,86,53,45,52,60,86,128,94,""
26,106,150,202,216,214,203,187,219,246,238,255,212,205,210,194,158,92,75,63,66,50,62,82,120,""
27,106,144,176,173,210,205,203,181,243,264,295,201,192,216,208,183,122,77,48,57,54,79,100,101,""
28,125,134,159,202,206,217,188,220,281,306,317,283,233,224,226,144,113,59,56,55,64,74,110,118,""
29,132,148,179,165,188,164,190,196,257,282,260,242,269,223,230,146,129,76,58,41,44,87,107,116,""
30,123,167,139,176,214,199,191,220,246,261,259,219,223,233,207,164,112,73,55,61,64,84,98,126,""
31,147,158,141,175,158,175,190,242,252,289,263,246,238,269,237,179,99,91,60,52,55,87,8,0,""
