aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,205,198,230,206,210,171,150,159,152,146,117,87,73,52,41,33,33,35,36,56,58,83,146,181,""
02,175,213,222,168,199,192,178,140,146,132,117,70,66,53,39,35,38,37,47,43,61,109,186,191,""
03,188,190,227,210,213,230,193,143,171,129,127,91,61,52,38,39,46,29,38,68,63,17,-1,0,""
04,-1,-1,-1,-1,-1,-1,-1,-1,105,131,120,96,70,49,37,32,39,34,49,56,72,100,106,125,""
05,203,192,189,197,228,228,156,152,171,121,130,106,76,62,42,35,32,45,59,55,71,87,143,152,""
06,148,171,220,218,209,179,198,157,156,127,111,80,86,52,38,41,38,42,52,53,46,94,132,139,""
07,159,166,173,182,241,198,167,170,144,160,137,85,83,59,44,52,80,47,61,56,75,95,108,151,""
08,191,221,197,207,246,196,182,163,177,135,143,87,91,70,54,31,38,37,48,55,64,83,127,145,""
09,177,160,211,189,224,193,171,147,143,111,97,84,79,57,43,49,42,39,39,75,69,85,112,124,""
10,178,169,210,211,224,193,215,171,163,177,125,99,103,63,41,43,32,37,38,67,72,93,139,151,""
11,160,163,191,224,182,206,174,186,157,155,135,106,100,84,55,42,41,51,58,65,75,119,123,174,""
12,196,220,233,237,292,265,256,213,225,199,155,173,130,87,97,69,72,67,78,85,110,151,170,191,""
13,232,312,260,289,336,316,293,186,163,209,182,146,107,118,80,60,64,63,76,51,84,156,139,188,""
14,210,219,234,248,235,255,210,164,195,149,141,117,124,94,83,49,45,57,51,74,75,80,141,130,""
15,180,203,194,219,195,180,192,167,183,181,134,101,88,70,59,44,51,48,54,66,57,74,107,139,""
16,157,185,204,192,200,195,186,152,141,137,118,98,56,81,47,47,54,40,37,41,78,105,118,146,""
17,151,166,184,149,189,164,140,139,159,126,105,86,61,54,52,44,31,46,53,46,66,83,116,139,""
18,141,156,191,146,176,172,179,123,139,120,105,97,83,73,47,42,31,31,42,49,64,83,87,108,""
19,140,140,155,193,189,151,166,118,128,113,129,73,78,44,25,44,34,32,40,41,72,90,109,121,""
20,142,122,149,114,121,163,128,125,151,124,106,87,48,50,36,43,43,45,52,50,67,67,95,112,""
21,120,129,130,170,155,129,126,119,107,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,48,40,58,90,109,""
23,114,136,126,108,121,125,138,94,115,88,75,61,68,44,53,39,38,36,45,53,67,79,95,94,""
24,102,110,150,132,130,126,134,115,99,108,88,62,63,69,38,36,40,48,63,60,62,57,88,112,""
25,120,132,147,143,155,139,164,144,138,116,111,99,64,49,46,42,54,35,35,54,78,76,80,113,""
26,137,118,131,132,125,139,140,113,117,106,92,91,54,46,50,43,43,35,37,76,75,77,114,121,""
27,126,148,123,101,128,163,137,133,112,115,82,83,79,40,46,44,48,41,42,68,59,79,74,116,""
28,140,139,133,129,136,140,150,117,136,102,113,106,95,65,43,46,41,58,66,48,54,54,106,96,""
29,158,130,165,151,161,158,157,140,147,151,129,79,90,64,41,55,33,53,40,57,80,78,86,90,""
30,124,150,146,139,169,156,198,165,175,136,110,90,80,62,47,52,56,69,43,55,76,125,165,162,""
31,217,268,258,266,224,193,175,146,156,144,117,96,88,57,65,70,39,69,72,65,66,96,107,14,""
