sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,42,40,32,28,31,34,32,29,31,33,30,27,33,35,31,33,""
05,61,66,59,58,55,57,53,50,45,39,33,27,39,44,58,39,60,32,41,39,50,67,29,33,""
06,44,46,51,63,75,64,53,63,42,38,57,47,51,43,33,41,44,40,38,36,37,51,53,59,""
07,62,59,58,54,56,56,54,63,46,43,61,56,49,58,46,45,46,45,35,36,30,37,49,56,""
08,64,70,82,61,58,68,48,63,57,57,34,49,47,51,41,50,35,37,42,40,50,34,53,62,""
09,51,56,48,52,42,52,55,57,59,59,40,56,62,44,51,39,34,42,29,43,46,50,62,81,""
10,84,67,79,67,67,60,60,52,53,60,60,54,45,46,45,46,46,56,41,43,35,54,54,65,""
11,68,77,65,65,51,59,36,44,54,50,42,51,45,33,48,38,34,39,26,35,31,48,43,57,""
12,59,63,61,66,55,59,42,27,37,51,55,36,38,51,38,25,27,37,36,45,26,46,45,55,""
13,74,59,72,58,66,69,61,69,65,60,76,82,57,54,35,43,50,36,33,30,48,35,73,93,""
14,79,88,87,61,67,69,48,49,70,58,60,51,60,37,42,56,29,43,47,49,36,59,53,84,""
15,53,81,73,60,76,67,66,75,60,66,76,77,66,51,52,42,33,33,33,44,47,56,69,75,""
16,58,67,72,60,57,54,61,55,57,65,63,57,64,58,61,47,44,34,36,38,38,53,61,72,""
17,79,77,69,60,79,51,71,53,65,61,63,58,58,34,44,50,41,35,30,36,39,39,49,83,""
18,73,70,66,62,84,72,50,67,64,50,55,57,42,56,37,48,48,37,43,34,42,42,42,58,""
19,64,54,62,62,54,51,63,60,58,64,41,48,34,42,38,33,39,42,45,32,39,65,73,72,""
20,61,65,73,74,50,54,67,50,57,72,71,70,50,40,45,35,33,30,35,24,35,30,46,49,""
21,53,35,40,51,65,65,55,58,52,57,52,53,48,49,38,40,33,27,32,41,29,40,54,56,""
22,73,67,52,55,65,59,57,54,56,54,60,55,41,41,28,32,31,24,35,37,38,46,66,62,""
23,58,46,62,56,60,52,43,66,55,52,57,42,40,43,39,28,28,44,30,46,35,50,62,67,""
24,71,58,74,58,74,64,60,52,52,47,48,50,38,35,48,37,43,33,33,26,39,41,54,57,""
25,59,50,46,34,47,49,46,50,43,47,41,30,39,36,28,33,24,33,18,29,33,55,36,67,""
26,75,78,78,52,49,64,33,44,43,41,46,42,52,35,25,17,43,38,35,35,40,52,43,62,""
27,73,50,62,51,46,43,52,41,71,61,67,54,43,44,47,43,29,35,40,31,33,65,67,79,""
28,86,69,73,68,55,48,51,50,67,59,57,69,44,36,54,45,34,43,46,32,39,46,58,72,""
29,70,60,60,62,60,58,56,59,67,60,73,57,56,49,48,33,36,33,40,37,37,54,74,81,""
30,93,75,65,58,52,64,47,54,55,52,58,44,51,53,50,35,38,27,37,29,52,49,68,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
