jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,9,23,30,27,26,39,29,32,25,30,11,46,56,44,46,38,30,40,43,34,39,27,26,23,""
02,15,14,26,41,43,44,33,17,22,48,71,59,63,60,53,50,28,30,27,23,41,24,28,14,""
03,22,14,28,28,41,38,27,29,30,60,65,92,92,86,75,69,39,34,42,21,26,37,40,35,""
04,27,17,34,34,43,37,50,41,70,79,100,85,69,87,64,60,42,33,24,26,28,25,15,22,""
05,25,28,41,35,40,48,33,24,42,50,60,71,70,70,64,47,47,41,40,39,32,31,15,15,""
06,20,13,24,23,39,46,26,1,31,41,39,48,59,64,42,45,30,26,34,42,40,34,16,19,""
07,14,14,17,23,44,40,29,27,43,43,43,40,62,55,35,46,25,23,43,26,3,26,24,15,""
08,14,13,19,30,27,33,34,20,18,22,32,39,58,47,50,42,36,24,28,35,31,23,30,11,""
09,12,14,24,27,37,39,29,23,32,45,54,48,54,56,46,47,39,31,32,34,28,21,16,18,""
10,14,11,13,1,0,17,34,21,25,34,37,45,44,38,42,49,26,23,24,27,16,8,0,0,""
11,0,0,0,0,12,50,21,23,29,49,39,39,43,51,39,31,30,24,36,31,28,36,14,15,""
12,18,20,25,29,44,36,32,28,36,56,47,57,62,44,47,42,30,30,28,35,27,26,20,27,""
13,12,15,17,27,20,27,35,21,34,39,55,46,43,57,35,46,25,32,25,35,30,27,18,16,""
14,19,19,17,30,28,37,22,24,33,45,61,57,60,34,46,36,21,30,40,41,43,20,20,16,""
15,17,22,24,32,32,40,21,31,41,44,52,72,57,52,45,46,48,36,44,40,45,43,28,16,""
16,15,17,34,27,46,25,31,28,48,39,62,55,54,49,41,40,46,41,54,37,46,39,25,23,""
17,11,26,16,26,42,47,36,27,51,41,43,66,53,64,54,42,39,31,30,31,33,26,19,19,""
18,14,12,23,29,33,31,32,24,42,58,84,62,59,33,37,34,25,17,28,41,31,39,19,15,""
19,19,14,18,31,29,36,29,24,34,43,53,59,43,42,36,36,30,27,35,34,47,30,23,15,""
20,15,19,26,27,35,30,37,19,29,41,61,54,43,43,38,46,30,20,32,35,26,23,20,22,""
21,18,21,20,31,28,31,24,29,22,44,47,43,36,39,30,22,24,24,39,40,32,33,16,18,""
22,17,18,19,39,45,39,39,32,28,33,55,43,57,58,44,26,36,39,33,33,38,29,21,12,""
23,11,16,12,27,25,31,22,15,21,31,26,30,34,46,33,43,30,43,32,32,40,25,26,24,""
24,20,20,32,21,22,26,19,23,27,32,43,34,44,36,32,36,22,20,27,25,20,21,14,10,""
25,14,13,16,32,30,20,27,22,20,28,24,30,30,28,36,36,29,22,28,23,23,27,12,15,""
26,17,23,13,36,26,21,15,24,26,18,30,32,42,40,38,34,24,27,30,38,24,19,15,14,""
27,17,14,12,23,19,26,21,27,20,16,23,35,22,29,34,27,20,15,22,19,13,22,16,7,""
28,13,14,15,15,29,34,24,21,28,27,37,33,42,41,36,29,26,28,33,23,17,13,11,13,""
29,17,20,16,25,28,33,32,19,22,24,33,26,40,35,36,29,23,28,37,35,30,31,25,19,""
30,20,14,25,22,28,27,23,0,0,0,29,33,47,40,26,24,30,33,27,41,31,30,10,10,""
31,16,16,20,28,33,31,23,21,20,23,23,25,33,28,26,29,21,20,31,32,30,21,22,-1,""
