jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
03,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,35,39,57,""
05,39,37,52,53,56,63,77,97,18,19,14,17,19,23,23,31,16,23,50,29,29,36,38,32,""
06,31,59,48,58,55,87,75,101,33,56,50,23,7,7,9,16,14,31,16,33,47,39,31,41,""
07,44,42,45,58,73,72,87,122,45,67,14,30,18,8,26,23,38,18,19,16,33,28,30,32,""
08,43,42,45,51,58,62,79,127,78,23,77,17,32,21,33,40,55,44,30,50,35,20,34,33,""
09,18,31,37,30,52,55,77,57,35,38,25,19,12,10,12,23,36,59,34,16,29,34,26,35,""
10,35,39,45,51,51,49,58,61,26,20,24,8,8,9,7,18,17,22,13,20,23,9,34,22,""
11,42,39,49,55,25,57,53,105,43,22,5,21,14,27,10,36,26,31,18,22,8,41,35,27,""
12,30,41,53,55,58,68,58,79,41,28,15,13,35,28,16,29,42,34,35,11,22,29,21,41,""
13,32,44,52,46,68,40,61,85,46,24,26,23,45,26,9,20,27,1,1,4,7,15,8,22,""
14,36,31,33,35,48,67,66,87,29,32,76,42,40,34,34,14,20,38,30,54,53,38,31,67,""
15,30,34,35,57,35,79,71,74,27,43,48,20,37,8,21,17,30,33,13,47,23,26,37,26,""
16,23,46,56,49,36,44,55,54,30,38,27,10,8,5,20,14,22,43,20,15,31,32,24,39,""
17,37,42,50,44,48,56,72,37,38,32,38,30,13,19,11,14,11,21,30,20,24,24,31,43,""
18,48,41,34,42,60,55,65,87,45,44,72,40,47,18,48,16,29,15,34,15,28,36,37,29,""
19,27,29,41,49,44,58,48,65,20,11,32,11,26,25,4,32,15,71,29,48,45,33,32,42,""
20,32,42,40,49,48,49,35,62,18,42,38,14,7,12,4,16,37,39,8,12,16,20,34,27,""
21,34,33,42,47,44,40,40,68,31,27,26,19,24,9,4,4,47,22,42,43,47,28,34,27,""
22,31,27,38,43,49,47,41,60,21,27,23,24,33,28,32,18,36,27,10,34,32,31,30,28,""
23,37,39,39,39,51,38,34,48,26,7,23,58,28,31,29,14,11,53,25,36,24,34,30,20,""
24,28,41,34,47,46,42,54,104,33,12,16,20,7,23,4,15,14,33,23,18,17,17,10,13,""
25,18,26,41,35,28,19,29,80,40,16,13,31,29,30,41,7,46,32,39,46,46,39,40,46,""
26,33,29,41,45,34,32,46,92,21,13,45,14,30,13,18,5,11,10,21,10,5,9,32,33,""
27,31,39,43,45,46,30,40,25,18,10,10,17,12,41,19,3,18,58,48,32,40,48,34,35,""
28,24,26,29,35,27,26,41,54,12,21,12,11,4,7,6,15,48,35,36,21,21,6,17,30,""
29,29,29,30,35,35,38,47,32,8,13,13,22,33,8,14,31,21,27,10,2,2,15,17,24,""
30,38,38,42,37,26,63,31,45,21,22,9,3,0,1,1,1,0,0,1,11,17,13,24,32,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
