mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,146,160,163,163,148,135,106,128,113,112,103,108,102,52,37,28,16,22,20,28,51,61,98,125,""
02,152,188,189,155,149,125,128,127,122,131,98,93,85,49,45,27,20,10,17,22,48,64,95,147,""
03,139,160,161,175,120,124,121,121,147,124,108,97,103,67,32,31,30,11,18,38,62,74,82,122,""
04,141,172,203,190,161,146,160,167,140,153,118,81,68,47,30,14,16,8,12,38,52,74,99,129,""
05,150,170,166,159,149,154,174,128,113,119,93,87,29,27,25,10,11,13,23,41,60,82,129,121,""
06,145,164,157,167,167,163,154,141,122,94,90,66,61,41,19,10,15,21,29,28,49,76,112,128,""
07,145,161,174,169,159,140,157,141,148,112,79,88,75,50,31,27,18,10,15,24,44,75,114,124,""
08,128,147,143,150,152,160,139,123,109,114,103,96,83,61,41,23,11,15,17,33,50,67,107,102,""
09,145,158,164,163,147,147,142,130,119,123,116,94,77,51,35,24,7,13,24,41,44,63,107,107,""
10,140,145,145,164,118,129,132,109,112,110,122,89,76,65,39,21,13,12,17,22,38,56,71,76,""
11,125,112,147,142,125,116,124,90,77,93,99,88,87,55,34,8,12,16,16,28,58,80,90,99,""
12,127,116,128,167,168,138,141,132,134,105,92,106,77,54,35,33,21,19,23,27,45,76,97,111,""
13,132,150,140,130,144,127,132,126,114,136,104,123,61,45,39,33,27,14,31,51,64,82,104,108,""
14,142,140,158,161,147,127,127,34,18,22,21,20,46,54,55,24,16,23,26,28,34,65,92,61,""
15,22,32,14,55,129,117,119,129,132,112,106,88,85,55,49,25,17,13,16,16,39,58,90,98,""
16,127,146,143,168,122,108,140,118,153,164,99,98,88,44,38,34,11,16,17,30,63,80,93,125,""
17,115,117,123,149,108,97,115,113,104,112,81,112,95,67,38,18,9,14,15,30,49,75,81,109,""
18,117,161,148,147,116,138,130,140,138,125,121,91,86,59,46,9,13,17,27,44,65,90,103,127,""
19,156,159,157,138,133,169,186,170,125,129,139,96,78,46,43,16,18,16,19,35,57,75,86,103,""
20,137,138,152,148,146,139,154,162,136,115,118,108,84,60,50,26,19,23,29,41,50,73,103,119,""
21,122,138,127,110,126,121,130,149,144,135,123,116,92,53,34,19,9,14,19,34,60,68,92,102,""
22,112,137,129,158,128,116,151,170,158,142,115,111,82,59,38,22,20,14,31,53,50,68,91,102,""
23,123,148,136,135,117,129,141,129,119,130,116,102,84,71,36,18,21,22,16,42,56,79,102,108,""
24,133,129,138,151,158,153,144,135,154,129,135,107,71,73,33,22,13,20,30,35,68,70,101,101,""
25,129,146,141,161,144,179,160,135,127,138,124,109,116,67,44,19,24,16,21,39,48,79,106,97,""
26,127,132,175,148,133,161,166,140,147,144,123,139,97,58,48,22,13,10,21,39,70,82,98,112,""
27,134,143,142,135,167,142,166,147,120,122,129,121,89,57,37,25,17,12,19,28,40,56,102,117,""
28,138,150,144,122,124,121,139,164,152,148,153,114,97,71,52,18,6,20,18,36,57,56,88,118,""
29,138,135,144,114,118,136,165,130,126,136,130,134,98,64,46,25,12,17,27,33,52,78,88,106,""
30,131,135,135,127,138,147,163,143,153,141,145,112,101,75,49,25,21,15,24,43,60,67,99,119,""
31,127,128,138,140,142,155,169,164,149,136,116,105,93,56,40,20,14,13,19,31,56,79,103,-1,""
