Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
1,4,3,2,0,6,4,2,1,1,3,2,3,2,1,1,0,0,0,0,0,1,4,3,2,""
2,4,1,5,3,4,0,4,2,2,1,1,0,0,0,0,1,0,0,0,1,0,1,3,3,""
3,2,4,1,3,2,0,0,1,1,2,0,1,0,0,2,0,0,0,0,0,1,1,2,1,""
4,0,1,2,1,1,0,2,1,1,2,1,0,2,0,0,2,0,1,0,0,2,0,0,3,""
5,2,4,8,1,0,0,1,2,1,2,3,0,2,1,0,1,1,0,0,0,0,1,0,0,""
6,0,3,3,1,2,1,2,2,2,2,3,1,1,1,0,0,1,1,0,0,0,0,1,4,""
7,1,2,2,1,0,2,3,0,3,1,1,2,3,1,1,1,0,0,0,0,0,0,0,2,""
8,2,3,1,0,4,0,0,1,2,1,2,4,1,1,1,0,0,1,0,0,0,0,2,0,""
9,0,2,1,1,3,2,5,1,2,3,1,0,0,0,0,1,1,1,0,1,0,0,1,1,""
10,4,0,0,2,5,0,0,1,1,0,1,1,2,0,1,0,0,1,0,1,0,2,1,2,""
11,2,0,1,1,0,1,1,4,2,2,1,2,3,0,1,1,2,1,1,0,1,1,1,1,""
12,0,6,0,2,3,2,1,1,3,1,5,1,1,0,1,1,0,0,1,1,0,1,0,3,""
13,3,1,1,1,0,1,1,4,4,2,1,1,0,1,0,0,0,1,0,0,1,0,0,2,""
14,0,1,2,1,1,2,2,1,4,4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,""
15,1,1,2,1,3,2,1,0,3,2,2,0,0,0,0,1,0,2,2,1,2,0,1,3,""
16,3,1,0,4,1,1,2,2,5,0,1,1,1,2,1,0,2,0,0,1,0,1,2,2,""
17,3,2,2,2,2,2,3,3,1,2,6,4,1,1,1,0,0,0,1,0,2,0,0,2,""
18,0,1,1,1,2,1,3,2,4,0,1,0,4,1,2,0,0,0,1,0,0,0,2,2,""
19,0,1,2,1,1,4,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,""
20,0,0,3,1,2,4,2,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,""
21,1,0,2,1,1,0,0,0,2,3,0,0,0,0,2,0,1,0,0,1,1,0,2,3,""
22,1,1,4,3,3,3,1,1,3,1,0,2,0,1,0,0,1,0,1,1,0,0,1,0,""
23,1,0,0,1,0,5,4,2,0,1,1,0,2,1,0,0,0,0,0,0,1,2,4,2,""
24,2,2,1,4,4,0,3,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,3,""
25,0,1,0,3,4,5,4,4,1,2,1,4,0,3,1,1,0,0,0,0,2,1,2,0,""
26,0,1,1,1,2,3,3,2,4,0,3,1,1,1,2,0,0,0,0,0,0,1,0,1,""
27,0,0,0,2,0,3,5,3,2,0,1,3,3,0,0,1,1,0,1,0,0,0,1,1,""
28,2,1,3,0,3,4,1,3,2,5,1,2,1,1,1,1,0,0,0,0,0,0,0,1,""
29,1,2,2,4,0,3,2,5,4,3,1,4,0,0,1,0,1,0,1,1,1,2,0,0,""
30,1,1,2,1,2,0,4,1,3,0,3,2,1,3,0,0,0,0,0,0,0,0,0,3,""
31,0,2,2,2,0,2,2,0,3,4,1,1,2,0,2,0,0,0,1,2,0,0,1,0,""
