nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,171,196,199,223,225,192,188,199,223,222,221,209,210,221,186,200,200,172,152,166,142,140,147,180,""
02,175,193,186,210,214,185,217,201,227,218,204,204,224,211,191,203,244,185,178,185,166,161,133,147,""
03,152,169,186,183,234,192,211,209,211,222,214,216,225,222,212,197,170,175,176,178,166,146,155,168,""
04,195,206,201,203,207,189,190,196,221,218,213,215,229,202,196,228,202,156,155,166,144,124,146,153,""
05,178,185,182,208,204,189,188,182,178,212,219,217,250,228,195,202,169,135,164,169,143,130,156,139,""
06,180,184,198,211,200,186,168,164,185,210,221,228,187,220,202,184,199,176,145,107,151,145,136,135,""
07,159,178,197,181,204,181,178,163,194,219,213,212,190,224,185,184,189,150,144,151,170,164,165,147,""
08,185,198,212,210,202,229,204,184,190,216,201,200,189,209,208,196,185,175,150,138,146,137,138,174,""
09,174,192,206,213,191,206,163,206,189,221,225,215,213,234,211,173,194,173,170,151,156,158,158,165,""
10,173,207,220,238,220,215,218,207,196,217,224,216,229,213,221,210,202,167,152,151,148,160,137,194,""
11,190,212,235,220,225,213,210,205,209,209,234,227,220,237,208,195,203,201,181,162,183,160,131,177,""
12,188,216,229,213,204,199,196,216,226,206,201,206,230,227,204,214,218,197,182,187,169,153,156,185,""
13,183,199,220,226,225,208,207,198,204,190,226,198,216,223,229,197,187,167,153,143,162,174,156,149,""
14,158,191,199,197,180,172,187,199,191,224,230,232,235,233,202,175,195,140,137,163,177,149,143,154,""
15,168,202,203,202,199,183,195,163,192,228,217,189,203,230,206,187,195,165,145,138,153,167,199,175,""
16,200,201,219,193,203,197,184,192,207,248,215,211,213,205,199,180,196,190,162,162,162,149,142,151,""
17,187,221,188,223,205,185,175,194,229,242,228,204,205,213,210,199,200,180,150,157,162,166,150,158,""
18,191,191,199,199,179,195,194,213,223,205,206,193,208,201,214,197,179,208,163,147,144,149,154,155,""
19,176,185,212,190,186,208,187,226,221,220,228,231,183,207,184,195,187,173,135,135,159,163,137,169,""
20,185,190,203,202,208,230,216,240,187,181,221,218,187,204,211,199,197,184,160,143,183,161,140,160,""
21,151,183,124,197,193,214,192,213,228,218,226,209,229,204,194,184,177,181,178,153,153,155,154,174,""
22,201,194,219,202,209,205,193,204,215,200,228,223,222,216,199,182,168,169,155,155,159,155,139,172,""
23,183,196,201,177,169,211,196,230,217,258,235,220,225,215,204,165,192,188,188,164,174,160,138,182,""
24,184,205,205,205,229,210,188,221,214,243,231,231,242,231,212,192,189,206,177,158,167,167,160,181,""
25,205,203,229,202,215,212,201,205,226,242,241,247,245,248,214,197,194,202,201,153,168,162,148,159,""
26,216,209,207,230,230,215,220,198,224,226,245,226,230,215,230,220,225,186,154,178,154,168,148,156,""
27,183,195,195,194,226,195,193,234,196,225,229,213,225,229,214,193,197,191,179,150,178,157,157,168,""
28,189,206,234,210,226,200,201,189,214,233,227,213,222,226,226,189,224,202,175,163,166,158,162,165,""
29,170,183,185,184,203,197,200,223,221,218,255,224,210,222,221,251,202,215,194,156,61,0,0,0,""
30,0,0,0,0,0,0,109,205,230,241,249,232,213,222,200,192,183,185,166,168,167,163,145,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
