jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,2,5,6,9,9,1,5,2,7,8,2,4,4,4,5,1,6,1,1,2,4,2,4,2,""
02,2,3,4,2,4,5,2,4,3,2,1,3,1,2,4,1,1,2,0,3,3,1,0,2,""
03,5,5,6,5,5,5,6,3,1,1,7,6,4,2,2,3,2,0,2,0,1,4,9,6,""
04,14,19,27,29,44,23,4,1,3,19,26,31,36,19,13,3,2,4,4,9,6,5,5,3,""
05,8,2,6,5,5,2,2,4,2,3,2,4,2,0,6,3,4,5,3,3,4,1,2,1,""
06,4,4,4,4,4,3,1,3,1,4,5,4,5,2,3,0,5,3,2,1,3,3,3,0,""
07,2,3,3,3,5,3,1,1,2,2,4,4,4,2,1,0,2,2,4,4,4,4,2,3,""
08,4,4,7,6,6,4,5,1,3,2,7,5,3,4,3,4,1,4,2,1,0,4,2,3,""
09,11,6,8,4,5,4,4,6,3,3,2,2,3,0,1,2,1,1,2,1,1,5,3,5,""
10,10,3,3,4,2,3,7,7,2,3,11,5,4,0,2,1,1,2,0,1,4,0,0,4,""
11,1,0,8,5,4,1,4,1,2,1,3,2,7,1,3,0,6,1,2,2,4,3,3,3,""
12,4,3,1,4,6,3,0,2,2,8,3,4,4,3,0,4,4,1,3,3,5,2,0,3,""
13,2,7,9,4,4,4,4,7,6,2,4,5,4,2,3,4,2,1,0,1,5,0,4,1,""
14,4,3,7,5,6,5,6,5,4,5,2,4,3,1,0,3,0,1,0,0,1,0,1,1,""
15,2,5,1,6,4,4,3,2,4,10,4,3,6,1,2,2,0,5,3,3,5,3,1,6,""
16,11,6,14,4,5,6,7,5,3,5,0,7,8,0,3,1,3,3,1,3,5,2,3,3,""
17,2,10,7,12,6,6,7,5,8,5,2,6,7,6,4,3,1,6,1,2,5,2,3,4,""
18,5,9,8,9,12,5,4,2,5,3,7,1,3,1,1,5,5,3,0,4,3,6,13,16,""
19,1,9,4,8,9,4,6,6,6,3,5,5,3,5,1,2,2,2,5,1,3,4,3,5,""
20,0,3,3,2,1,6,1,1,1,2,5,2,1,1,2,0,1,1,1,1,4,2,1,1,""
21,5,6,4,3,1,3,3,0,4,2,2,3,3,0,1,1,0,2,2,1,1,2,2,1,""
22,0,1,2,5,3,2,0,1,2,2,6,1,1,2,1,0,1,1,1,0,3,3,1,1,""
23,1,3,5,3,1,3,1,1,2,3,2,1,1,1,2,3,1,0,1,2,1,0,2,3,""
24,0,1,3,3,3,1,0,1,4,1,0,1,0,2,0,0,0,0,2,0,3,1,4,2,""
25,0,5,8,4,8,3,6,3,3,5,2,1,4,3,3,1,0,0,1,3,0,2,0,3,""
26,1,7,3,5,5,5,6,7,3,10,7,10,8,2,4,2,0,1,2,4,2,2,5,12,""
27,15,10,7,7,9,6,6,4,2,8,10,9,5,3,3,3,1,2,5,2,3,5,4,8,""
28,11,8,7,4,9,6,8,7,3,7,7,13,3,2,7,1,2,3,2,7,3,1,1,2,""
29,3,6,5,3,7,12,4,5,2,2,2,2,3,2,2,4,0,1,0,0,0,1,1,2,""
30,1,2,2,2,2,0,2,2,2,2,2,3,1,3,1,1,2,0,0,2,0,3,1,0,""
31,1,2,1,3,1,1,2,0,1,4,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]elleI}ly`'a,""
