feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,48,45,47,66,70,64,26,38,78,50,31,37,90,67,24,10,6,2,3,3,14,1,17,15,""
02,36,60,65,69,92,65,86,59,58,47,36,80,70,46,45,54,20,17,9,5,3,29,33,44,""
03,36,67,45,71,64,78,66,66,80,76,64,76,51,58,36,30,5,1,8,-1,-1,29,30,17,""
04,37,43,65,81,77,67,33,9,15,21,42,75,94,84,80,-1,9,3,4,11,8,26,18,38,""
05,69,72,87,90,102,101,88,72,71,70,88,96,113,53,19,22,28,13,23,6,17,46,29,24,""
06,53,53,84,104,101,80,80,77,84,74,62,42,65,38,37,34,4,4,6,5,2,7,13,20,""
07,43,65,88,80,96,103,63,103,75,67,57,50,63,85,42,8,2,3,6,6,3,20,41,47,""
08,43,52,72,78,76,69,66,73,59,70,67,61,35,58,13,7,5,3,3,5,1,19,22,39,""
09,38,56,56,73,74,67,80,62,74,66,91,54,79,78,40,8,3,4,6,2,4,12,-1,51,""
10,59,76,63,73,75,89,88,80,69,76,74,46,43,14,18,7,5,2,4,2,7,17,28,48,""
11,21,63,62,84,73,92,65,72,51,18,79,85,81,94,48,27,4,8,12,13,3,55,67,50,""
12,50,49,60,57,56,77,40,68,17,15,17,54,82,51,53,40,25,20,5,2,3,14,43,45,""
13,46,104,121,57,59,106,79,134,47,29,72,52,32,77,49,35,35,25,21,2,2,15,33,43,""
14,52,80,74,66,75,67,70,61,17,19,11,23,52,82,52,34,6,6,3,3,4,33,39,33,""
15,61,47,66,74,78,69,72,85,40,22,14,52,89,85,47,27,30,21,24,3,3,31,25,39,""
16,41,72,86,101,83,65,93,90,47,28,86,68,95,82,81,43,32,48,8,20,18,28,40,50,""
17,48,68,72,81,76,61,71,70,44,64,86,73,90,86,50,35,26,7,25,8,12,21,21,35,""
18,57,70,76,65,76,81,69,88,43,73,80,74,110,55,62,53,36,31,20,20,15,25,52,60,""
19,51,66,72,56,71,64,79,78,86,68,105,88,98,74,55,59,33,17,15,29,22,27,32,38,""
20,48,51,45,53,69,50,53,86,59,64,37,73,88,89,60,37,40,23,32,26,20,38,42,40,""
21,58,61,87,85,96,87,67,83,94,76,70,70,67,59,67,45,25,17,34,25,25,29,17,50,""
22,45,50,68,78,100,82,68,71,83,67,57,80,52,34,37,60,49,20,21,16,17,39,49,57,""
23,53,65,71,77,80,86,140,103,87,79,77,59,102,78,61,11,30,35,29,21,19,13,31,45,""
24,65,59,90,81,94,81,111,111,91,51,77,100,73,63,76,52,34,20,20,24,21,14,42,51,""
25,43,62,72,77,78,74,68,64,93,80,101,65,78,77,76,62,33,27,15,24,26,36,46,52,""
26,49,47,75,81,63,73,56,73,64,79,99,98,79,72,50,86,52,22,19,16,17,18,26,41,""
27,52,67,77,67,65,78,61,65,80,84,89,91,87,82,64,40,41,27,9,15,25,25,20,39,""
28,40,44,58,79,80,79,69,84,68,68,74,67,86,65,31,62,53,59,75,66,50,59,49,72,""
29,77,74,69,72,79,86,67,67,85,111,108,85,103,92,66,58,25,32,19,19,20,17,29,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,""
