jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,41,32,44,76,98,""
02,104,103,110,119,143,165,172,160,142,103,69,56,56,69,72,75,60,26,19,18,22,35,54,54,""
03,63,78,72,88,123,144,154,126,135,124,129,90,68,103,71,75,74,39,26,31,33,33,54,72,""
04,74,69,82,102,114,137,146,158,141,120,95,105,88,84,104,81,57,57,42,29,41,38,55,77,""
05,75,63,83,86,123,142,153,133,122,88,79,79,78,94,97,102,72,38,34,36,32,34,52,71,""
06,83,80,89,102,140,152,175,165,149,127,111,102,100,125,124,140,81,44,18,21,34,45,47,64,""
07,71,87,84,111,146,152,179,174,154,135,119,129,100,130,122,109,93,65,42,43,32,43,58,63,""
08,74,113,108,118,176,186,198,217,166,126,90,84,94,129,122,109,77,45,50,35,35,48,67,67,""
09,71,76,96,127,141,173,180,165,153,132,96,74,89,123,128,95,83,41,23,22,39,41,66,65,""
10,67,82,99,116,153,170,190,192,177,95,187,121,119,121,150,128,87,37,32,27,25,42,52,55,""
11,69,85,123,127,167,168,208,131,144,135,90,92,116,167,150,118,92,45,25,27,16,44,57,65,""
12,66,79,89,149,169,166,155,154,119,121,154,77,82,137,146,113,84,60,37,25,43,37,53,82,""
13,85,82,130,118,149,161,155,148,125,128,81,63,103,104,114,98,77,53,40,30,44,37,58,88,""
14,84,113,120,152,171,186,178,173,143,133,92,99,101,106,116,91,82,51,24,30,59,57,76,87,""
15,102,115,115,110,174,188,158,136,86,74,82,57,78,100,123,92,66,42,29,19,26,44,44,65,""
16,83,98,112,95,151,177,171,154,150,89,64,60,86,108,99,112,72,40,28,27,24,48,58,75,""
17,67,74,71,103,124,151,133,116,101,81,65,63,70,89,103,82,57,45,26,20,29,53,-1,0,""
18,-1,-1,-1,-1,10,150,151,148,104,72,74,65,85,112,123,100,84,52,42,29,42,62,67,74,""
19,108,114,124,135,148,162,142,139,126,96,60,44,8,86,75,68,55,51,36,35,39,52,74,86,""
20,88,104,120,152,161,177,134,137,126,80,50,36,54,59,66,53,49,32,27,23,33,80,61,57,""
21,92,72,74,87,77,118,110,123,118,71,40,35,42,52,59,50,60,49,34,41,56,53,73,103,""
22,112,122,121,115,150,134,173,156,145,126,117,89,102,97,102,103,74,57,51,35,40,46,62,81,""
23,97,92,71,125,117,132,125,123,108,65,57,78,62,72,83,69,62,44,36,27,38,45,62,79,""
24,87,16,-1,-1,-1,-1,-1,68,117,134,62,50,71,81,102,94,67,41,29,36,41,53,62,83,""
25,115,102,116,110,115,151,153,147,127,101,74,69,86,99,89,80,61,50,34,38,33,45,52,70,""
26,96,101,83,101,113,112,117,130,97,67,65,58,54,74,67,65,51,45,30,31,31,38,52,57,""
27,79,89,92,100,117,133,103,101,98,78,57,34,55,61,56,57,60,34,22,24,27,36,57,64,""
28,73,77,90,82,77,91,97,90,79,78,44,64,64,54,65,59,48,32,42,38,56,68,69,78,""
29,81,99,116,127,132,122,138,118,100,91,78,38,75,62,78,63,59,43,32,22,28,42,54,82,""
30,91,90,89,78,83,91,111,95,79,91,62,72,63,71,61,65,67,29,31,42,61,57,61,7,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
