jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,1,3,3,2,5,7,2,4,4,0,2,1,4,1,2,3,4,1,5,1,2,1,2,""
02,1,1,4,6,6,16,4,7,5,2,2,5,2,3,3,1,3,1,1,2,0,0,0,1,""
03,1,2,0,3,5,7,5,4,2,4,2,3,1,3,2,26,10,1,0,0,2,1,2,1,""
04,2,4,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,0,3,2,2,4,7,7,7,7,3,0,5,0,5,2,7,4,0,1,1,0,2,2,1,""
06,0,0,3,2,4,12,7,3,2,2,1,0,0,1,2,5,2,0,0,0,1,0,1,1,""
07,1,2,5,5,7,29,10,2,3,2,4,0,3,4,1,1,2,0,0,1,1,0,2,2,""
08,0,0,2,3,4,6,5,6,1,1,2,1,2,3,1,5,10,19,1,1,0,0,0,0,""
09,0,3,2,2,2,11,8,6,1,28,-1,-1,-1,5,3,2,7,7,12,0,5,-1,-1,1,""
10,1,0,0,2,1,12,12,3,10,3,14,17,38,5,4,6,1,2,1,3,1,2,2,2,""
11,0,0,3,2,6,23,21,11,12,30,3,4,6,5,3,6,2,1,0,1,4,3,3,2,""
12,1,0,2,5,7,13,9,10,1,0,18,2,3,3,4,3,0,2,0,3,1,2,6,2,""
13,1,2,4,3,6,7,22,2,2,2,15,1,3,4,2,2,1,2,0,3,1,1,2,3,""
14,0,4,4,3,5,7,9,2,1,0,0,0,3,2,1,0,1,0,2,2,1,0,3,3,""
15,1,2,0,4,5,34,8,7,15,1,0,4,1,0,6,5,3,4,2,1,0,5,0,1,""
16,0,2,0,2,5,2,9,3,3,0,0,2,0,0,2,0,0,0,0,2,1,7,0,0,""
17,0,1,1,0,1,1,4,1,1,0,0,0,1,1,1,3,2,1,2,3,1,0,2,0,""
18,0,1,2,0,0,2,3,4,2,2,4,2,3,4,1,1,6,0,1,3,0,9,8,18,""
19,2,2,0,7,2,16,19,2,0,0,4,1,7,4,2,1,1,1,1,0,1,1,1,1,""
20,1,0,3,2,4,3,4,11,11,42,40,5,1,2,1,0,2,0,1,3,0,1,0,2,""
21,1,1,2,5,30,67,21,1,3,3,11,4,3,4,1,2,3,67,6,12,0,0,0,1,""
22,3,4,0,2,4,19,32,7,19,12,2,13,17,4,2,4,2,2,0,0,1,0,23,64,""
23,59,22,0,5,10,4,1,0,2,0,0,8,0,2,5,4,12,7,1,2,2,9,2,33,""
24,71,55,80,68,16,3,13,5,5,5,3,2,43,47,6,34,40,4,1,3,1,3,3,2,""
25,3,17,56,51,43,48,20,7,0,1,1,4,1,19,65,12,9,7,0,2,4,4,0,6,""
26,2,7,4,6,10,11,10,11,8,4,11,45,2,3,4,5,9,2,1,2,3,3,1,1,""
27,5,3,2,4,3,15,13,28,49,53,32,14,2,8,11,8,3,6,4,3,0,2,2,9,""
28,5,9,4,4,6,8,9,8,9,4,1,7,1,5,5,27,21,1,9,4,5,1,6,0,""
29,8,20,3,6,9,8,8,11,0,13,2,4,5,1,39,33,34,25,3,2,2,0,1,4,""
30,6,4,7,4,7,4,1,5,2,1,1,2,2,2,2,7,40,74,7,0,0,0,1,0,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
