aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,71,84,73,75,53,35,8,17,15,12,13,9,9,13,10,18,6,5,9,15,25,33,40,51,""
02,68,74,66,60,59,22,12,10,7,11,10,5,10,7,11,9,4,11,8,21,25,34,40,53,""
03,83,86,88,81,45,27,18,11,9,9,14,12,11,15,6,4,12,6,6,11,22,27,35,59,""
04,64,75,78,61,66,27,7,10,15,9,8,7,11,9,8,13,9,17,12,25,33,31,37,36,""
05,45,64,69,61,49,21,21,11,16,14,10,15,9,12,10,10,10,17,14,20,24,28,37,48,""
06,55,73,65,69,50,29,25,14,18,12,13,11,13,15,13,10,13,10,9,24,22,27,35,55,""
07,44,69,76,71,55,32,18,11,11,13,12,10,8,10,9,10,5,9,8,26,29,33,46,75,""
08,64,59,83,83,77,52,22,12,12,10,13,12,12,18,7,11,9,10,12,13,18,26,30,39,""
09,62,66,52,67,59,25,11,15,14,11,11,9,8,22,16,18,10,10,7,29,39,34,51,44,""
10,57,53,68,73,60,34,16,20,16,9,17,12,9,10,13,11,16,11,9,17,27,37,40,50,""
11,46,59,61,68,62,40,25,19,17,9,11,14,16,20,18,17,10,10,21,30,37,49,55,68,""
12,87,83,88,87,75,40,24,33,28,20,17,15,17,22,7,12,12,16,26,37,27,56,42,48,""
13,48,69,61,58,36,24,22,23,14,22,14,16,10,7,14,10,13,17,14,38,39,40,43,61,""
14,71,65,57,71,55,24,18,8,14,16,15,9,14,16,13,16,7,10,13,20,33,23,27,46,""
15,37,36,41,33,32,23,6,18,4,11,10,5,11,7,14,11,9,7,14,24,21,21,31,29,""
16,28,18,13,32,34,24,16,18,19,14,13,13,9,11,9,12,11,7,12,20,20,31,30,41,""
17,51,43,44,43,50,27,17,12,6,9,8,10,12,12,3,4,3,6,16,20,20,26,40,33,""
18,56,72,66,75,63,32,13,21,17,15,8,12,5,7,7,7,7,10,8,24,28,44,46,59,""
19,62,58,78,75,58,36,8,21,22,14,8,8,8,14,8,9,13,15,11,30,30,49,49,70,""
20,62,73,65,69,55,35,12,9,14,12,6,6,8,6,8,7,3,4,7,29,27,39,41,51,""
21,50,49,43,52,51,28,12,17,17,12,12,6,8,8,13,12,10,14,14,21,25,28,28,46,""
22,50,66,78,65,69,34,18,15,14,5,12,11,13,5,12,10,7,6,9,27,32,37,34,38,""
23,64,38,43,67,50,39,5,17,22,8,9,7,6,10,4,8,9,6,13,16,19,33,39,38,""
24,58,61,67,60,52,24,12,17,14,16,14,16,9,7,11,9,16,17,19,18,17,42,39,53,""
25,58,64,54,46,59,27,16,14,16,9,14,7,6,15,9,12,7,6,9,15,25,26,39,50,""
26,35,47,38,41,32,29,14,7,9,8,6,12,6,5,9,7,4,7,6,8,12,17,20,21,""
27,28,24,28,28,31,22,6,9,7,8,9,3,10,9,15,13,6,9,10,11,18,28,37,39,""
28,54,64,61,61,27,22,6,14,11,7,11,14,19,11,8,6,12,6,10,26,30,33,27,39,""
29,35,32,44,43,46,26,9,10,10,13,6,8,13,7,3,8,4,8,11,12,37,30,52,42,""
30,49,58,53,56,70,42,15,8,11,9,1,9,8,7,5,5,11,3,12,21,18,20,21,27,""
31,28,25,42,42,33,30,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]o{'m,"kf`zIhz}{fehk'kl"
