aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,42,57,47,26,37,36,27,32,39,43,42,54,49,34,43,34,24,34,27,32,32,37,36,44,""
02,42,57,47,26,37,36,27,32,39,43,42,54,49,34,43,34,24,34,27,32,32,37,36,44,""
03,51,51,60,59,56,63,51,65,48,51,26,26,24,52,30,19,21,21,34,15,29,31,43,39,""
04,42,57,47,26,37,36,27,32,39,43,42,54,49,34,43,34,24,34,27,32,32,37,36,44,""
05,49,33,58,53,44,62,50,35,26,38,30,26,26,28,33,30,25,28,17,19,27,27,25,43,""
06,39,60,41,44,44,64,62,57,57,40,61,36,29,25,24,30,19,30,22,23,22,28,37,17,""
07,39,52,58,65,54,44,62,57,57,40,61,36,29,25,24,30,19,30,22,23,22,28,37,17,""
08,39,43,58,69,64,54,42,57,47,40,61,36,29,25,24,30,19,30,22,23,22,28,37,17,""
09,39,55,74,71,64,64,72,67,77,40,61,36,29,25,24,30,19,30,22,23,22,28,37,17,""
10,39,55,74,62,64,64,82,57,57,40,61,36,29,25,24,30,19,30,22,23,22,28,37,17,""
11,47,61,74,71,79,84,91,73,57,40,61,36,29,25,24,30,19,30,22,23,22,28,37,31,""
12,73,68,72,76,78,84,94,87,57,40,61,36,29,25,24,30,19,30,22,23,22,28,37,26,""
13,39,55,74,81,64,64,72,57,57,40,61,36,29,25,24,30,19,30,22,23,22,28,37,17,""
14,42,57,38,66,57,43,48,60,49,51,52,54,59,34,53,28,24,34,27,32,32,37,36,34,""
15,33,27,33,64,47,52,48,41,46,49,33,51,39,51,39,40,33,23,23,23,31,18,29,30,""
16,31,66,63,54,47,61,48,41,46,49,33,51,39,24,39,40,33,23,23,23,31,18,29,30,""
17,35,46,41,40,44,45,49,43,53,33,36,41,47,44,46,33,24,25,27,22,24,23,21,26,""
18,41,51,45,45,50,50,51,47,40,34,38,43,39,40,38,38,32,33,35,27,29,29,31,36,""
19,54,43,50,44,40,50,46,47,39,38,42,39,34,55,46,38,31,28,23,32,37,27,30,32,""
20,46,43,61,25,42,36,58,45,49,51,40,49,36,32,18,29,31,28,42,25,39,35,29,38,""
21,49,54,45,45,61,67,45,41,36,33,48,62,24,35,35,44,37,36,36,29,32,40,32,14,""
22,41,51,52,41,41,46,50,43,47,29,38,31,47,60,34,28,28,25,40,29,32,33,33,30,""
23,49,38,50,58,64,54,54,49,47,39,40,47,27,37,39,34,31,27,27,24,35,29,22,22,""
24,31,19,51,60,46,35,54,42,47,50,34,38,42,19,34,28,28,40,37,35,45,28,32,36,""
25,36,43,53,38,42,49,50,49,39,35,31,35,43,34,33,39,24,38,45,21,26,36,32,45,""
26,39,53,64,50,55,37,62,39,37,38,40,30,43,39,29,38,29,32,30,24,25,19,27,49,""
27,45,41,53,39,48,58,43,50,46,31,42,36,37,39,32,33,37,33,30,32,40,31,40,42,""
28,46,59,55,67,54,49,51,57,39,31,29,22,42,43,30,31,41,31,21,39,41,41,28,39,""
29,50,57,48,40,44,42,61,41,41,47,40,41,20,11,14,21,38,35,31,28,28,34,36,38,""
30,55,44,43,46,63,46,61,45,49,35,42,39,45,36,44,47,39,28,33,26,38,38,46,48,""
31,36,47,61,48,46,48,33,37,45,34,29,41,43,37,37,32,28,30,35,33,47,45,24,7,""
