nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,64,75,77,55,55,27,12,13,26,21,21,14,16,10,18,10,10,15,17,19,23,35,31,36,""
02,40,44,50,71,62,50,28,26,31,33,25,27,27,17,8,19,11,16,15,23,40,35,57,58,""
03,76,80,77,65,72,52,37,25,43,26,25,40,24,19,16,13,12,9,8,13,31,13,15,56,""
04,47,60,55,50,51,44,12,25,26,28,27,21,16,15,17,16,12,8,10,26,32,41,45,44,""
05,47,37,38,34,46,44,34,16,33,28,13,25,20,14,17,18,10,11,6,17,23,41,49,73,""
06,93,84,90,57,44,33,19,24,16,20,20,20,9,9,10,9,13,13,21,16,22,26,54,59,""
07,59,46,49,64,64,34,20,28,22,20,10,6,17,7,8,8,18,13,11,13,14,32,26,21,""
08,22,37,20,33,40,33,30,20,33,18,17,20,21,14,18,9,18,8,11,14,18,29,36,52,""
09,47,50,50,21,22,24,21,15,17,16,17,13,12,9,24,12,9,6,12,17,23,40,44,73,""
10,73,40,39,29,23,24,17,14,14,29,26,28,25,26,21,15,17,15,14,17,25,44,45,50,""
11,55,57,58,65,72,43,31,27,42,23,20,20,21,19,9,10,18,11,10,33,38,36,38,69,""
12,63,62,70,67,57,54,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,21,27,33,23,33,""
13,58,50,61,64,70,48,36,30,20,27,15,21,15,12,9,12,19,8,12,14,34,25,47,58,""
14,66,64,57,55,47,17,22,22,23,12,11,20,16,11,15,10,11,10,4,17,27,19,29,49,""
15,44,76,66,53,57,36,32,16,14,21,24,22,14,8,13,4,8,8,13,16,17,16,28,28,""
16,27,20,7,21,14,12,17,6,9,12,4,13,24,11,19,11,7,16,17,23,28,24,22,25,""
17,33,28,29,17,27,25,23,16,20,16,15,14,27,14,18,17,15,12,23,32,24,40,44,82,""
18,85,50,70,62,81,48,30,28,42,22,36,26,26,16,21,18,9,15,16,23,32,26,34,55,""
19,38,33,42,40,39,30,28,27,28,10,19,14,16,8,2,7,5,8,14,21,31,30,44,62,""
20,98,85,72,48,68,49,36,22,20,17,25,12,27,19,16,17,6,11,16,21,12,8,29,65,""
21,80,39,46,34,50,49,41,28,40,17,23,16,8,13,3,6,8,10,13,19,29,42,44,61,""
22,82,96,96,59,73,48,27,21,27,23,9,17,11,12,15,10,11,2,13,10,8,12,43,52,""
23,81,65,60,47,35,56,26,32,29,26,26,20,13,20,9,13,8,13,15,23,18,30,36,65,""
24,80,61,66,47,59,55,36,24,26,17,25,23,23,28,22,15,21,9,14,19,28,49,42,66,""
25,68,66,48,51,46,44,49,41,41,25,15,16,21,15,25,15,16,9,16,26,33,30,51,53,""
26,51,46,45,39,40,39,52,29,60,40,22,7,10,13,11,15,10,12,25,25,26,35,38,71,""
27,81,108,82,73,62,45,45,36,30,27,16,22,30,15,30,14,5,14,17,18,17,40,46,76,""
28,93,86,83,68,72,60,22,30,22,11,13,19,6,9,16,15,15,13,17,26,34,32,46,78,""
29,89,79,77,74,67,40,30,28,27,19,17,13,21,21,13,7,8,10,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]e,"j'nfk`gIndh`e'jfd"
