dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,35,41,45,24,46,31,37,27,33,31,27,20,16,14,13,13,7,11,15,23,19,23,33,34,""
02,57,57,45,66,32,35,31,24,36,26,10,20,14,13,10,9,12,6,15,14,32,46,36,47,""
03,54,70,78,63,52,62,56,29,41,27,12,20,19,18,13,15,18,6,15,17,29,29,31,49,""
04,73,57,41,59,78,64,35,36,30,19,18,12,27,9,18,14,16,7,13,15,27,32,57,48,""
05,64,61,63,79,72,54,66,40,45,31,19,26,14,8,11,15,5,10,14,11,17,36,52,56,""
06,87,93,87,69,59,72,71,33,34,24,16,20,18,21,16,14,15,8,10,20,13,44,48,61,""
07,90,94,97,77,81,73,63,42,47,40,19,22,28,22,13,11,18,17,11,26,23,51,42,53,""
08,109,96,89,85,106,82,53,51,40,34,28,26,13,18,21,17,11,21,29,29,31,42,50,66,""
09,89,74,87,101,110,106,60,51,69,43,32,26,31,21,24,14,13,17,18,14,45,54,73,145,""
10,153,160,109,129,113,110,79,53,34,41,25,23,25,23,15,13,10,8,16,24,52,84,77,113,""
11,154,140,91,108,122,80,74,38,66,43,35,25,18,22,16,15,12,11,43,46,54,91,105,146,""
12,198,199,119,90,109,105,97,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,141,184,""
13,301,305,198,136,141,120,67,58,57,51,27,24,14,18,13,12,13,29,45,56,75,98,143,165,""
14,213,221,124,80,80,86,70,48,39,38,17,20,14,11,11,11,10,11,12,29,39,43,46,90,""
15,102,94,70,52,57,55,55,22,35,30,23,22,23,25,14,25,13,10,21,17,28,58,49,94,""
16,104,88,91,85,86,77,42,33,31,28,19,21,14,23,14,14,10,11,17,23,21,39,33,87,""
17,89,67,69,94,86,52,33,25,27,26,15,15,28,17,10,11,13,9,13,19,24,38,44,57,""
18,82,69,57,48,51,37,46,27,31,26,10,14,19,2,5,6,10,10,12,3,16,39,43,56,""
19,79,58,72,57,47,34,44,35,21,31,17,18,14,16,20,8,11,15,10,17,19,36,33,59,""
20,58,52,47,54,53,43,28,24,24,16,14,13,10,6,10,8,9,13,12,10,15,28,36,46,""
21,64,70,76,70,61,50,39,24,41,20,22,31,19,11,10,10,8,9,17,17,31,34,29,70,""
22,59,78,62,73,76,39,37,30,27,11,16,10,15,7,18,12,13,10,15,19,26,29,47,37,""
23,76,66,66,63,78,68,38,38,24,23,29,19,20,14,12,14,8,8,16,18,24,35,66,64,""
24,75,86,98,72,84,59,35,42,29,28,27,28,16,15,13,6,19,15,17,28,28,46,49,47,""
25,92,91,83,85,88,66,58,67,57,36,39,34,27,25,24,17,14,20,23,17,30,37,50,55,""
26,69,66,71,76,96,63,74,63,44,29,18,27,17,21,12,9,10,25,22,15,25,29,47,51,""
27,58,49,63,63,67,49,54,24,27,24,32,18,23,21,22,18,15,10,14,31,24,34,47,53,""
28,73,89,63,87,66,56,48,31,38,26,31,32,19,15,13,12,9,14,6,23,30,24,56,45,""
29,69,48,51,64,32,32,39,25,26,21,20,17,15,15,13,18,13,7,8,23,18,34,40,63,""
30,75,78,74,77,76,51,57,45,41,27,26,35,22,21,22,17,10,13,14,10,25,34,50,69,""
31,68,69,73,75,71,60,70,35,47,26,23,28,18,23,14,16,-1,-1,-1,-1,-1,-1,-1,-1,""
